Name,Description,C1a,C1b,C1c,C9a,C9b,C9c
TSPAN6,na,24.19,16.22,13.94,17.34,17.15,18.77
TNMD,na,0.00,0.00,0.00,0.00,0.00,0.00
DPM1,na,43.40,39.93,44.71,48.29,47.32,58.93
SCYL3,na,5.43,5.16,3.70,5.09,6.11,5.59
C1orf112,na,5.79,6.11,8.92,2.47,4.83,2.53
FGR,na,0.00,0.00,0.00,0.00,0.00,0.00
CFH,na,20.86,11.24,8.80,13.78,15.74,18.81
FUCA2,na,72.58,62.94,103.45,84.03,86.70,141.32
GCLC,na,92.91,105.11,60.49,70.51,67.60,78.87
NFYA,na,12.84,11.62,12.88,11.32,11.37,10.16
STPG1,na,5.48,7.26,9.58,8.13,9.82,4.12
NIPAL3,na,52.82,63.50,71.55,98.95,119.20,66.18
LAS1L,na,13.35,9.87,22.50,10.03,9.60,20.03
ENPP4,na,0.00,0.00,0.00,0.02,0.00,0.02
SEMA3F,na,49.10,43.16,33.01,24.62,25.08,29.31
CFTR,na,7.01,7.66,1.10,0.80,0.63,1.02
ANKIB1,na,45.57,35.69,38.53,46.64,47.20,26.58
CYP51A1,na,30.53,27.34,22.77,35.85,38.84,36.81
KRIT1,na,22.24,22.58,17.53,25.94,25.59,22.88
RAD52,na,4.05,6.09,5.35,7.26,4.23,5.77
MYH16,na,0.04,0.04,2.64,0.04,0.14,0.05
BAD,na,81.70,78.32,77.99,74.39,78.54,71.14
LAP3,na,25.53,26.89,42.22,28.22,26.33,51.96
CD99,na,421.73,519.05,594.16,563.40,611.97,711.64
HS3ST1,na,1.38,0.00,0.00,0.01,0.00,0.00
AOC1,na,1.31,0.80,0.00,0.38,0.30,0.00
WNT16,na,12.80,7.51,7.49,27.98,21.66,7.33
HECW1,na,0.59,0.56,1.78,1.27,0.56,2.17
MAD1L1,na,21.30,18.67,27.31,15.22,18.30,17.03
LASP1,na,237.10,289.52,485.90,313.68,355.16,343.05
SNX11,na,14.66,19.09,15.37,12.26,13.69,12.45
TMEM176A,na,211.56,372.12,3.18,218.03,297.86,30.72
M6PR,na,52.72,68.44,85.18,61.36,69.07,97.83
KLHL13,na,17.13,11.71,3.35,5.07,5.13,10.76
CYP26B1,na,0.44,0.81,0.25,5.29,5.71,0.88
ICA1,na,0.00,0.00,0.00,0.00,0.00,0.00
DBNDD1,na,13.97,11.16,26.87,16.77,15.94,12.42
ALS2,na,13.88,11.03,15.86,12.67,12.56,17.60
CASP10,na,0.49,0.09,0.63,0.42,0.18,0.45
CFLAR,na,45.40,50.29,39.53,54.89,62.10,42.65
TFPI,na,304.29,205.81,107.13,182.63,190.32,190.18
NDUFAF7,na,11.52,13.12,14.53,11.66,11.02,18.10
RBM5,na,63.45,53.12,64.40,66.39,61.08,91.70
MTMR7,na,0.28,0.48,0.32,0.76,0.41,1.35
SLC7A2,na,72.67,73.62,26.84,54.33,40.16,51.05
ARF5,na,194.55,182.23,212.05,128.62,133.48,155.63
SARM1,na,4.07,3.11,5.69,3.28,1.80,10.78
POLDIP2,na,58.64,58.68,72.96,63.16,62.67,65.73
PLXND1,na,69.70,94.03,87.27,87.38,112.23,58.68
AK2,na,97.86,90.46,111.97,79.93,85.37,143.80
CD38,na,0.00,0.00,0.00,0.00,0.00,0.00
FKBP4,na,16.51,18.51,38.93,21.31,22.81,38.69
KDM1A,na,60.80,56.33,70.24,48.45,47.90,61.18
RBM6,na,42.24,42.23,34.26,36.04,36.77,66.87
CAMKK1,na,1.79,2.10,5.46,2.04,3.52,2.83
RECQL,na,40.17,35.05,44.31,38.94,33.22,54.84
VPS50,na,10.17,6.72,10.41,8.72,9.20,9.98
HSPB6,na,164.26,118.69,274.52,163.98,147.03,87.91
ARHGAP33,na,2.03,3.80,4.05,1.30,1.50,4.35
NDUFAB1,na,63.34,95.08,115.74,99.51,99.60,88.90
PDK4,na,2.41,0.61,0.26,0.55,0.00,0.41
SLC22A16,na,0.00,0.00,0.00,0.00,0.00,0.00
ZMYND10,na,0.95,1.61,1.18,0.59,0.18,1.09
ABCB5,na,0.00,0.00,0.00,0.00,0.00,0.00
ARX,na,0.00,0.00,0.00,0.00,0.00,0.00
SLC25A13,na,6.06,8.47,9.81,5.55,6.47,9.25
ST7,na,22.44,17.50,18.78,15.38,18.51,23.65
CDC27,na,62.89,63.91,70.59,53.68,55.03,79.81
SLC4A1,na,0.00,0.00,0.00,0.00,0.00,0.00
CALCR,na,0.00,0.00,0.00,0.00,0.00,0.00
HCCS,na,28.02,25.76,36.29,27.85,34.04,36.91
DVL2,na,44.26,39.77,40.07,34.26,36.09,38.30
PRSS22,na,0.00,0.00,0.00,0.00,0.00,0.11
UPF1,na,44.17,43.95,66.74,48.85,51.24,47.40
SKAP2,na,31.14,25.46,19.88,32.13,33.61,43.83
SLC25A5,na,148.72,123.78,207.43,127.64,125.12,156.15
MCUB,na,16.85,23.21,36.82,11.53,17.83,16.42
HOXA11,na,0.00,0.00,0.00,0.17,0.12,0.00
POLR2J,na,18.71,17.51,29.73,30.70,30.87,39.92
DHX33,na,8.35,5.38,11.76,5.93,7.97,10.06
MEOX1,na,0.63,0.41,0.51,0.36,0.08,0.11
THSD7A,na,0.00,0.00,0.01,0.01,0.00,0.00
LIG3,na,11.07,9.35,22.36,10.89,11.47,21.24
RPAP3,na,18.03,17.67,22.97,14.54,14.56,23.36
ACSM3,na,0.94,0.34,0.00,0.55,0.19,0.59
REXO5,na,1.02,1.87,1.89,2.67,2.71,1.44
CIAPIN1,na,22.82,27.04,38.09,23.89,23.87,31.39
SPPL2B,na,20.86,28.14,28.93,22.30,25.46,38.68
FAM214B,na,14.77,17.19,21.52,18.48,19.58,25.86
COPZ2,na,53.81,61.17,70.28,85.11,65.04,134.63
PRKAR2B,na,9.30,5.64,3.59,2.87,2.11,3.94
MSL3,na,13.02,12.37,16.23,12.34,12.41,18.50
CREBBP,na,22.16,19.63,21.70,21.10,26.88,20.11
TSPOAP1,na,2.63,1.00,1.57,1.46,1.93,1.07
MPO,na,0.12,0.00,0.00,0.03,0.00,0.00
PON1,na,0.00,0.00,0.00,0.00,0.00,0.00
GCFC2,na,7.76,10.60,9.05,7.33,5.60,8.19
WDR54,na,66.85,55.88,55.33,40.90,45.03,36.74
CROT,na,19.08,17.09,10.44,16.91,15.26,23.85
ABCB4,na,0.03,0.00,0.00,0.05,0.00,0.59
KMT2E,na,38.76,26.13,27.09,30.50,32.61,31.63
RHBDD2,na,30.85,31.67,33.91,36.43,41.11,40.39
SOX8,na,0.26,0.27,0.04,0.12,0.02,0.05
IBTK,na,23.39,18.36,22.66,23.75,23.05,26.98
ZNF195,na,6.97,4.88,5.31,3.83,3.93,5.59
MYCBP2,na,20.33,15.16,20.10,16.32,16.53,26.77
FBXL3,na,24.06,40.01,23.56,27.00,27.21,25.01
ITGAL,na,0.00,0.00,0.28,0.15,0.00,0.00
PDK2,na,26.03,25.49,22.18,20.98,26.64,25.48
ITGA3,na,40.75,46.36,155.77,90.47,112.53,110.17
ZFX,na,14.94,11.74,12.76,11.36,14.28,13.55
LAMP2,na,104.42,81.89,110.58,108.45,103.71,111.29
,na,67.66,50.77,51.42,61.80,55.71,60.50
ITGA2B,na,0.92,0.39,0.22,0.55,0.59,0.63
ASB4,na,0.00,0.00,0.00,0.00,0.00,0.00
GDE1,na,88.37,79.94,60.34,98.62,106.93,79.34
REX1BD,na,32.24,47.57,54.52,38.50,45.93,62.29
CRLF1,na,22.22,10.81,11.44,8.49,6.72,13.19
OSBPL7,na,4.05,6.00,3.75,4.10,3.82,8.01
TMEM98,na,190.75,167.18,128.10,135.31,156.79,121.80
YBX2,na,0.00,0.06,0.00,0.02,0.11,0.28
KRT33A,na,0.00,0.00,0.00,0.00,0.00,0.00
MAP3K14,na,5.81,6.50,6.46,10.32,10.55,8.34
ABCC8,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,15.98,13.78,18.00,13.40,15.13,20.04
CACNG3,na,0.00,0.00,0.00,0.00,0.00,0.00
TMEM132A,na,94.02,114.47,105.03,99.42,112.04,89.63
AP2B1,na,130.90,104.84,134.23,128.51,135.89,119.07
TAC1,na,0.00,0.00,0.00,0.00,0.00,0.00
ZNF263,na,24.03,27.80,25.41,21.91,20.41,20.96
CX3CL1,na,0.00,0.03,0.00,0.00,0.00,0.00
SPATA20,na,35.59,32.55,37.83,33.40,41.91,44.06
CACNA1G,na,0.17,0.00,0.23,0.00,0.00,0.00
TNFRSF12A,na,152.40,247.16,347.68,298.19,293.37,286.20
DLX6,na,0.00,0.00,0.00,0.00,0.00,0.00
MAP3K9,na,0.17,0.01,0.38,0.09,0.00,0.04
RALA,na,31.49,41.32,48.92,42.95,42.41,55.26
BAIAP2L1,na,4.72,4.47,7.89,12.71,15.46,5.91
KDM7A,na,3.80,3.36,1.80,2.56,1.70,5.22
ETV1,na,5.79,4.79,5.53,6.17,5.49,3.45
AGK,na,12.53,12.27,17.25,10.48,13.34,16.32
ALDH3B1,na,25.43,30.89,19.91,33.09,47.75,27.99
TTC22,na,0.00,0.00,0.00,0.00,0.00,0.00
