Name,Description,C9a,C9b,C9c,E9a,E9b,E9c
TSPAN6,na,17.34,17.15,18.77,22.71,17.94,20.28
TNMD,na,0.00,0.00,0.00,0.00,0.00,0.00
DPM1,na,48.29,47.32,58.93,42.69,43.12,63.05
SCYL3,na,5.09,6.11,5.59,6.21,5.20,5.82
C1orf112,na,2.47,4.83,2.53,2.70,2.23,4.75
FGR,na,0.00,0.00,0.00,0.00,0.00,0.00
CFH,na,13.78,15.74,18.81,14.39,20.42,25.57
FUCA2,na,84.03,86.70,141.32,81.57,98.42,150.22
GCLC,na,70.51,67.60,78.87,67.92,64.26,95.67
NFYA,na,11.32,11.37,10.16,10.41,10.30,12.70
STPG1,na,8.13,9.82,4.12,8.67,11.21,6.05
NIPAL3,na,98.95,119.20,66.18,112.73,126.88,70.82
LAS1L,na,10.03,9.60,20.03,13.05,11.35,22.08
ENPP4,na,0.02,0.00,0.02,0.00,0.02,0.07
SEMA3F,na,24.62,25.08,29.31,22.89,19.09,28.66
CFTR,na,0.80,0.63,1.02,2.01,1.65,1.43
ANKIB1,na,46.64,47.20,26.58,41.61,56.06,35.31
CYP51A1,na,35.85,38.84,36.81,31.11,41.39,42.87
KRIT1,na,25.94,25.59,22.88,22.97,25.54,31.21
RAD52,na,7.26,4.23,5.77,6.01,6.43,8.77
MYH16,na,0.04,0.14,0.05,0.15,0.02,0.04
BAD,na,74.39,78.54,71.14,81.71,83.06,51.93
LAP3,na,28.22,26.33,51.96,30.93,23.24,53.86
CD99,na,563.40,611.97,711.64,620.84,690.14,781.00
HS3ST1,na,0.01,0.00,0.00,0.00,0.00,0.65
AOC1,na,0.38,0.30,0.00,0.13,0.44,0.35
WNT16,na,27.98,21.66,7.33,32.96,26.20,11.47
HECW1,na,1.27,0.56,2.17,1.58,0.10,1.52
MAD1L1,na,15.22,18.30,17.03,21.21,19.24,17.16
LASP1,na,313.68,355.16,343.05,301.78,308.20,357.79
SNX11,na,12.26,13.69,12.45,11.27,10.16,12.87
TMEM176A,na,218.03,297.86,30.72,90.07,166.84,38.94
M6PR,na,61.36,69.07,97.83,60.86,79.05,102.19
KLHL13,na,5.07,5.13,10.76,3.07,4.64,10.50
CYP26B1,na,5.29,5.71,0.88,5.97,4.01,1.35
ICA1,na,0.00,0.00,0.00,0.00,0.00,0.00
DBNDD1,na,16.77,15.94,12.42,17.26,13.86,12.15
ALS2,na,12.67,12.56,17.60,12.35,15.19,16.46
CASP10,na,0.42,0.18,0.45,0.51,0.18,1.09
CFLAR,na,54.89,62.10,42.65,51.71,50.62,49.04
TFPI,na,182.63,190.32,190.18,173.24,220.36,218.95
NDUFAF7,na,11.66,11.02,18.10,14.19,10.30,14.14
RBM5,na,66.39,61.08,91.70,61.70,63.73,119.43
MTMR7,na,0.76,0.41,1.35,0.55,0.30,0.74
SLC7A2,na,54.33,40.16,51.05,53.93,42.60,49.02
ARF5,na,128.62,133.48,155.63,119.51,133.03,152.11
SARM1,na,3.28,1.80,10.78,3.45,1.39,9.07
POLDIP2,na,63.16,62.67,65.73,58.43,62.97,64.99
PLXND1,na,87.38,112.23,58.68,91.58,98.01,80.85
AK2,na,79.93,85.37,143.80,74.66,78.09,130.14
CD38,na,0.00,0.00,0.00,0.00,0.06,0.00
FKBP4,na,21.31,22.81,38.69,23.19,20.62,35.83
KDM1A,na,48.45,47.90,61.18,47.25,49.37,66.99
RBM6,na,36.04,36.77,66.87,37.59,38.19,71.11
CAMKK1,na,2.04,3.52,2.83,2.50,3.81,3.23
RECQL,na,38.94,33.22,54.84,30.98,35.62,57.64
VPS50,na,8.72,9.20,9.98,9.88,7.56,13.23
HSPB6,na,163.98,147.03,87.91,202.74,215.99,66.51
ARHGAP33,na,1.30,1.50,4.35,1.92,1.44,20.01
NDUFAB1,na,99.51,99.60,88.90,113.69,91.79,70.51
PDK4,na,0.55,0.00,0.41,0.22,0.00,0.34
SLC22A16,na,0.00,0.00,0.00,0.00,0.00,0.00
ZMYND10,na,0.59,0.18,1.09,0.58,0.26,1.44
ABCB5,na,0.00,0.00,0.00,0.00,0.00,0.00
ARX,na,0.00,0.00,0.00,0.00,0.00,0.00
SLC25A13,na,5.55,6.47,9.25,4.71,3.91,10.42
ST7,na,15.38,18.51,23.65,25.61,23.90,25.77
CDC27,na,53.68,55.03,79.81,54.92,56.98,88.17
SLC4A1,na,0.00,0.00,0.00,0.00,0.00,0.00
CALCR,na,0.00,0.00,0.00,0.00,0.00,0.00
HCCS,na,27.85,34.04,36.91,27.77,27.92,37.93
DVL2,na,34.26,36.09,38.30,33.31,44.85,33.13
PRSS22,na,0.00,0.00,0.11,0.00,0.00,0.00
UPF1,na,48.85,51.24,47.40,46.37,49.11,41.96
SKAP2,na,32.13,33.61,43.83,30.34,35.08,29.80
SLC25A5,na,127.64,125.12,156.15,114.48,120.84,152.61
