CTL_A ENU_A CTL_B ENU_B CTL_C ENU_C
ENSG00000000003 390 376 421 333 347 486
ENSG00000000419 464 335 540 360 485 651
ENSG00000000457 151 147 212 135 141 186
ENSG00000000460 69 63 96 52 58 121
ENSG00000000971 393 383 549 508 450 976
ENSG00000001036 1188 1059 1430 1222 1890 2502
ENSG00000001084 1700 1427 2006 1581 1673 2380
ENSG00000001167 366 268 395 288 302 469
ENSG00000001460 228 211 338 256 103 172
ENSG00000001461 3340 3100 4535 3587 2147 2791
ENSG00000001497 264 251 304 264 447 575
ENSG00000001617 752 553 921 514 763 958
ENSG00000001626 57 64 51 42 41 87
ENSG00000001629 1431 1115 1616 1310 910 1263
ENSG00000001630 1049 792 1343 1021 996 1414
ENSG00000001631 584 453 766 627 443 715
ENSG00000002016 94 91 129 99 82 134
ENSG00000002330 617 550 751 575 451 421
ENSG00000002549 558 490 628 410 848 1117
ENSG00000002586 5777 5227 7315 5960 6381 8520
ENSG00000002745 650 629 580 475 158 305
ENSG00000002746 12 16 14 4 32 35
ENSG00000002822 352 255 438 306 382 481
ENSG00000002834 13141 10287 17456 11103 12154 15660
ENSG00000002919 231 192 351 172 230 274
ENSG00000002933 2647 889 3955 1802 272 506
ENSG00000003056 1008 843 1275 955 1193 1592
ENSG00000003096 182 85 221 146 322 392
ENSG00000003137 231 208 285 175 21 50
ENSG00000003249 360 297 387 247 209 254
ENSG00000003393 662 545 787 636 649 854
ENSG00000003400 16 16 7 9 9 20
ENSG00000003402 934 728 1229 739 626 845
ENSG00000003436 3238 2440 3771 3077 2930 4292
ENSG00000003509 233 207 276 204 274 321
ENSG00000003756 1557 1265 1921 1294 1652 2591
ENSG00000003987 27 14 21 11 25 19
ENSG00000003989 4193 3174 3707 2624 3465 4202
ENSG00000004059 1073 880 1310 972 1207 1423
ENSG00000004139 125 122 96 48 405 396
ENSG00000004142 1550 1159 1794 1321 1300 1618
ENSG00000004399 4322 3344 6128 4036 1817 2686
ENSG00000004455 1066 886 1243 848 1484 1717
ENSG00000004478 449 403 559 354 653 743
ENSG00000004487 1594 1199 1864 1395 1624 2079
ENSG00000004534 1012 868 1265 863 1460 2188
ENSG00000004660 82 81 164 130 93 132
ENSG00000004700 1061 778 1130 861 1239 1694
ENSG00000004766 263 218 344 228 286 402
ENSG00000004776 2420 2446 2566 2749 1079 1026
ENSG00000004777 54 46 76 36 107 116
ENSG00000004779 536 503 631 422 420 414
ENSG00000004838 5 6 5 2 6 13
ENSG00000004864 187 131 227 97 191 314
ENSG00000004866 370 416 465 377 410 516
ENSG00000004897 1523 1236 1672 1234 1604 2189
ENSG00000004961 332 300 467 284 374 507
ENSG00000004975 820 631 1067 877 790 857
ENSG00000005007 2511 2115 3155 2327 1955 2464
ENSG00000005020 533 441 621 530 679 765
ENSG00000005022 1259 974 1421 1018 1349 1568
ENSG00000005059 142 126 183 133 180 246
ENSG00000005075 200 166 243 144 250 242
ENSG00000005100 303 272 399 279 418 531
ENSG00000005156 282 200 369 244 347 547
ENSG00000005175 334 261 380 248 427 543
ENSG00000005189 48 36 67 51 25 60
ENSG00000005194 466 315 508 336 482 601
ENSG00000005206 575 564 785 522 606 837
ENSG00000005238 560 434 685 397 563 637
ENSG00000005243 416 351 422 283 706 800
ENSG00000005249 121 71 105 101 136 211
ENSG00000005302 250 197 296 201 281 434
ENSG00000005339 1846 1564 2372 1940 1506 2104
