"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003682","GO:0003682","chromatin binding",484,0.480713270897349,1.84077949291063,5.36036244907834e-10,5.37644353642557e-07,4.67197906088091e-07,2625,"tags=33%, list=19%, signal=28%","148398/84733/1051/56978/983/4091/113130/81620/2146/5888/5424/3151/7153/3015/8318/10036/26053/29781/1063/85453/83990/1788/23397/10051/6749/1058/29089/9156/55506/4998/29803/5928/9768/51053/8208/26147/2624/6599/22823/2736/6421/2737/10062/6662/54107/5933/5426/23636/8841/4302/8971/1911/10919/84939/29028/4436/11169/23211/22809/2735/1663/10592/83743/6839/3070/7469/148479/22907/10389/1958/84515/328/10951/79892/10856/8535/23598/23028/9314/222698/10664/3054/6418/51548/6602/11335/8061/23135/7468/3020/115004/3021/8314/116138/57597/378708/57492/23468/27316/79596/80149/4211/53615/2353/4841/5914/79685/7157/4774/5422/64710/5901/6472/5111/158880/221336/8019/3005/22955/1104/6871/2067/2521/55170/90378/6670/55806/7343/1059/142/79809/23411/10721/4221/1460/2956/1025/10734/7703/165918/222229/5885/84456/4298/6047/55636/1164/4676/25806/11198/26155/170959/80335/84629/9219/4825/3066/26471/64743/1874/5916/8409"
"GO:0003678","GO:0003678","DNA helicase activity",55,0.744528989079966,2.1652927746527,3.39715363476696e-07,0.000113578169855709,9.86962529679664e-05,1170,"tags=40%, list=9%, signal=37%","9401/4173/4172/4176/5983/4175/5888/4171/641/63922/5982/83990/4174/5984/79075/5985/25788/1663/1763/22907/84515/10856"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",223,0.532066872130072,1.88575108442379,2.76104066819035e-07,0.000113578169855709,9.86962529679664e-05,1307,"tags=23%, list=10%, signal=21%","9401/4173/4172/4176/2237/5983/4175/5888/5424/4171/7153/641/63922/5982/83990/1788/4174/11277/9156/79915/4255/5928/5984/64858/8438/79075/7516/3978/54821/54107/5426/5985/10714/25788/5932/55775/4436/7374/1663/5427/1763/3070/3669/22907/8930/84515/328/10856/548593/79008/4615/4968"
"GO:0004553","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds",60,-0.754139736337509,-2.22548377638337,6.97741014973238e-07,0.000174958559504539,0.000152034094841537,1036,"tags=32%, list=8%, signal=29%","23193/340485/4669/1486/2581/23324/55741/4126/3073/3425/80267/2720/2629/11253/2519/4124/3074/10905/57214"
"GO:0042393","GO:0042393","histone binding",218,0.512032391326464,1.81434922351641,2.08863615027456e-06,0.000418980411745077,0.000364082259458386,2407,"tags=31%, list=18%, signal=26%","148398/5757/84733/55723/3014/4171/1163/29128/85453/54892/55355/23234/6749/23310/5928/4678/8208/26147/9759/6599/22823/7443/8520/139886/8125/4302/1911/29028/83743/4796/55705/148479/10389/10951/8535/8089/6418/81611/11091/11335/10498/9918/23468/3621/26108/65980/79685/54556/55135/158880/8019/10847/22955/1104/5763/30827/55170/23411/2956/165918/222229/10541/84456/10927/4298/55636/1164/4676"
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA",112,0.598763852432826,1.95381988942524,5.87574557164603e-06,0.000841910401194423,0.000731596591477129,1170,"tags=27%, list=9%, signal=25%","9401/4173/4172/4176/5983/4175/5888/4171/7153/641/63922/5982/83990/4174/79915/5928/5984/8438/79075/7516/54821/5985/25788/4436/1663/1763/3070/22907/84515/10856"
"GO:0005509","GO:0005509","calcium ion binding",387,-0.441034180560559,-1.67372094351143,1.80402139303968e-05,0.0022617918215235,0.00196543383346954,1884,"tags=29%, list=14%, signal=25%","302/311/7057/56975/11167/7804/51199/53841/4853/57488/811/2934/10497/25891/10627/220001/5311/81/2202/103910/65989/56128/11261/56106/50618/29943/54681/3241/1606/5168/55033/147372/7184/23208/8826/23140/100137049/8604/60681/10085/310/3339/4924/7058/307/78987/388677/410/26256/51150/444/23075/7436/653145/23213/5097/5954/57333/26509/55741/4035/90411/813/3709/6277/79158/824/56123/79987/6786/286097/728113/54795/56127/3423/7059/57620/56102/56113/2621/22883/673/4052/2200/4925/22795/80267/57717/100996763/6709/114780/1605/9693/3708/11253/667/8641/301/1004/10905/55784/79633/23499/2195/3949/5648/56111/5332/57493/92737/6695"
"GO:0030246","GO:0030246","carbohydrate binding",140,-0.560968488275335,-1.88200498864123,4.09445668812162e-05,0.00415148925255089,0.0036075280486038,1422,"tags=30%, list=10%, signal=27%","143903/63917/8813/54681/5168/79660/66005/10960/3998/23193/2022/23324/55568/3958/6888/4126/9976/56851/682/2589/80216/10956/55214/8974/114780/5352/374378/8455/3482/4124/6515/130589/5507/2590/283820/11227/23420/117248/408050/3099/4973/112399"
"GO:0001216","GO:0001216","DNA-binding transcription activator activity",297,0.441899484158943,1.61625753042306,4.26782850968824e-05,0.00415148925255089,0.0036075280486038,1925,"tags=24%, list=14%, signal=21%","6664/4605/7071/1051/5396/2118/6297/51157/3202/3725/4212/1869/6929/55893/2294/9889/57215/3164/8013/2624/4781/9189/9189/51427/10062/6662/1870/4929/5087/3215/4899/2295/6938/3212/3213/148979/6925/22809/2735/4603/7023/342892/2004/1958/6659/64763/7594/147912/9314/6943/197407/81566/8061/2969/4487/3727/1877/2115/4211/6926/3091/2353/10691/7157/4774/7027/1960/64651/136051/1871/3726/2354/5359"
"GO:0038023","GO:0038023","signaling receptor activity",482,-0.404666023989576,-1.56671403662868,5.38079364737403e-05,0.00415148925255089,0.0036075280486038,2093,"tags=28%, list=15%, signal=25%","11231/56413/9214/6785/3597/4882/219960/2044/55334/4040/8764/11057/3572/4756/23566/259290/56833/3459/6575/7804/8322/10154/728/4853/54538/79139/8793/2149/9568/64135/2202/6574/2348/23596/5786/114908/3480/6272/79957/6774/3588/285601/202018/8434/5362/5618/3455/3454/943/343171/100507588/1815/3363/290/2743/5817/4864/5361/79627/7855/3685/1236/2825/51232/8828/7301/2022/10267/1956/7436/5621/116444/7048/3556/4035/7010/2152/51554/23654/950/2352/5797/147/2863/238/7095/26280/8506/55362/51704/5365/81491/4052/5796/3688/3269/22861/83941/6869/54329/8797/961/6095/3140/390059/659/9180/8455/8323/3357/2065/3383/3673/4233/3482/1230/2898/355/8795/960/1129/4179/23471/53833/10347/6238/60401/6385/10159/5026/2151/136/367/9052/57007/92737"
