"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0000793","GO:0000793","condensed chromosome",244,0.69987049692835,2.47342502656975,1e-10,5.61666666666667e-09,4.40350877192983e-09,2103,"tags=43%, list=15%, signal=37%","5347/332/891/991/3148/1051/4288/79682/701/699/9212/1062/221150/64151/4085/151648/55055/81620/3014/5888/7272/7153/11130/220134/641/387103/10615/55839/29781/64105/1063/84250/54892/55355/6790/11004/3146/79172/3835/11073/23397/10051/79019/2177/1058/57082/151246/29893/10403/23310/64946/147841/79902/3619/6599/4751/6002/54821/54908/91687/81930/83540/1111/2491/1017/90417/55732/9770/79003/201254/10592/6839/493861/201161/10664/5501/348995/23219/6602/11335/3020/3021/23212/672/9918/401541/378708/23468/9735/253635/6612/57122/9183/57405/91272/54780/1104/23421/79980/675/57820/7846/1059/54984/57132/11144"
"GO:0000775","GO:0000775","chromosome, centromeric region",232,0.701226577129971,2.47328919473867,1e-10,5.61666666666667e-09,4.40350877192983e-09,1634,"tags=38%, list=12%, signal=34%","5347/332/891/991/55143/1051/79682/701/699/9212/1062/221150/64151/4085/151648/55055/113130/81620/2146/7272/7153/11130/220134/387103/10615/55839/64105/1063/55355/6790/11004/79172/1788/3835/10051/79019/1058/57082/151246/10403/23310/64946/147841/157570/79902/3619/79075/6615/55320/6599/4751/54821/54107/54908/91687/81930/83540/54069/2491/90417/55732/9770/79003/114991/201254/6839/3070/79723/10951/201161/10664/5501/348995/51548/23219/6602/11335/3020/3021/9918/401541/378708/23468/55920/9735/253635/6612/57122/11339"
"GO:0000779","GO:0000779","condensed chromosome, centromeric region",173,0.709877861486393,2.40721388882542,1e-10,5.61666666666667e-09,4.40350877192983e-09,1605,"tags=39%, list=12%, signal=35%","5347/332/891/991/1051/79682/701/699/9212/1062/221150/64151/4085/151648/55055/81620/7272/11130/220134/387103/10615/55839/64105/1063/55355/6790/11004/79172/3835/79019/1058/57082/151246/10403/23310/64946/147841/79902/3619/6599/4751/54821/54908/91687/81930/83540/2491/90417/55732/9770/79003/201254/201161/5501/348995/23219/6602/11335/3020/3021/9918/401541/378708/23468/9735/253635/6612/57122"
"GO:0000776","GO:0000776","kinetochore",163,0.706990418611878,2.38979113572886,1e-10,5.61666666666667e-09,4.40350877192983e-09,1605,"tags=38%, list=12%, signal=34%","5347/332/891/991/79682/701/699/9212/1062/221150/4085/151648/55055/81620/7272/11130/220134/387103/10615/55839/64105/1063/55355/6790/11004/79172/3835/79019/57082/151246/10403/64946/147841/79902/3619/6599/4751/54821/54908/91687/81930/83540/2491/90417/55732/9770/79003/201254/201161/5501/348995/23219/6602/3020/3021/401541/378708/23468/9735/253635/6612/57122"
"GO:0098687","GO:0098687","chromosomal region",358,0.648731881010341,2.38076866257335,1e-10,5.61666666666667e-09,4.40350877192983e-09,1827,"tags=36%, list=13%, signal=32%","5347/332/891/991/55143/1051/983/9401/79682/4173/4172/701/699/9212/1062/221150/64151/4085/4176/151648/2237/55055/113130/81620/2146/4175/3014/5888/5424/4171/7272/7153/11130/220134/641/387103/10615/55839/64105/1063/84250/55355/6790/11004/79172/1788/3835/10051/79019/4174/1058/57082/10635/151246/10403/55506/23310/4998/5928/64946/64858/147841/157570/79902/3619/79075/6615/55320/6599/4751/54821/8520/54107/54908/91687/81930/84321/83540/54069/6117/1111/2491/1017/4436/90417/55732/9770/79003/114991/201254/1763/6839/3070/79723/152485/79228/328/10951/9894/493861/23028/201161/10664/5501/348995/51548/23219/6602/11335/3020/3021/9918/401541/378708/23468/55920/9735/253635/6612/57122/11339/65057/9183/7517/57405/55135/5111/91272/54780"
"GO:0000228","GO:0000228","nuclear chromosome",195,0.676246308348676,2.32393969343426,1e-10,5.61666666666667e-09,4.40350877192983e-09,2335,"tags=43%, list=17%, signal=36%","5347/332/4173/4172/64151/4176/4175/3014/5888/5424/4171/7153/641/84296/8318/3725/29781/23594/54892/9837/11073/23397/10051/4174/11277/8914/63979/29893/64785/55506/23310/4998/29803/5928/55388/3619/4751/6002/54107/51659/5426/10714/5425/6117/1111/11169/5427/10592/6839/4796/10856/548593/79008/81611/10498/3020/3021/23212/672/9918/79595/4798/3621/79685/54556/5422/253714/5111/10847/1104/79913/675/57820/54984/11144/142/5119/6118/84365/10609/283899/10734/222229/5885"
"GO:0030667","GO:0030667","secretory granule membrane",204,-0.637481976297153,-2.24070425655297,1e-10,5.61666666666667e-09,4.40350877192983e-09,1924,"tags=37%, list=14%, signal=32%","8560/6793/23200/21/9145/1534/10396/728/57153/64753/10959/196527/6844/374395/4311/340061/10972/11031/8826/54918/23317/310/5663/9321/23352/290/157680/8876/3685/535/6809/63910/966/138050/8773/9522/54832/221/3958/857/4240/158747/4126/3709/967/2683/682/10970/3106/9749/334/961/64114/3708/1832/968/3916/135228/3107/3482/84061/5795/6515/102/960/858/4179/23385/55754/10159/51706/23250/6843/2040/55/4973"
"GO:0072686","GO:0072686","mitotic spindle",162,0.640819316876456,2.16210714320236,1e-10,5.61666666666667e-09,4.40350877192983e-09,947,"tags=26%, list=7%, signal=24%","5347/990/9055/983/9787/9212/1062/221150/29899/4085/2669/10460/3833/259266/284403/220134/51203/29127/10615/10381/3832/6790/26586/3835/150468/54627/146909/22974/2035/9493/9585/8317/81610/81930/203068/23636/8841/90417/10383/55559/93323/79969"
"GO:0005774","GO:0005774","vacuolar membrane",395,-0.541672394237187,-2.03433661627646,1e-10,5.61666666666667e-09,4.40350877192983e-09,2442,"tags=36%, list=18%, signal=30%","4074/23646/3920/949/164/54664/6520/286410/112770/282991/2475/57600/9842/5660/51524/51368/10241/1650/1497/57707/9821/20/4718/1917/5862/26001/23339/27243/54834/529/1203/302/23200/54978/1185/21/8417/80208/151636/9145/5664/1534/10396/220002/57153/2896/55238/29965/57231/1186/23334/89845/81671/9043/6272/8763/206358/374395/83667/340061/89849/537/3108/55652/23208/23001/54918/23317/5663/26503/7782/290/157680/28962/8876/4864/55788/84286/11342/525/1213/528/535/7405/51510/63910/284129/138050/2776/1803/54832/7436/84888/79901/4286/256471/4035/4126/1182/1509/950/967/128338/2683/53373/22863/1889/9528/10970/51374/8140/23710/4891/64747/9583/523/2629/64114/567/4905/968/3916/84925/4012/84061/79026/55332/11145/1601/221955/56674/5476/23385/55754/4646/10159/3949/23250/64798/2040/55"
"GO:0005765","GO:0005765","lysosomal membrane",362,-0.543289959255365,-2.02964915868189,1e-10,5.61666666666667e-09,4.40350877192983e-09,2442,"tags=36%, list=18%, signal=30%","4074/23646/3920/949/164/54664/6520/286410/112770/282991/2475/57600/9842/5660/1650/1497/57707/20/4718/1917/5862/26001/23339/27243/54834/529/1203/302/23200/54978/1185/21/8417/80208/151636/9145/5664/1534/10396/220002/57153/2896/55238/29965/57231/1186/23334/89845/9043/6272/8763/206358/374395/83667/537/3108/55652/23208/54918/23317/5663/26503/7782/290/157680/28962/8876/4864/55788/84286/11342/1213/528/535/51510/63910/284129/138050/2776/1803/54832/7436/84888/79901/4286/256471/4035/4126/1182/1509/950/967/128338/2683/53373/1889/9528/10970/51374/8140/4891/64747/9583/523/2629/64114/567/4905/968/3916/84925/4012/84061/79026/55332/11145/1601/221955/56674/5476/23385/55754/4646/10159/3949/23250/64798/2040/55"
