"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002181","GO:0002181","cytoplasmic translation",153,0.645644186798078,2.55331562402621,1e-10,5.4e-07,4.94210526315789e-07,1954,"tags=59%, list=14%, signal=52%","6227/6209/6171/6222/6234/6187/6157/11224/728689/6160/6194/7311/6204/6210/6143/6132/6142/6188/6161/3921/6231/6141/221662/6208/51121/6137/6154/6193/6202/6130/6175/6124/25873/6122/6207/6159/6128/6176/6129/8531/6206/23521/6223/2197/6158/6229/6136/6203/6181/6191/7812/6168/4736/22849/10399/6125/6165/6156/6144/6146/6218/6135/6155/6167/51386/6173/4904/6139/8665/9349/26986/6152/6164/6205/8667/1968/6224/7555/8662/4733/6134/6169/6217/6201/6138/6230/51389/8666/6235/9045/6133"
"GO:1902105","GO:1902105","regulation of leukocyte differentiation",211,-0.532372816107479,-2.11416348355409,5.31212980873684e-08,0.000143427504835895,0.000131265523431681,1621,"tags=19%, list=12%, signal=17%","861/259307/50487/2621/4286/3718/56603/6522/4192/60/7494/8289/84959/920/169200/55193/4982/865/2625/9770/5591/6597/54542/1021/652/3146/2175/3606/7048/6935/146433/9760/84293/4739/84695/55365/1435/10234/3575/28959/10875"
"GO:0006310","GO:0006310","DNA recombination",281,-0.461847364965398,-1.88263511521473,2.35029828376091e-06,0.00423053691076964,0.00387180717272192,2685,"tags=32%, list=20%, signal=27%","493861/7011/83933/5888/23064/3005/4361/9730/10213/86/5932/26168/22944/51444/7155/11073/9643/84542/7520/254394/54537/79703/78996/9156/8438/4436/317761/65123/4172/10189/4683/197342/79840/3980/54891/3149/83990/8317/4174/80010/57634/10097/1111/149840/79000/60/25788/2187/6832/84057/64710/348654/1108/118460/7334/4796/112441434/51377/23137/2067/55183/8607/4176/10721/5591/54780/4171/29128/84515/3836/55159/116028/8914/200558/10635/64859/3146/56916/5892/7037/79677/142/4175/51659/6421/2237/51750/55719/2521/3838/3575"
"GO:0044342","GO:0044342","type B pancreatic cell proliferation",22,0.765615047246008,2.16414526426426,2.81954724128311e-05,0.0189080626601624,0.0173047474053533,998,"tags=45%, list=7%, signal=42%","3164/8660/9572/572/5798/3487/6422/51092/26471/8013"
"GO:0006261","GO:0006261","DNA-templated DNA replication",153,-0.505893173114949,-1.93459838572332,3.15134377669373e-05,0.0189080626601624,0.0173047474053533,3586,"tags=50%, list=26%, signal=37%","5558/5001/5985/4173/580/253714/64863/56652/9984/672/54962/64785/5813/25939/8318/2021/675/79892/4999/10714/5888/4361/5932/26271/5984/11073/254394/92667/29980/91607/6419/10269/4172/10189/1602/4683/197342/7013/3980/54465/8317/4174/6742/90381/79075/546/64318/25842/64710/348654/4796/1663/63901/222229/4176/10721/4171/84515/55159/144455/8914/545/11169/5422/5427/9134/5426/142/4175/990/51659/11177/2237/5557/51750/9837"
"GO:0040017","GO:0040017","positive regulation of locomotion",431,-0.38207075652769,-1.6277157125018,2.93889363444471e-05,0.0189080626601624,0.0173047474053533,1603,"tags=18%, list=12%, signal=16%","4249/2621/57214/538/27161/4192/58494/10507/5291/7494/3569/158747/9475/57698/25960/6405/9048/27286/5764/10509/2260/2625/286527/7114/29105/2149/3554/1969/655/85440/2316/3627/3685/324/2048/91663/9585/652/2303/57556/10630/3491/2113/81/3146/153769/2246/7048/64750/6648/961/9076/5919/8840/146433/11149/3309/3082/29126/4162/3912/7010/3383/4739/10371/3690/5328/650/152007/2152/80310/1902/1435/5649/5156/9510"
"GO:0002521","GO:0002521","leukocyte differentiation",403,-0.396949082482508,-1.67999283820613,4.01547231814313e-05,0.0216835505179729,0.01984488687756,1942,"tags=24%, list=14%, signal=21%","3428/10385/9730/64218/5048/86/55636/10673/177/23240/100/3676/56833/3601/7155/23210/864/80149/7189/3815/64115/55012/55846/9215/4436/10892/56262/4627/5663/29102/79840/7157/5734/861/259307/50487/55509/2621/4286/538/3718/56603/6522/4192/60/139818/7494/8289/3569/54790/84959/920/169200/3589/26022/55193/4982/865/7412/2625/5795/9770/6722/2146/2194/1969/5591/6597/54542/1021/7301/84101/6482/1513/652/3146/2175/3606/3930/7037/7048/142/6935/8840/146433/9760/84293/4739/84695/650/55365/1435/10234/3575/28959/10875"
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis",101,0.490164588208987,1.83229299543419,6.76030056066173e-05,0.0304213525229778,0.0278417641511463,2511,"tags=38%, list=18%, signal=31%","6227/6209/6234/6194/6210/3921/6208/6193/6202/6207/6206/6223/6229/6203/6191/91582/6218/9136/26284/6205/2091/6169/6217/6201/28987/90121/27042/6230/51096/92856/10199/404672/6189/84135/65083/6228/4869/6232"
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading",85,-0.578616825420291,-2.01726087561978,8.33252064928271e-05,0.0346120088508666,0.0316770724278399,653,"tags=24%, list=5%, signal=23%","2316/3911/3685/81848/7301/23603/91663/10630/81/2633/79834/8516/59277/11149/10675/3912/7010/4739/3690/2192"
"GO:2000147","GO:2000147","positive regulation of cell motility",421,-0.379964264967383,-1.61288909731754,9.8466301336308e-05,0.0379798590868616,0.0347593447198471,1603,"tags=17%, list=12%, signal=16%","4249/2621/57214/538/27161/4192/58494/10507/5291/7494/3569/158747/9475/57698/25960/6405/27286/5764/10509/2260/2625/286527/7114/29105/2149/3554/1969/655/85440/2316/3627/3685/324/2048/91663/9585/652/2303/57556/10630/3491/2113/81/3146/153769/2246/7048/64750/6648/961/9076/5919/8840/146433/3309/3082/29126/4162/3912/7010/3383/4739/10371/3690/5328/650/152007/2152/80310/1902/1435/5649/5156/9510"
