Source Name	Material Type	Characteristics[organism]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[generation]	Characteristics[developmental stage]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[generation]	Factor Value[developmental stage]
cell_culture_young_1	cell	Homo sapiens	IMR-90	fibroblast	30	Young	P-MTAB-36175	P-MTAB-36176	cell_culture_young_1	RNA	P-MTAB-36177	cell_culture_young_1	biotin	P-AFFY-3	ArrayExpress	DL10041401.CEL	A-AFFY-141	array assay	P-AFFY-6	ArrayExpress	DL10041401.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2086/E-MTAB-2086.raw.1.zip	30	Young
cell_culture_young_2	cell	Homo sapiens	IMR-90	fibroblast	30	Young	P-MTAB-36175	P-MTAB-36176	cell_culture_young_2	RNA	P-MTAB-36177	cell_culture_young_2	biotin	P-AFFY-3	ArrayExpress	DL10082501.CEL	A-AFFY-141	array assay	P-AFFY-6	ArrayExpress	DL10082501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2086/E-MTAB-2086.raw.1.zip	30	Young
cell_culture_young_3	cell	Homo sapiens	IMR-90	fibroblast	30	Young	P-MTAB-36175	P-MTAB-36176	cell_culture_young_3	RNA	P-MTAB-36177	cell_culture_young_3	biotin	P-AFFY-3	ArrayExpress	DL10082502.CEL	A-AFFY-141	array assay	P-AFFY-6	ArrayExpress	DL10082502.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2086/E-MTAB-2086.raw.1.zip	30	Young
cell_culture_middle_1	cell	Homo sapiens	IMR-90	fibroblast	50	Middle	P-MTAB-36175	P-MTAB-36176	cell_culture_middle_1	RNA	P-MTAB-36177	cell_culture_middle_1	biotin	P-AFFY-3	ArrayExpress	DL10041402.CEL	A-AFFY-141	array assay	P-AFFY-6	ArrayExpress	DL10041402.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2086/E-MTAB-2086.raw.1.zip	50	Middle
cell_culture_middle_2	cell	Homo sapiens	IMR-90	fibroblast	50	Middle	P-MTAB-36175	P-MTAB-36176	cell_culture_middle_2	RNA	P-MTAB-36177	cell_culture_middle_2	biotin	P-AFFY-3	ArrayExpress	DL10082503.CEL	A-AFFY-141	array assay	P-AFFY-6	ArrayExpress	DL10082503.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2086/E-MTAB-2086.raw.1.zip	50	Middle
cell_culture_middle_3	cell	Homo sapiens	IMR-90	fibroblast	50	Middle	P-MTAB-36175	P-MTAB-36176	cell_culture_middle_3	RNA	P-MTAB-36177	cell_culture_middle_3	biotin	P-AFFY-3	ArrayExpress	DL10082504.CEL	A-AFFY-141	array assay	P-AFFY-6	ArrayExpress	DL10082504.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2086/E-MTAB-2086.raw.1.zip	50	Middle
cell_culture_middle_4	cell	Homo sapiens	IMR-90	fibroblast	50	Middle	P-MTAB-36175	P-MTAB-36176	cell_culture_middle_4	RNA	P-MTAB-36177	cell_culture_middle_4	biotin	P-AFFY-3	ArrayExpress	DL10082517.CEL	A-AFFY-141	array assay	P-AFFY-6	ArrayExpress	DL10082517.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2086/E-MTAB-2086.raw.1.zip	50	Middle
cell_culture_old_1	cell	Homo sapiens	IMR-90	fibroblast	70	Old	P-MTAB-36175	P-MTAB-36176	cell_culture_old_1	RNA	P-MTAB-36177	cell_culture_old_1	biotin	P-AFFY-3	ArrayExpress	DL10041403.CEL	A-AFFY-141	array assay	P-AFFY-6	ArrayExpress	DL10041403.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2086/E-MTAB-2086.raw.1.zip	70	Old
cell_culture_old_2	cell	Homo sapiens	IMR-90	fibroblast	70	Old	P-MTAB-36175	P-MTAB-36176	cell_culture_old_2	RNA	P-MTAB-36177	cell_culture_old_2	biotin	P-AFFY-3	ArrayExpress	DL10082505.CEL	A-AFFY-141	array assay	P-AFFY-6	ArrayExpress	DL10082505.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2086/E-MTAB-2086.raw.1.zip	70	Old
cell_culture_old_3	cell	Homo sapiens	IMR-90	fibroblast	70	Old	P-MTAB-36175	P-MTAB-36176	cell_culture_old_3	RNA	P-MTAB-36177	cell_culture_old_3	biotin	P-AFFY-3	ArrayExpress	DL10082506.CEL	A-AFFY-141	array assay	P-AFFY-6	ArrayExpress	DL10082506.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2086/E-MTAB-2086.raw.1.zip	70	Old
