sample	condition	cycle	replicate	batch	SNV_obs	INDEL_obs	Cov	Sen_SNV	Sen_INDEL	SNV_obs_shared	SNV_est_shared	INDEL_obs_shared	INDEL_est_shared	SNV_est	INDEL_est
C1_05_24	control	1	1	1	595	15	958218356	0.655151387	0.325057906	0	0	0	0	2877.76975907187	146.221511625814
C2_05_24	control	1	2	1	478	19	1065722549	0.654077726	0.325668493	0	0	0	0	2082.09054289806	166.218336370648
C3_05_24	control	1	3	1	519	15	1026614557	0.655030195	0.326031638	0	0	0	0	2343.38609851787	136.072174393787
E1_06_14	enu	3	1	1	2964	21	908423760	0.53233128	0.28327149	0	0	1	11.7992357372712	18610.2821710956	247.783950482695
E2_06_14	enu	3	2	1	3637	24	1002113483	0.5934915	0.312284172	0	0	1	9.70238159693972	18567.6577337147	232.857158326553
E1_08_16	enu	3	3	1	3997	26	995321847	0.609219226	0.323798995	0	0	0	0	20014.3845818387	244.951184778641
E3_06_14	enu	6	1	1	9358	31	1270909869	0.713769157	0.350933491	8	26.7770473778453	1	6.80778232342952	31322.4511702346	211.041252026315
E2_08_16	enu	6	2	1	5711	21	812176494	0.645405031	0.327174781	8	46.3396185192905	1	11.4265465524109	33080.6951704585	239.95747760063
E3_08_16	enu	6	3	1	8917	33	1213715840	0.639331069	0.326041505	0	0	0	0	34891.6226105951	253.203241100292
MMEA9_C1	control	9	1	2	503	14	1357498734	0.566577197	0.286787922	0	0	0	0	1985.70481999427	109.187513229113
MMEA9_C2	control	9	2	2	429	18	1119883474	0.584000648	0.293644392	0	0	0	0	1991.66530056754	166.197002936817
MMEA9_C3	control	9	3	2	516	14	1328826144	0.765670929	0.36664564	0	0	0	0	1539.87195395319	87.2486219870524
MMEA9_E1	enu	9	1	2	11574	23	1253637281	0.47589224	0.245685363	0	0	0	0	58904.4609140837	226.736732247428
MMEA9_E2	enu	9	2	2	5534	11	888797869	0.308343791	0.164050293	0	0	0	0	61312.0972899708	229.064558841514
MMEA9_E3	enu	9	3	2	16359	16	1418026685	0.707857633	0.338974879	0	0	0	0	49484.7817204982	101.067912178866
MMEB9_C1	control	9	1	3	358	13	1129734043	0.683738331	0.337514108	0	0	0	0	1407.22036972719	103.51908752473
MMEB9_C2	control	9	2	3	506	19	1107824183	0.597938046	0.304767657	0	0	0	0	2319.36296085114	170.867361468548
MMEB9_C3	control	9	3	3	372	3	1244911909	0.819741499	0.379801838	0	0	0	0	1106.80885871829	19.2650792906593
MMEB9_E1	enu	9	1	3	18101	44	1444718875	0.693500233	0.336809171	0	0	0	0	54855.2046882255	274.555817901701
MMEB9_E2	enu	9	2	3	8137	13	1068317725	0.423515075	0.218873402	0	0	0	0	54605.984062298	168.808829924848
MMEB9_E3	enu	9	3	3	10035	25	934846682	0.576207836	0.285940873	0	0	0	0	56564.3831627365	283.967480785547
