"","contrast","estimate","SE","df","t.ratio","p.value","p.value.signif"
"3","control cycle1 - enu cycle3",-17067.8874794163,1953.8279286951,16,-8.73561444626058,1.54327271995047e-06,"****"
"5","control cycle1 - enu cycle6",-31102.035634296,1953.8279286951,16,-15.9185131799544,2.75927281023769e-10,"****"
"6","control cycle1 - control cycle9",271.114972164728,1692.06462087349,16,0.160227315682998,0.999834501767521,"ns"
"7","control cycle1 - enu cycle9",-53958.2646235021,1692.06462087349,16,-31.8890094136283,2.4535928844216e-14,"****"
"20","enu cycle3 - enu cycle6",-14034.1481548797,1953.8279286951,16,-7.18289873369384,1.89667439007835e-05,"****"
"21","enu cycle3 - control cycle9",17339.002451581,1692.06462087349,16,10.2472460198537,1.75075891672982e-07,"****"
"22","enu cycle3 - enu cycle9",-36890.3771440858,1692.06462087349,16,-21.8019907094577,2.85871326610732e-12,"****"
"26","enu cycle6 - control cycle9",31373.1506064607,1692.06462087349,16,18.5413430547736,2.67844635359893e-11,"****"
"27","enu cycle6 - enu cycle9",-22856.2289892061,1692.06462087349,16,-13.5078936745377,3.33152605502818e-09,"****"
"28","control cycle9 - enu cycle9",-54229.3795956668,1381.56497765197,16,-39.252138316239,2.27595720048157e-14,"****"
