"","contrast","estimate","SE","df","t.ratio","p.value","p.value.signif"
"3","control cycle1 - enu cycle3",0.0502051612663149,0.0116093129838579,16,4.32455919968068,0.00410176098943815,"**"
"5","control cycle1 - enu cycle6",0.055820452472355,0.0116093129838579,16,4.8082477016487,0.00156147181474275,"**"
"6","control cycle1 - control cycle9",0.00294796488253997,0.0100539599645054,16,0.293214304905478,0.998207555844881,"ns"
"7","control cycle1 - enu cycle9",0.0591124647385989,0.0100539599645054,16,5.87952060156295,0.000196809765918293,"***"
"20","enu cycle3 - enu cycle6",0.00561529120604012,0.0116093129838579,16,0.483688501968022,0.9877985156844,"ns"
"21","enu cycle3 - control cycle9",-0.0472571963837749,0.0100539599645054,16,-4.70035653121874,0.00193466975777001,"**"
"22","enu cycle3 - enu cycle9",0.00890730347228398,0.0100539599645054,16,0.88594976543873,0.897962146922442,"ns"
"26","enu cycle6 - control cycle9",-0.0528724875898151,0.0100539599645054,16,-5.25887190484907,0.000644353379160578,"***"
"27","enu cycle6 - enu cycle9",0.00329201226624386,0.0100539599645054,16,0.327434391808402,0.997246384427813,"ns"
"28","control cycle9 - enu cycle9",0.0561644998560589,0.00820902393580293,16,6.84179998685378,3.42666148170911e-05,"****"
