"","contrast","estimate","SE","df","t.ratio","p.value","p.value.signif"
"3","control cycle1 - enu cycle3",-92.3600903992133,41.2953110845117,16,-2.23657572672589,0.216265103388093,"ns"
"5","control cycle1 - enu cycle6",-85.2299827789958,41.2953110845117,16,-2.0639142929465,0.281980424399153,"ns"
"6","control cycle1 - control cycle9",40.12322972393,35.7627884563682,16,1.12192676957731,0.792913311060106,"ns"
"7","control cycle1 - enu cycle9",-64.5295478499008,35.7627884563682,16,-1.80437685748775,0.404632738002344,"ns"
"20","enu cycle3 - enu cycle6",7.13010762021753,41.2953110845117,16,0.172661433779385,0.999777369580531,"ns"
"21","enu cycle3 - control cycle9",132.483320123143,35.7627884563682,16,3.70450196535366,0.0142370781035875,"*"
"22","enu cycle3 - enu cycle9",27.8305425493125,35.7627884563682,16,0.778198338288602,0.933272414045389,"ns"
"26","enu cycle6 - control cycle9",125.353212502926,35.7627884563682,16,3.50512971481127,0.0211659120397988,"*"
"27","enu cycle6 - enu cycle9",20.700434929095,35.7627884563682,16,0.578826087746212,0.976348923314233,"ns"
"28","control cycle9 - enu cycle9",-104.652777573831,29.2001944990662,16,-3.58397535938254,0.0181015243886398,"*"
