"","contrast","estimate","SE","df","t.ratio","p.value","p.value.signif"
"3","control cycle1 - enu cycle3",-16629.6926953871,1954.97677283873,16,-8.50633773578798,2.19463659134611e-06,"****"
"5","control cycle1 - enu cycle6",-30663.8408502668,1954.97677283873,16,-15.6850154315344,3.47516904142253e-10,"****"
"6","control cycle1 - control cycle9",709.309756193992,1693.05954908686,16,0.418951451870996,0.992901962278979,"ns"
"7","control cycle1 - enu cycle9",-53520.0698394729,1693.05954908686,16,-31.611451509983,2.48689957516035e-14,"****"
"20","enu cycle3 - enu cycle6",-14034.1481548797,1954.97677283873,16,-7.17867769574643,1.91043465922469e-05,"****"
"21","enu cycle3 - control cycle9",17339.0024515811,1693.05954908686,16,10.2412242150211,1.76517360728212e-07,"****"
"22","enu cycle3 - enu cycle9",-36890.3771440858,1693.05954908686,16,-21.7891787468329,2.88258306113676e-12,"****"
"26","enu cycle6 - control cycle9",31373.1506064608,1693.05954908686,16,18.5304472151507,2.70121702783399e-11,"****"
"27","enu cycle6 - enu cycle9",-22856.2289892061,1693.05954908686,16,-13.4999557467033,3.36044880810960e-09,"****"
"28","control cycle9 - enu cycle9",-54229.3795956669,1382.37733313646,16,-39.2290717561367,2.27595720048157e-14,"****"
