,Control,ENU
C_deletion_1,7,14
C_deletion_2,5,7
C_deletion_3,3,5
C_deletion_4,3,1
C_deletion_5,0,0
C_deletion_6+,0,0
T_deletion_1,9,15
T_deletion_2,2,10
T_deletion_3,4,11
T_deletion_4,2,7
T_deletion_5,2,7
T_deletion_6+,20,35
C_insertion_0,1,5
C_insertion_1,0,4
C_insertion_2,1,1
C_insertion_3,1,0
C_insertion_4,0,2
C_insertion_5+,1,13
T_insertion_0,5,14
T_insertion_1,5,4
T_insertion_2,4,6
T_insertion_3,1,0
T_insertion_4,2,2
T_insertion_5+,22,36
2bp_deletion_1,2,3
2bp_deletion_2,0,1
2bp_deletion_3,0,0
2bp_deletion_4,0,0
2bp_deletion_5,1,0
2bp_deletion_6+,0,0
3bp_deletion_1,0,1
3bp_deletion_2,0,0
3bp_deletion_3,0,0
3bp_deletion_4,0,0
3bp_deletion_5,0,0
3bp_deletion_6+,0,0
4bp_deletion_1,0,2
4bp_deletion_2,1,1
4bp_deletion_3,0,1
4bp_deletion_4,0,0
4bp_deletion_5,0,0
4bp_deletion_6+,0,0
5+bp_deletion_1,1,6
5+bp_deletion_2,1,1
5+bp_deletion_3,0,0
5+bp_deletion_4,0,0
5+bp_deletion_5,0,0
5+bp_deletion_6+,0,1
2bp_insertion_0,5,9
2bp_insertion_1,1,2
2bp_insertion_2,1,0
2bp_insertion_3,1,0
2bp_insertion_4,0,0
2bp_insertion_5+,0,0
3bp_insertion_0,0,2
3bp_insertion_1,0,2
3bp_insertion_2,0,0
3bp_insertion_3,0,0
3bp_insertion_4,0,0
3bp_insertion_5+,0,0
4bp_insertion_0,0,6
4bp_insertion_1,0,1
4bp_insertion_2,0,0
4bp_insertion_3,0,0
4bp_insertion_4,0,0
4bp_insertion_5+,0,0
5+bp_insertion_0,0,5
5+bp_insertion_1,0,1
5+bp_insertion_2,0,0
5+bp_insertion_3,0,0
5+bp_insertion_4,0,0
5+bp_insertion_5+,0,0
2bp_deletion_with_microhomology_1,5,3
3bp_deletion_with_microhomology_1,0,1
3bp_deletion_with_microhomology_2,1,1
4bp_deletion_with_microhomology_1,1,0
4bp_deletion_with_microhomology_2,0,1
4bp_deletion_with_microhomology_3,0,0
5+bp_deletion_with_microhomology_1,1,7
5+bp_deletion_with_microhomology_2,0,5
5+bp_deletion_with_microhomology_3,1,5
5+bp_deletion_with_microhomology_4,1,3
5+bp_deletion_with_microhomology_5+,6,18
