"type","sig","ratio","ratio_by_background","n","blosum62","blosum62_min_background"
"Stop_gain","ENU..400.uM.",0.0287625379153665,0.686060938152492,23471.4199686392,NA,NA
"Missense","ENU..400.uM.",0.690853818163132,0.9758272148838,525452.323152402,-0.24923928739418,0.220444211460343
"Synonymous","ENU..400.uM.",0.234688960765517,1.12607582803408,185390.777313441,NA,NA
"splice_site","ENU..400.uM.",0.0456946807559846,1.09591766079716,33791.1082837364,NA,NA
"Stop_gain","SBS40",0.0500049195798602,1.19274669502897,44794.0338485018,NA,NA
"Missense","SBS40",0.707932464255694,0.999950708468598,623411.211220092,-0.264954023010558,0.204729475843966
"Synonymous","SBS40",0.20401022417532,0.978874257086046,185492.531333667,NA,NA
"splice_site","SBS40",0.0380523919891262,0.912628947757737,34432.6823387511,NA,NA
"Stop_gain","SBS5",0.0354300803149373,0.845099073357425,30436.9037792441,NA,NA
"Missense","SBS5",0.680087372870449,0.960619670179059,565372.7124975,-0.207064002989865,0.262619495864658
"Synonymous","SBS5",0.245182928478714,1.17642759295501,207214.824635073,NA,NA
"splice_site","SBS5",0.0392996183358987,0.942541781326675,34132.1741351729,NA,NA
