variant_type,obs.mut,sim.mut,sim.mut.normality,log2fc,log2fc.sd,log2fc.se,pvalue,pvalue.adj,condition,cycle
3 prime UTR variant,9,13.387,3.70E-24,-0.475143109,0.388439133,0.003884391,0.1381,0.383611111,control,1
5 prime UTR variant,3,3.1392,3.70E-24,0.103714455,0.702991469,0.007029915,0.7833,1,control,1
NMD transcript variant,0,0,NA,0,0,0,1,1,control,1
TF binding site variant,0,0.2458,3.70E-24,-0.234042872,0.452657358,0.004526574,0.2186,0.496818182,control,1
downstream gene variant,93,116.0655,2.94E-11,-0.310806343,0.129537311,0.001295373,0.0194,0.069285714,control,1
frameshift variant,1,0.3852,3.70E-24,0.644450548,0.541565564,0.005415656,0.3173,0.610192308,control,1
inframe deletion,0,0.0259,3.70E-24,-0.025733985,0.159515357,0.001595154,0.0255,0.0796875,control,1
inframe insertion,0,0,NA,0,0,0,1,1,control,1
intergenic variant,563,473.8077,6.51E-05,0.2494353,0.055927759,0.000559278,0,0,control,1
intron,755,811.9554,0.000995494,-0.1043428,0.035936916,0.000359369,0.0032,0.016,control,1
missense variant,11,14.3473,3.70E-24,-0.309756934,0.368743018,0.00368743,0.2932,0.610192308,control,1
non coding transcript exon variant,9,8.8805,3.70E-24,0.089771625,0.47558223,0.004755822,1,1,control,1
regulatory region,95,91.7783,6.27E-13,0.056327062,0.143531348,0.001435313,0.7043,1,control,1
splice,5,3.4732,3.70E-24,0.561991942,0.668509188,0.006685092,0.4581,0.818035714,control,1
start lost,0,0.024,3.70E-24,-0.023875489,0.153577184,0.001535772,1,1,control,1
start retained variant,0,0,NA,0,0,0,1,1,control,1
stop gained,1,1.0906,3.70E-24,0.108294092,0.710125503,0.007101255,0.6277,1,control,1
stop lost,0,0.0173,3.70E-24,-0.017216993,0.130796434,0.001307964,0.0171,0.069285714,control,1
stop retained variant,0,0.0066,3.70E-24,-0.0066,0.080975896,0.000809759,1,1,control,1
synonymous variant,3,5.8242,3.70E-24,-0.671101431,0.562340584,0.005623406,0.203,0.496818182,control,1
upstream gene variant,105,108.5271,5.14E-12,-0.041136807,0.13291206,0.001329121,0.7264,1,control,1
mature miRNA variant,0,0.0155,3.70E-24,-0.0155,0.123536538,0.001235365,1,1,control,1
coding sequence variant,0,2.00E-04,3.70E-24,-2.00E-04,0.014141428,0.000141414,2.00E-04,0.0025,control,1
incomplete terminal codon variant / coding sequence variant,0,3.00E-04,3.70E-24,-3.00E-04,0.017318776,0.000173188,3.00E-04,0.0025,control,1
non coding transcript variant,0,5.00E-04,3.70E-24,-5.00E-04,0.022356207,0.000223562,5.00E-04,0.003125,control,1
3 prime UTR variant,67,81.7525,3.32E-14,-0.274468271,0.160060606,0.001600606,0.0701,0.3505,enu,3
5 prime UTR variant,13,14.8504,3.70E-24,-0.134291687,0.367843226,0.003678432,0.7052,1,enu,3
NMD transcript variant,0,0,NA,0,0,0,1,1,enu,3
TF binding site variant,2,1.5335,3.70E-24,0.426005529,0.743965997,0.00743966,0.7477,1,enu,3
downstream gene variant,702,719.879,0.002910586,-0.035310835,0.051591057,0.000515911,0.4793,1,enu,3
frameshift variant,0,0.5327,3.70E-24,-0.479918976,0.601854716,0.006018547,0.6838,1,enu,3
inframe deletion,0,0.0526,3.70E-24,-0.05226797,0.224238205,0.002242382,0.0518,0.32375,enu,3
inframe insertion,0,0,NA,0,0,0,1,1,enu,3
intergenic variant,3476,3199.4035,0.189953378,0.119749576,0.021510924,0.000215109,0,0,enu,3
intron,4986,5264.0305,0.494947097,-0.078199505,0.014231132,0.000142311,0,0,enu,3
missense variant,84,88.8572,2.68E-17,-0.072395464,0.150371274,0.001503713,0.6265,1,enu,3
non coding transcript exon variant,61,53.8802,7.12E-23,0.188848679,0.193842628,0.001938426,0.3732,1,enu,3
regulatory region,551,550.045,0.011600904,0.00374382,0.060002617,0.000600026,0.9825,1,enu,3
splice,21,20.3413,3.70E-24,0.077674534,0.318119827,0.003181198,0.8262,1,enu,3
start lost,0,0.3239,3.70E-24,-0.30464608,0.503794142,0.005037941,1,1,enu,3
start retained variant,0,0,NA,0,0,0,1,1,enu,3
stop gained,8,5.5856,3.70E-24,0.555395571,0.578391162,0.005783912,0.3966,1,enu,3
stop lost,0,0.1885,3.70E-24,-0.181464964,0.404878957,0.00404879,1,1,enu,3
stop retained variant,0,0.0398,3.70E-24,-0.039260451,0.197302427,0.001973024,1,1,enu,3
synonymous variant,23,28.8734,3.70E-24,-0.291193037,0.269561351,0.002695614,0.2467,0.881071429,enu,3
upstream gene variant,699,662.7271,0.019516982,0.077791043,0.054455795,0.000544558,0.1596,0.665,enu,3
mature miRNA variant,0,0.0839,3.70E-24,-0.082862406,0.279860535,0.002798605,1,1,enu,3
non coding transcript variant,0,0.0027,3.70E-24,-0.0027,0.051893924,0.000518939,1,1,enu,3
incomplete terminal codon variant / coding sequence variant,0,0.0026,3.70E-24,-0.0026,0.050926411,0.000509264,1,1,enu,3
coding sequence variant,0,0.0015,3.70E-24,-0.0015,0.03870271,0.000387027,0.0015,0.0125,enu,3
3 prime UTR variant,167,179.1629,1.34E-06,-0.096807344,0.108126105,0.001081261,0.335,0.75375,enu,6
5 prime UTR variant,40,30.981,3.70E-24,0.380746261,0.256866626,0.002568666,0.1509,0.4527,enu,6
NMD transcript variant,0,0,NA,0,0,0,1,1,enu,6
TF binding site variant,2,3.3594,3.70E-24,-0.39607213,0.680254405,0.006802544,0.4702,0.906814286,enu,6
downstream gene variant,1546,1593.9688,0.129197892,-0.043628253,0.035108929,0.000351089,0.2089,0.512754545,enu,6
frameshift variant,0,0.6056,3.70E-24,-0.53832238,0.625422548,0.006254225,0.1205,0.4066875,enu,6
inframe deletion,0,0.0797,3.70E-24,-0.078454888,0.274023097,0.002740231,1,1,enu,6
inframe insertion,0,0.0342,3.70E-24,-0.033909474,0.182789395,0.001827894,1,1,enu,6
intergenic variant,7902,7227.514,0.517587539,0.12877259,0.014342837,0.000143428,0,0,enu,6
intron,11281,11941.2859,0.430058839,-0.082025737,0.009371201,9.37E-05,0,0,enu,6
missense variant,151,195.7777,2.73E-07,-0.368815486,0.103216718,0.001032167,8.00E-04,0.00432,enu,6
non coding transcript exon variant,117,121.0748,4.13E-10,-0.043058612,0.131092415,0.001310924,0.7221,1,enu,6
regulatory region,1335,1237.3878,0.012115117,0.11001911,0.040284995,0.00040285,0.0078,0.030085714,enu,6
splice,37,45.1347,3.70E-24,-0.264400055,0.212624964,0.00212625,0.1886,0.50922,enu,6
start lost,1,0.7536,3.70E-24,0.349318069,0.665984459,0.006659845,0.6472,1,enu,6
start retained variant,0,2.00E-04,3.70E-24,-2.00E-04,0.014141428,0.000141414,2.00E-04,0.00135,enu,6
stop gained,13,11.4755,3.70E-24,0.222456294,0.413702692,0.004137027,0.7662,1,enu,6
stop lost,0,0.4208,3.70E-24,-0.387281433,0.55672865,0.005567286,0.7239,1,enu,6
stop retained variant,0,0.0822,3.70E-24,-0.080954888,0.277831502,0.002778315,1,1,enu,6
