"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","log2fc.sd","log2fc.se","pvalue","pvalue.adj"
"3 prime UTR variant",9,13.387,3.7e-24,-0.47514310855741,0.388439132742768,0.00388439132742768,0.1381,0.383611111111111
"5 prime UTR variant",3,3.1392,3.7e-24,0.103714454625373,0.702991469142779,0.00702991469142779,0.7833,1
"NMD transcript variant",0,0,NA,0,0,0,1,1
"TF binding site variant",0,0.2458,3.7e-24,-0.234042871575282,0.452657357566709,0.00452657357566709,0.2186,0.496818181818182
"downstream gene variant",93,116.0655,2.93652913800789e-11,-0.310806343224116,0.12953731082443,0.0012953731082443,0.0194,0.0692857142857143
"frameshift variant",1,0.3852,3.7e-24,0.644450548117108,0.541565563576239,0.00541565563576239,0.3173,0.610192307692308
"inframe deletion",0,0.0259,3.7e-24,-0.0257339850002885,0.159515356572275,0.00159515356572275,0.0255,0.0796875
"inframe insertion",0,0,NA,0,0,0,1,1
"intergenic variant",563,473.8077,6.51437430646221e-05,0.249435299576179,0.0559277591954361,0.000559277591954361,0,0
"intron",755,811.9554,0.000995493528565157,-0.104342799926591,0.0359369161176911,0.000359369161176911,0.0032,0.016
"missense variant",11,14.3473,3.7e-24,-0.309756933927452,0.368743017823201,0.00368743017823201,0.2932,0.610192307692308
"non coding transcript exon variant",9,8.8805,3.7e-24,0.0897716253786472,0.475582230394885,0.00475582230394885,1,1
"regulatory region",95,91.7783,6.26697467502162e-13,0.0563270615693963,0.143531348249906,0.00143531348249906,0.7043,1
"splice",5,3.4732,3.7e-24,0.561991942143053,0.668509188100773,0.00668509188100773,0.4581,0.818035714285714
"start lost",0,0.024,3.7e-24,-0.0238754887502163,0.153577184082445,0.00153577184082445,1,1
"start retained variant",0,0,NA,0,0,0,1,1
"stop gained",1,1.0906,3.7e-24,0.108294092186643,0.710125503103487,0.00710125503103487,0.6277,1
"stop lost",0,0.0173,3.7e-24,-0.0172169925001442,0.130796434071059,0.00130796434071059,0.0171,0.0692857142857143
"stop retained variant",0,0.0066,3.7e-24,-0.0066,0.0809758958553158,0.000809758958553158,1,1
"synonymous variant",3,5.8242,3.7e-24,-0.671101431036017,0.562340584372989,0.00562340584372989,0.203,0.496818181818182
"upstream gene variant",105,108.5271,5.14435947037804e-12,-0.0411368070609669,0.13291205986845,0.0013291205986845,0.7264,1
"mature miRNA variant",0,0.0155,3.7e-24,-0.0155,0.123536537621923,0.00123536537621923,1,1
"coding sequence variant",0,2e-04,3.7e-24,-2e-04,0.0141414284285499,0.000141414284285499,2e-04,0.0025
"incomplete terminal codon variant / coding sequence variant",0,3e-04,3.7e-24,-3e-04,0.0173187757650303,0.000173187757650303,3e-04,0.0025
"non coding transcript variant",0,5e-04,3.7e-24,-5e-04,0.022356206744392,0.00022356206744392,5e-04,0.003125
