"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","log2fc.sd","log2fc.se","pvalue","pvalue.adj"
"3 prime UTR variant",9,13,3.7e-24,-0.485426827170242,0.388439132742768,0.00388439132742768,0.1712,0.856
"5 prime UTR variant",3,3,3.7e-24,0,0.702991469142779,0.00702991469142779,1,1
"NMD transcript variant",0,0,NA,0,0,0,1,1
"TF binding site variant",0,0,3.7e-24,0,0.452657357566709,0.00452657357566709,1,1
"downstream gene variant",93,116,2.93652913800789e-11,-0.315775867905767,0.12953731082443,0.0012953731082443,0.0194,0.161666666666667
"frameshift variant",1,0,3.7e-24,1,0.541565563576239,0.00541565563576239,0.3173,1
"inframe deletion",0,0,3.7e-24,0,0.159515356572275,0.00159515356572275,1,1
"inframe insertion",0,0,NA,0,0,0,1,1
"intergenic variant",563,474,6.51437430646221e-05,0.247767649180483,0.0559277591954361,0.000559277591954361,0,0
"intron",755,812,0.000995493528565157,-0.104869117853955,0.0359369161176911,0.000359369161176911,0.0032,0.04
"missense variant",11,14,3.7e-24,-0.321928094887362,0.368743017823201,0.00368743017823201,0.4276,1
"non coding transcript exon variant",9,9,3.7e-24,0,0.475582230394885,0.00475582230394885,1,1
"regulatory region",95,92,6.26697467502162e-13,0.0458036896131247,0.143531348249906,0.00143531348249906,0.7872,1
"splice",5,3,3.7e-24,0.584962500721156,0.668509188100773,0.00668509188100773,0.4023,1
"start lost",0,0,3.7e-24,0,0.153577184082445,0.00153577184082445,1,1
"start retained variant",0,0,NA,0,0,0,1,1
"stop gained",1,1,3.7e-24,0,0.710125503103487,0.00710125503103487,1,1
"stop lost",0,0,3.7e-24,0,0.130796434071059,0.00130796434071059,1,1
"stop retained variant",0,0,3.7e-24,0,0.0809758958553158,0.000809758958553158,1,1
"synonymous variant",3,6,3.7e-24,-0.807354922057604,0.562340584372989,0.00562340584372989,0.0871,0.544375
"upstream gene variant",105,109,5.14435947037804e-12,-0.0534392589614604,0.13291205986845,0.0013291205986845,0.655,1
"mature miRNA variant",0,0,3.7e-24,0,0.123536537621923,0.00123536537621923,1,1
"coding sequence variant",0,0,3.7e-24,0,0.0141414284285499,0.000141414284285499,1,1
"incomplete terminal codon variant / coding sequence variant",0,0,3.7e-24,0,0.0173187757650303,0.000173187757650303,1,1
"non coding transcript variant",0,0,3.7e-24,0,0.022356206744392,0.00022356206744392,1,1
