"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","log2fc.sd","log2fc.se","pvalue","pvalue.adj"
"3 prime UTR variant",167,179.1629,1.34476494897281e-06,-0.0968073442412815,0.108126104847449,0.00108126104847449,0.335,0.75375
"5 prime UTR variant",40,30.981,3.7e-24,0.380746260908673,0.256866626397312,0.00256866626397312,0.1509,0.4527
"NMD transcript variant",0,0,NA,0,0,0,1,1
"TF binding site variant",2,3.3594,3.7e-24,-0.396072130468785,0.680254405098409,0.00680254405098409,0.4702,0.906814285714286
"downstream gene variant",1546,1593.9688,0.12919789154061,-0.0436282529189714,0.0351089288934556,0.000351089288934556,0.2089,0.512754545454545
"frameshift variant",0,0.6056,3.7e-24,-0.538322380143615,0.625422548185418,0.00625422548185418,0.1205,0.4066875
"inframe deletion",0,0.0797,3.7e-24,-0.0784548875021635,0.274023097345621,0.00274023097345621,1,1
"inframe insertion",0,0.0342,3.7e-24,-0.0339094737505048,0.182789395415478,0.00182789395415478,1,1
"intergenic variant",7902,7227.514,0.517587539316611,0.128772590395972,0.0143428374624247,0.000143428374624247,0,0
"intron",11281,11941.2859,0.430058838592456,-0.0820257365826371,0.00937120086004684,9.37120086004684e-05,0,0
"missense variant",151,195.7777,2.73116118171507e-07,-0.368815485851012,0.103216717918985,0.00103216717918985,8e-04,0.00432
"non coding transcript exon variant",117,121.0748,4.12501226945603e-10,-0.0430586119194688,0.131092414914612,0.00131092414914612,0.7221,1
"regulatory region",1335,1237.3878,0.0121151172977777,0.110019110247652,0.040284995121451,0.00040284995121451,0.0078,0.0300857142857143
"splice",37,45.1347,3.7e-24,-0.26440005540246,0.212624964234142,0.00212624964234142,0.1886,0.50922
"start lost",1,0.7536,3.7e-24,0.34931806948836,0.665984459179076,0.00665984459179076,0.6472,1
"start retained variant",0,2e-04,3.7e-24,-2e-04,0.0141414284285499,0.000141414284285499,2e-04,0.00135
"stop gained",13,11.4755,3.7e-24,0.222456294186033,0.413702691528553,0.00413702691528553,0.7662,1
"stop lost",0,0.4208,3.7e-24,-0.387281433149697,0.556728649967499,0.00556728649967499,0.7239,1
"stop retained variant",0,0.0822,3.7e-24,-0.0809548875021635,0.277831502191436,0.00277831502191436,1,1
"synonymous variant",55,61.2501,1.6142314220054e-21,-0.141221015564179,0.182468627267902,0.00182468627267902,0.3709,0.770330769230769
"upstream gene variant",1472,1468.3976,0.173325472840643,0.00398018817115667,0.0359450626059364,0.000359450626059364,0.928,1
"mature miRNA variant",0,0.188,3.7e-24,-0.181264963760313,0.40408224261795,0.0040408224261795,1,1
"non coding transcript variant",0,0.0043,3.7e-24,-0.0043,0.0654365203370364,0.000654365203370364,1,1
"coding sequence variant",0,0.0033,3.7e-24,-0.0033,0.0573536306077862,0.000573536306077862,1,1
"incomplete terminal codon variant / coding sequence variant",0,0.004,3.7e-24,-0.004,0.0631220915357213,0.000631220915357213,1,1
"protein altering variant",0,0.0025,3.7e-24,-0.0025,0.049939957948921,0.00049939957948921,0.0025,0.01125
"coding sequence variant / NMD transcript variant",0,2e-04,3.7e-24,-2e-04,0.0141414284285499,0.000141414284285499,2e-04,0.00135
