"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","log2fc.sd","log2fc.se","pvalue","pvalue.adj"
"3 prime UTR variant",167,179,1.34476494897281e-06,-0.0995356735509144,0.108126104847449,0.00108126104847449,0.3553,1
"5 prime UTR variant",40,31,3.7e-24,0.357552004618084,0.256866626397312,0.00256866626397312,0.1296,0.69984
"NMD transcript variant",0,0,NA,0,0,0,1,1
"TF binding site variant",2,3,3.7e-24,-0.415037499278844,0.680254405098409,0.00680254405098409,0.3987,1
"downstream gene variant",1546,1594,0.12919789154061,-0.044083227203196,0.0351089288934556,0.000351089288934556,0.2039,0.813085714285714
"frameshift variant",0,0,3.7e-24,0,0.625422548185418,0.00625422548185418,1,1
"inframe deletion",0,0,3.7e-24,0,0.274023097345621,0.00274023097345621,1,1
"inframe insertion",0,0,3.7e-24,0,0.182789395415478,0.00182789395415478,1,1
"intergenic variant",7902,7228,0.517587539316611,0.128604317675601,0.0143428374624247,0.000143428374624247,0,0
"intron",11281,11941,0.430058838592456,-0.0820216317710312,0.00937120086004684,9.37120086004684e-05,0,0
"missense variant",151,196,2.73116118171507e-07,-0.374124306012791,0.103216717918985,0.00103216717918985,6e-04,0.0054
"non coding transcript exon variant",117,121,4.12501226945603e-10,-0.0480942882010451,0.131092414914612,0.00131092414914612,0.6863,1
"regulatory region",1335,1237,0.0121151172977777,0.109908693259788,0.040284995121451,0.00040284995121451,0.0078,0.05265
"splice",37,45,3.7e-24,-0.275634442613427,0.212624964234142,0.00212624964234142,0.2108,0.813085714285714
"start lost",1,1,3.7e-24,0,0.665984459179076,0.00665984459179076,1,1
"start retained variant",0,0,3.7e-24,0,0.0141414284285499,0.000141414284285499,1,1
"stop gained",13,11,3.7e-24,0.222392421336448,0.413702691528553,0.00413702691528553,0.6522,1
"stop lost",0,0,3.7e-24,0,0.556728649967499,0.00556728649967499,1,1
"stop retained variant",0,0,3.7e-24,0,0.277831502191436,0.00277831502191436,1,1
"synonymous variant",55,61,1.6142314220054e-21,-0.146841388329271,0.182468627267902,0.00182468627267902,0.4434,1
"upstream gene variant",1472,1468,0.173325472840643,0.00392303447956931,0.0359450626059364,0.000359450626059364,0.928,1
"mature miRNA variant",0,0,3.7e-24,0,0.40408224261795,0.0040408224261795,1,1
"non coding transcript variant",0,0,3.7e-24,0,0.0654365203370364,0.000654365203370364,1,1
"coding sequence variant",0,0,3.7e-24,0,0.0573536306077862,0.000573536306077862,1,1
"incomplete terminal codon variant / coding sequence variant",0,0,3.7e-24,0,0.0631220915357213,0.000631220915357213,1,1
"protein altering variant",0,0,3.7e-24,0,0.049939957948921,0.00049939957948921,1,1
"coding sequence variant / NMD transcript variant",0,0,3.7e-24,0,0.0141414284285499,0.000141414284285499,1,1
