"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","log2fc.sd","log2fc.se","pvalue","pvalue.adj"
"3 prime UTR variant",20,24.2481,3.7e-24,-0.237574109893398,0.288862660496309,0.00288862660496309,0.3122,0.593928571428571
"5 prime UTR variant",3,5.1463,3.7e-24,-0.510137211038713,0.589708403878089,0.00589708403878089,0.3296,0.593928571428571
"NMD transcript variant",0,0,NA,0,0,0,1,1
"TF binding site variant",0,0.4104,3.7e-24,-0.376419678138157,0.555208761986578,0.00555208761986578,0.3326,0.593928571428571
"downstream gene variant",150,196.0154,4.71739506656243e-07,-0.380382803410046,0.0989110929095302,0.000989110929095302,2e-04,0.00125
"frameshift variant",0,0.6439,3.7e-24,-0.568618549959598,0.636611050879135,0.00636611050879135,0.6607,1
"inframe deletion",0,0.056,3.7e-24,-0.0553604512509375,0.231746260029145,0.00231746260029145,0.0545,0.1703125
"inframe insertion",0,0,NA,0,0,0,1,1
"intergenic variant",985,753.6352,0.00852480106384946,0.38651914634011,0.0453141592269573,0.000453141592269573,0,0
"intron",1266,1404.3036,0.0200714641109761,-0.149204428078958,0.0274438771683184,0.000274438771683184,0,0
"missense variant",23,25.6532,3.7e-24,-0.124237690213289,0.282811855000707,0.00282811855000707,0.6292,1
"non coding transcript exon variant",15,14.3295,3.7e-24,0.107434677743206,0.370881500716819,0.00370881500716819,0.8898,1
"regulatory region",134,148.5354,1.52648764157118e-08,-0.142944267322594,0.115290469129629,0.00115290469129629,0.21,0.583333333333333
"splice",1,5.9371,3.7e-24,-1.69471612507336,0.564257785670775,0.00564257785670775,0.0201,0.0717857142857143
"start lost",0,0.0458,3.7e-24,-0.0453679700005769,0.210370762670955,0.00210370762670955,1,1
"start retained variant",0,0,NA,0,0,0,1,1
"stop gained",4,1.8984,3.7e-24,0.963600860389462,0.743365927038961,0.00743365927038961,0.2776,0.593928571428571
"stop lost",0,0.0378,3.7e-24,-0.0375509775004327,0.191574679568471,0.00191574679568471,1,1
"stop retained variant",0,0.0106,3.7e-24,-0.0106,0.102414300119109,0.00102414300119109,1,1
"synonymous variant",3,8.5603,3.7e-24,-1.18688038668955,0.466258157168034,0.00466258157168034,0.0087,0.03625
"upstream gene variant",173,187.5063,2.87026156719779e-09,-0.111920788036593,0.102136564647474,0.00102136564647474,0.243,0.593928571428571
"mature miRNA variant",0,0.0207,3.7e-24,-0.0206584962500721,0.142570928988115,0.00142570928988115,1,1
"coding sequence variant",0,2e-04,3.7e-24,-2e-04,0.0141414284285499,0.000141414284285499,2e-04,0.00125
"incomplete terminal codon variant / coding sequence variant",0,7e-04,3.7e-24,-7e-04,0.0264495738717243,0.000264495738717243,1,1
"non coding transcript variant",0,5e-04,3.7e-24,-5e-04,0.022356206744392,0.00022356206744392,5e-04,0.0025
