"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","log2fc.sd","log2fc.se","pvalue","pvalue.adj"
"3 prime UTR variant",20,24,3.7e-24,-0.251538766995965,0.288862660496309,0.00288862660496309,0.361,0.9025
"5 prime UTR variant",3,5,3.7e-24,-0.584962500721156,0.589708403878089,0.00589708403878089,0.2663,0.771111111111111
"NMD transcript variant",0,0,NA,0,0,0,1,1
"TF binding site variant",0,0,3.7e-24,0,0.555208761986578,0.00555208761986578,1,1
"downstream gene variant",150,196,4.71739506656243e-07,-0.383647080131297,0.0989110929095302,0.000989110929095302,2e-04,0.00166666666666667
"frameshift variant",0,0,3.7e-24,0,0.636611050879135,0.00636611050879135,1,1
"inframe deletion",0,0,3.7e-24,0,0.231746260029145,0.00231746260029145,1,1
"inframe insertion",0,0,NA,0,0,0,1,1
"intergenic variant",985,754,0.00852480106384946,0.38511100216547,0.0453141592269573,0.000453141592269573,0,0
"intron",1266,1405,0.0200714641109761,-0.150180069931726,0.0274438771683184,0.000274438771683184,0,0
"missense variant",23,25,3.7e-24,-0.115477217419936,0.282811855000707,0.00282811855000707,0.6196,1
"non coding transcript exon variant",15,14,3.7e-24,0.0931094043914815,0.370881500716819,0.00370881500716819,0.8898,1
"regulatory region",134,149,1.52648764157118e-08,-0.15200309344505,0.115290469129629,0.00115290469129629,0.1965,0.771111111111111
"splice",1,6,3.7e-24,-1.8073549220576,0.564257785670775,0.00564257785670775,0.0201,0.125625
"start lost",0,0,3.7e-24,0,0.210370762670955,0.00210370762670955,1,1
"start retained variant",0,0,NA,0,0,0,1,1
"stop gained",4,2,3.7e-24,0.736965594166206,0.743365927038961,0.00743365927038961,0.2776,0.771111111111111
"stop lost",0,0,3.7e-24,0,0.191574679568471,0.00191574679568471,1,1
"stop retained variant",0,0,3.7e-24,0,0.102414300119109,0.00102414300119109,1,1
"synonymous variant",3,8,3.7e-24,-1.16992500144231,0.466258157168034,0.00466258157168034,0.027,0.135
"upstream gene variant",173,187,2.87026156719779e-09,-0.111645355828909,0.102136564647474,0.00102136564647474,0.2589,0.771111111111111
"mature miRNA variant",0,0,3.7e-24,0,0.142570928988115,0.00142570928988115,1,1
"coding sequence variant",0,0,3.7e-24,0,0.0141414284285499,0.000141414284285499,1,1
"incomplete terminal codon variant / coding sequence variant",0,0,3.7e-24,0,0.0264495738717243,0.000264495738717243,1,1
"non coding transcript variant",0,0,3.7e-24,0,0.022356206744392,0.00022356206744392,1,1
