"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","log2fc.sd","log2fc.se","pvalue","pvalue.adj"
"3 prime UTR variant",433,555.5714,3.7e-24,-0.357328230169595,0.0673186826805366,0.000673186826805366,0.0037,0.018
"5 prime UTR variant",83,90.9082,4.38722456391476e-12,-0.12174680104051,0.153273481738955,0.00153273481738955,0.408,0.719775
"NMD transcript variant",0,0,NA,0,0,0,1,1
"TF binding site variant",14,9.5852,3.7e-24,0.569093545405768,0.451677782276525,0.00451677782276525,0.2637,0.567969230769231
"downstream gene variant",4537,4671.7854,3.7e-24,-0.0418378733961642,0.0344811868147322,0.000344811868147322,0.0437,0.12236
"frameshift variant",1,1.0326,3.7e-24,0.149692841386198,0.709596925043494,0.00709596925043494,1,1
"inframe deletion",0,0.077,3.7e-24,-0.0760454137516587,0.26907653067718,0.0026907653067718,0.0747,0.190145454545455
"inframe insertion",0,0.0059,3.7e-24,-0.0059,0.0765883579772916,0.000765883579772916,0.0059,0.02065
"intergenic variant",22948,20895.324,3.7e-24,0.135432525421238,0.0280076208386739,0.000280076208386739,0.0045,0.018
"intron",32715,34571.7963,3.7e-24,-0.0793990906280841,0.02759675266207,0.0002759675266207,0.0045,0.018
"missense variant",442,561.6301,3.7e-24,-0.343379196815141,0.0663246907942872,0.000663246907942872,0.0041,0.018
"non coding transcript exon variant",336,337.084,4.63835151326946e-14,-0.00229787209880444,0.082572144301723,0.00082572144301723,0.9343,1
"regulatory region",3723,3408.8857,3.7e-24,0.127576860009008,0.0368924336225615,0.000368924336225615,0.0045,0.018
"splice",93,131.4923,5.02026048067516e-09,-0.489525296581181,0.128320575447913,0.00128320575447913,8e-04,0.0112
"start lost",1,2.2775,3.7e-24,-0.545600563539164,0.729633947967718,0.00729633947967718,0.4113,0.719775
"start retained variant",0,0,NA,0,0,0,1,1
"stop gained",37,33.3807,3.7e-24,0.165569086325906,0.249663482074026,0.00249663482074026,0.6067,0.943755555555556
"stop lost",0,1.2117,3.7e-24,-0.966544894441335,0.727939293132392,0.00727939293132392,0.3352,0.6704
"stop retained variant",1,0.229,3.7e-24,0.780749772485144,0.438973796239733,0.00438973796239733,0.206,0.480666666666667
"synonymous variant",166,174.2779,3.33559945829466e-09,-0.0654971652692823,0.111791203703899,0.00111791203703899,0.5493,0.904729411764706
"upstream gene variant",4422,4428.029,3.7e-24,-0.00157562446072883,0.0344884139878035,0.000344884139878035,0.9251,1
"mature miRNA variant",0,0.5147,3.7e-24,-0.463315832201177,0.598985131842907,0.00598985131842907,0.6989,1
"incomplete terminal codon variant / coding sequence variant",0,0.0096,3.7e-24,-0.00955849625007212,0.0977793528434855,0.000977793528434855,0.0095,0.0295555555555556
"non coding transcript variant",0,0.014,3.7e-24,-0.0139584962500721,0.117718973708502,0.00117718973708502,1,1
"coding sequence variant",0,0.009,3.7e-24,-0.009,0.094445179809236,0.00094445179809236,1,1
"coding sequence variant / NMD transcript variant",0,0.0011,3.7e-24,-0.0011,0.0331496589724389,0.000331496589724389,1,1
"protein altering variant",0,0.0024,3.7e-24,-0.0024,0.0489334185188895,0.000489334185188895,1,1
"coding sequence variant / 3 prime UTR variant",0,2e-04,3.7e-24,-2e-04,0.0141414284285499,0.000141414284285499,2e-04,0.0056
