"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","log2fc.sd","log2fc.se","pvalue","pvalue.adj"
"3 prime UTR variant",433,556,3.7e-24,-0.359982284895552,0.0673186826805366,0.000673186826805366,0.0037,0.021
"5 prime UTR variant",83,91,4.38722456391476e-12,-0.131244533278253,0.153273481738955,0.00153273481738955,0.408,0.979533333333333
"NMD transcript variant",0,0,NA,0,0,0,1,1
"TF binding site variant",14,9,3.7e-24,0.584962500721156,0.451677782276525,0.00451677782276525,0.1887,0.640888888888889
"downstream gene variant",4537,4676,3.7e-24,-0.0435268197466036,0.0344811868147322,0.000344811868147322,0.0373,0.1492
"frameshift variant",1,1,3.7e-24,0,0.709596925043494,0.00709596925043494,1,1
"inframe deletion",0,0,3.7e-24,0,0.26907653067718,0.0026907653067718,1,1
"inframe insertion",0,0,3.7e-24,0,0.0765883579772916,0.000765883579772916,1,1
"intergenic variant",22948,20916.5,3.7e-24,0.133720855065253,0.0280076208386739,0.000280076208386739,0.0045,0.021
"intron",32715,34611,3.7e-24,-0.081275938865184,0.02759675266207,0.0002759675266207,0.0045,0.021
"missense variant",442,562,3.7e-24,-0.345828223525211,0.0663246907942872,0.000663246907942872,0.0041,0.021
"non coding transcript exon variant",336,337,4.63835151326946e-14,-0.00427465510032588,0.082572144301723,0.00082572144301723,0.9343,1
"regulatory region",3723,3413,3.7e-24,0.125390014531055,0.0368924336225615,0.000368924336225615,0.0045,0.021
"splice",93,131,5.02026048067516e-09,-0.489805267680816,0.128320575447913,0.00128320575447913,8e-04,0.021
"start lost",1,2,3.7e-24,-0.584962500721156,0.729633947967718,0.00729633947967718,0.2999,0.83972
"start retained variant",0,0,NA,0,0,0,1,1
"stop gained",37,33,3.7e-24,0.160464672193246,0.249663482074026,0.00249663482074026,0.4852,1
"stop lost",0,1,3.7e-24,-1,0.727939293132392,0.00727939293132392,0.4198,0.979533333333333
"stop retained variant",1,0,3.7e-24,1,0.438973796239733,0.00438973796239733,0.206,0.640888888888889
"synonymous variant",166,174,3.33559945829466e-09,-0.0675068193582766,0.111791203703899,0.00111791203703899,0.5237,1
"upstream gene variant",4422,4433,3.7e-24,-0.00358352796865377,0.0344884139878035,0.000344884139878035,0.8567,1
"mature miRNA variant",0,0,3.7e-24,0,0.598985131842907,0.00598985131842907,1,1
"incomplete terminal codon variant / coding sequence variant",0,0,3.7e-24,0,0.0977793528434855,0.000977793528434855,1,1
"non coding transcript variant",0,0,3.7e-24,0,0.117718973708502,0.00117718973708502,1,1
"coding sequence variant",0,0,3.7e-24,0,0.094445179809236,0.00094445179809236,1,1
"coding sequence variant / NMD transcript variant",0,0,3.7e-24,0,0.0331496589724389,0.000331496589724389,1,1
"protein altering variant",0,0,3.7e-24,0,0.0489334185188895,0.000489334185188895,1,1
"coding sequence variant / 3 prime UTR variant",0,0,3.7e-24,0,0.0141414284285499,0.000141414284285499,1,1
