"variant_type","bin","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj",sample
"snv coding","[0,1]",0,0.0535521790052053,-0.0710028401972355,0.8887,1,C1_05_24
"snv coding","(1,1.67]",0,0.0120616915274268,-0.0162509499391521,1,1,C1_05_24
"snv coding","(1.67,2.78]",0,0.0143111365530754,-0.0192119013275022,1,1,C1_05_24
"snv coding","(2.78,4.63]",0,0.020153868912735,-0.0271211491320742,1,1,C1_05_24
"snv coding","(4.63,7.71]",0,0.0445850928006462,-0.0593246582323986,0.9285,1,C1_05_24
"snv coding","(7.71,12.8]",0.166666666666667,0.19446543694051,-0.0231936122075469,0.8028,1,C1_05_24
"snv coding","(12.8,21.4]",0.333333333333333,0.180638453214742,0.185572921489199,0.3853,1,C1_05_24
"snv coding","(21.4,35.7]",0.5,0.443421834832694,0.0675799205094796,0.6904,1,C1_05_24
"snv coding","(35.7,59.4]",0,0.0366784039485626,-0.0489575590843441,0.984,1,C1_05_24
"snv coding","(59.4,99]",0,0.000131902264402264,-0.000178943301406034,1,1,C1_05_24
"snv noncoding 3prime UTR","[0,1]",0,0.117626247800139,-0.146055344553362,0.226411290322581,0.453629032258065,C1_05_24
"snv noncoding 3prime UTR","(1,1.67]",0,0.0719551589763283,-0.0906647566096507,0.226814516129032,0.453629032258065,C1_05_24
"snv noncoding 3prime UTR","(1.67,2.78]",0,0.11411376481941,-0.141120689896961,0.801008064516129,1,C1_05_24
"snv noncoding 3prime UTR","(2.78,4.63]",0,0.156046216328474,-0.191533706340994,0.120967741935484,0.453629032258065,C1_05_24
"snv noncoding 3prime UTR","(4.63,7.71]",0,0.198114903409762,-0.240518700214298,0.516431451612903,0.860719086021505,C1_05_24
"snv noncoding 3prime UTR","(7.71,12.8]",0,0.177260155838785,-0.21651399883081,0.143850806451613,0.453629032258065,C1_05_24
"snv noncoding 3prime UTR","(12.8,21.4]",1,0.159578058310417,0.804218896888603,0.00987903225806452,0.0987903225806452,C1_05_24
"snv noncoding 3prime UTR","(21.4,35.7]",0,0.00518680692067789,-0.0066354051620072,1,1,C1_05_24
"snv noncoding 3prime UTR","(35.7,59.4]",0,0.000118687596006144,-0.000157934556065013,1,1,C1_05_24
"snv noncoding 3prime UTR","(59.4,99]",0,0,0,1,1,C1_05_24
"snv noncoding downstream gene","[0,1]",0.194444444444444,0.224916745821039,-0.0342885937163571,0.6321,0.829875,C1_05_24
"snv noncoding downstream gene","(1,1.67]",0.166666666666667,0.116971147702103,0.064231272956644,0.3421,0.601166666666667,C1_05_24
"snv noncoding downstream gene","(1.67,2.78]",0.166666666666667,0.154426114550183,0.0169246306879249,0.8337,0.926333333333333,C1_05_24
"snv noncoding downstream gene","(2.78,4.63]",0.111111111111111,0.170470268393992,-0.0732595761663931,0.2935,0.601166666666667,C1_05_24
"snv noncoding downstream gene","(4.63,7.71]",0.222222222222222,0.165927359141586,0.0698828678197622,0.3607,0.601166666666667,C1_05_24
"snv noncoding downstream gene","(7.71,12.8]",0.138888888888889,0.117107725234922,0.0293066514112042,0.6639,0.829875,C1_05_24
"snv noncoding downstream gene","(12.8,21.4]",0,0.0418961335784695,-0.058579195555553,0.2638,0.601166666666667,C1_05_24
"snv noncoding downstream gene","(21.4,35.7]",0,0.00777306475103882,-0.0110401768906503,0.2784,0.601166666666667,C1_05_24
"snv noncoding downstream gene","(35.7,59.4]",0,0.000507183580289642,-0.000722992859700411,1,1,C1_05_24
"snv noncoding downstream gene","(59.4,99]",0,4.25724637681159e-06,-6.07742390146766e-06,2e-04,0.002,C1_05_24
"snv noncoding intergenic","[0,1]",0.319444444444444,0.279482544731487,0.0449080861358522,0.262,0.85775,C1_05_24
"snv noncoding intergenic","(1,1.67]",0.138888888888889,0.14162993936764,-0.00305782527396108,0.9247,1,C1_05_24
"snv noncoding intergenic","(1.67,2.78]",0.152777777777778,0.163763003967155,-0.013254346535783,0.7003,1,C1_05_24
"snv noncoding intergenic","(2.78,4.63]",0.138888888888889,0.156597168961453,-0.0218343911173086,0.5313,1,C1_05_24
"snv noncoding intergenic","(4.63,7.71]",0.0972222222222222,0.133508177352443,-0.0465501043176792,0.1573,0.7865,C1_05_24
"snv noncoding intergenic","(7.71,12.8]",0.0694444444444444,0.0908113379827908,-0.028227366953785,0.3431,0.85775,C1_05_24
"snv noncoding intergenic","(12.8,21.4]",0.0833333333333333,0.0326727085739263,0.0692222934604808,7e-04,0.007,C1_05_24
"snv noncoding intergenic","(21.4,35.7]",0,0.0015351190631046,-0.00220634654443206,1,1,C1_05_24
