"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","pvalue.adj",sample
"3 prime UTR variant",3,4.9766,3.7e-24,-0.470285755859822,0.2516,0.411709090909091,C1_05_24
"5 prime UTR variant",0,1.2524,3.7e-24,-0.992010955876071,0.2966,0.46424347826087,C1_05_24
"downstream gene variant",36,43.9333,3.7e-24,-0.265125704184472,0.1918,0.3836,C1_05_24
"frameshift variant",1,0.1067,3.7e-24,0.89585819499625,0.1007,0.213247058823529,C1_05_24
"inframe deletion",0,0.0097,3.7e-24,-0.00965849625007211,0.0096,0.0432,C1_05_24
"inframe insertion",0,0,NA,0,1,1,C1_05_24
"intergenic variant",194,172.9239,5.89484989059594e-10,0.167959889866833,0.0773,0.213247058823529,C1_05_24
"intron variant",271,299.556,2.71721241455095e-07,-0.142821080838229,0.0163,0.05868,C1_05_24
"missense variant",5,5.5916,3.7e-24,-0.0377782131401744,0.8353,1,C1_05_24
"non coding transcript exon variant",7,3.3943,3.7e-24,1.00609694010432,0.205,0.388421052631579,C1_05_24
"regulatory region variant",42,34.6196,3.7e-24,0.290039415135909,0.2494,0.411709090909091,C1_05_24
"splice acceptor variant",0,0.1111,3.7e-24,-0.108251278754255,1,1,C1_05_24
"splice donor variant",1,0.0876,3.7e-24,0.913852631247476,0.0841,0.213247058823529,C1_05_24
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",1,0.0471,3.7e-24,0.953315037499279,0.0461,0.150872727272727,C1_05_24
"splice region variant",0,0.5309,3.7e-24,-0.478275990811639,0.0978,0.213247058823529,C1_05_24
"start lost",0,0.011,3.7e-24,-0.011,1,1,C1_05_24
"start retained variant",0,0,NA,0,1,1,C1_05_24
"stop gained",0,0.3981,3.7e-24,-0.368800266573259,1,1,C1_05_24
"stop lost",0,0.0067,3.7e-24,-0.0067,1,1,C1_05_24
"stop retained variant",0,0.0024,3.7e-24,-0.0024,1,1,C1_05_24
"synonymous variant",1,2.3127,3.7e-24,-0.561662710235929,0.4092,0.589248,C1_05_24
"upstream gene variant",50,41.4554,3.7e-24,0.280473163329825,0.2289,0.411709090909091,C1_05_24
"splice donor 5th base variant / intron variant",0,0.0528,3.7e-24,-0.0523849625007212,1,1,C1_05_24
"splice polypyrimidine tract variant / intron variant",0,0.3804,3.7e-24,-0.354237371891259,0.3202,0.4803,C1_05_24
"splice donor region variant / intron variant",0,0.1045,3.7e-24,-0.102123020312806,0.099,0.213247058823529,C1_05_24
"TF binding site variant",0,0.0997,3.7e-24,-0.0976983462529567,0.095,0.213247058823529,C1_05_24
"mature miRNA variant",0,0.006,3.7e-24,-0.006,1,1,C1_05_24
"splice donor region variant / intron variant / non coding transcript variant",0,0.0118,3.7e-24,-0.0117169925001442,0.0116,0.0464,C1_05_24
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0.0059,3.7e-24,-0.0059,0.0059,0.0303428571428571,C1_05_24
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0.0079,3.7e-24,-0.00785849625007212,1,1,C1_05_24
"splice donor region variant / intron variant / NMD transcript variant",0,0.0016,3.7e-24,-0.0016,0.0016,0.0096,C1_05_24
"splice donor 5th base variant / intron variant / NMD transcript variant",0,0.0012,3.7e-24,-0.0012,0.0012,0.00864,C1_05_24
"coding sequence variant",0,1e-04,3.7e-24,-1e-04,1e-04,9e-04,C1_05_24
"splice donor region variant / non coding transcript exon variant",0,1e-04,3.7e-24,-1e-04,1e-04,9e-04,C1_05_24
"incomplete terminal codon variant / coding sequence variant",0,1e-04,3.7e-24,-1e-04,1e-04,9e-04,C1_05_24
"splice donor 5th base variant / non coding transcript exon variant",0,1e-04,3.7e-24,-1e-04,1e-04,9e-04,C1_05_24
"3 prime UTR variant",3,3.7606,3.7e-24,-0.116465399222057,0.7988,1,C2_05_24
"5 prime UTR variant",3,0.912,3.7e-24,1.23331062558967,0.0648,0.206181818181818,C2_05_24
"downstream gene variant",29,33.6595,3.7e-24,-0.188906295698461,0.3719,0.765676470588235,C2_05_24
"frameshift variant",0,0.15,3.7e-24,-0.145823158756563,1,1,C2_05_24
"inframe deletion",0,0.009,3.7e-24,-0.009,1,1,C2_05_24
"inframe insertion",0,0,NA,0,1,1,C2_05_24
"intergenic variant",179,149.7937,8.49590531790109e-12,0.258744758591196,0.0096,0.042,C2_05_24
"intron variant",230,243.5336,5.34949197613017e-09,-0.080668480993926,0.2019,0.588875,C2_05_24
"missense variant",2,4.0807,3.7e-24,-0.632588194936785,0.2816,0.699125,C2_05_24
"non coding transcript exon variant",1,2.676,3.7e-24,-0.718448191739939,0.3063,0.699125,C2_05_24
"regulatory region variant",29,27.8651,3.7e-24,0.0793043359054536,0.8404,1,C2_05_24
"splice acceptor variant",0,0.0738,3.7e-24,-0.0730529325012981,1,1,C2_05_24
"splice donor variant",0,0.0687,3.7e-24,-0.0672963912520914,1,1,C2_05_24
"splice polypyrimidine tract variant / intron variant",1,0.2804,3.7e-24,0.735320724359676,0.244,0.656923076923077,C2_05_24
"splice region variant",1,0.386,3.7e-24,0.643078969368622,0.3196,0.699125,C2_05_24
"start lost",0,0.0066,3.7e-24,-0.00655849625007212,1,1,C2_05_24
