"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","pvalue.adj",sample
"3 prime UTR variant",3,5,3.7e-24,-0.584962500721156,0.2516,0.90576,C1_05_24
"5 prime UTR variant",0,1,3.7e-24,-1,0.4178,1,C1_05_24
"downstream gene variant",36,44,3.7e-24,-0.282399730700725,0.1624,0.82,C1_05_24
"frameshift variant",1,0,3.7e-24,1,0.1007,0.72504,C1_05_24
"inframe deletion",0,0,3.7e-24,0,1,1,C1_05_24
"inframe insertion",0,0,NA,0,1,1,C1_05_24
"intergenic variant",194,173,5.89484989059594e-10,0.164386817900882,0.0773,0.72504,C1_05_24
"intron variant",271,300,2.71721241455095e-07,-0.146156835509363,0.0151,0.5436,C1_05_24
"missense variant",5,5,3.7e-24,0,1,1,C1_05_24
"non coding transcript exon variant",7,3,3.7e-24,1,0.205,0.82,C1_05_24
"regulatory region variant",42,34,3.7e-24,0.296981737757132,0.1829,0.82,C1_05_24
"splice acceptor variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice donor variant",1,0,3.7e-24,1,0.0841,0.72504,C1_05_24
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",1,0,3.7e-24,1,0.0461,0.72504,C1_05_24
"splice region variant",0,0,3.7e-24,0,1,1,C1_05_24
"start lost",0,0,3.7e-24,0,1,1,C1_05_24
"start retained variant",0,0,NA,0,1,1,C1_05_24
"stop gained",0,0,3.7e-24,0,1,1,C1_05_24
"stop lost",0,0,3.7e-24,0,1,1,C1_05_24
"stop retained variant",0,0,3.7e-24,0,1,1,C1_05_24
"synonymous variant",1,2,3.7e-24,-0.584962500721156,0.2995,0.980181818181818,C1_05_24
"upstream gene variant",50,41,3.7e-24,0.280107919192735,0.1976,0.82,C1_05_24
"splice donor 5th base variant / intron variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice polypyrimidine tract variant / intron variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice donor region variant / intron variant",0,0,3.7e-24,0,1,1,C1_05_24
"TF binding site variant",0,0,3.7e-24,0,1,1,C1_05_24
"mature miRNA variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice donor region variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice donor region variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice donor 5th base variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"coding sequence variant",0,0,3.7e-24,0,1,1,C1_05_24
