"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","pvalue.adj",sample
"3 prime UTR variant",3,5,3.7e-24,-0.584962500721156,0.2479,1,C1_05_24
"downstream gene variant",36,44,3.7e-24,-0.282399730700725,0.1624,1,C1_05_24
"frameshift variant",1,0,3.7e-24,1,0.0974,1,C1_05_24
"intergenic variant",194,173,5.89484989059594e-10,0.164386817900882,0.0773,1,C1_05_24
"intron variant",204,234,8.14934967780634e-08,-0.197036847059554,0.0079,0.6004,C1_05_24
"intron variant / NMD transcript variant",4,6,3.7e-24,-0.485426827170242,0.2919,1,C1_05_24
"intron variant / non coding transcript variant",63,59,6.98375673496612e-21,0.0931094043914815,0.632,1,C1_05_24
"missense variant",5,5,3.7e-24,0,1,1,C1_05_24
"non coding transcript exon variant",7,3,3.7e-24,1,0.205,1,C1_05_24
"regulatory region variant",42,34,3.7e-24,0.296981737757132,0.1829,1,C1_05_24
"splice donor variant",1,0,3.7e-24,1,0.0737,1,C1_05_24
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",1,0,3.7e-24,1,0.0461,1,C1_05_24
"synonymous variant",1,2,3.7e-24,-0.584962500721156,0.2981,1,C1_05_24
"upstream gene variant",50,41,3.7e-24,0.280107919192735,0.1976,1,C1_05_24
"5 prime UTR variant",0,1,3.7e-24,-1,0.4191,1,C1_05_24
"splice donor 5th base variant / intron variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice polypyrimidine tract variant / intron variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice region variant / intron variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice donor region variant / intron variant",0,0,3.7e-24,0,1,1,C1_05_24
"missense variant / splice region variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice acceptor variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice region variant / splice polypyrimidine tract variant / intron variant",0,0,3.7e-24,0,1,1,C1_05_24
"stop gained / splice region variant",0,0,3.7e-24,0,1,1,C1_05_24
"missense variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"stop gained",0,0,3.7e-24,0,1,1,C1_05_24
"splice region variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice region variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,C1_05_24
"3 prime UTR variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"5 prime UTR variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"TF binding site variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice region variant / synonymous variant",0,0,3.7e-24,0,1,1,C1_05_24
"stop retained variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice acceptor variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,C1_05_24
"synonymous variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice acceptor variant / non coding transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice region variant / splice polypyrimidine tract variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice region variant / 5 prime UTR variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice donor variant / non coding transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"stop lost",0,0,3.7e-24,0,1,1,C1_05_24
"mature miRNA variant",0,0,3.7e-24,0,1,1,C1_05_24
"stop gained / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice donor region variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"inframe deletion",0,0,3.7e-24,0,1,1,C1_05_24
"splice region variant / splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice region variant / 3 prime UTR variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"start lost",0,0,3.7e-24,0,1,1,C1_05_24
"splice region variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"missense variant / splice region variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"frameshift variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice donor variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"start lost / splice region variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice acceptor variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice region variant / synonymous variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C1_05_24
