"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","pvalue.adj",sample
"nonsynonymous",5,6,3.7e-24,-0.222392421336448,0.6917,0.6917,C1_05_24
"synonymous",1,2,3.7e-24,-0.584962500721156,0.2995,0.599,C1_05_24
"nonsynonymous",2,4,3.7e-24,-0.736965594166206,0.2578,0.5156,C2_05_24
"synonymous",1,1,3.7e-24,0,1,1,C2_05_24
"nonsynonymous",5,5,3.7e-24,0,1,1,C3_05_24
"synonymous",1,2,3.7e-24,-0.584962500721156,0.2695,0.539,C3_05_24
"nonsynonymous",15,28,3.7e-24,-0.857980995127572,0.0065,0.013,E1_06_14
"synonymous",6,8,3.7e-24,-0.362570079384708,0.4918,0.4918,E1_06_14
"nonsynonymous",40,33,3.7e-24,0.270089163367744,0.2924,0.2924,E1_08_16
"synonymous",6,10,3.7e-24,-0.652076696579693,0.1489,0.2924,E1_08_16
"nonsynonymous",37,34,3.7e-24,0.118644496498619,0.6624,0.8821,E2_06_14
"synonymous",11,10,3.7e-24,0.125530882083859,0.8821,0.8821,E2_06_14
"nonsynonymous",45,51,3.7e-24,-0.176877762084079,0.363,0.363,E2_08_16
"synonymous",9,15,3.7e-24,-0.678071905112638,0.078,0.156,E2_08_16
"nonsynonymous",65,84,1.06698057553417e-14,-0.364996816779248,0.0218,0.0436,E3_06_14
"synonymous",24,25,3.7e-24,-0.0565835283663674,0.8452,0.8452,E3_06_14
"nonsynonymous",55,73,8.04187597088899e-17,-0.402098443571346,0.0255,0.051,E3_08_16
"synonymous",22,21,3.7e-24,0.0641303374197156,0.9109,0.9109,E3_08_16
"nonsynonymous",5,5,3.7e-24,0,1,1,MMEA9_C1
"synonymous",1,1,3.7e-24,0,1,1,MMEA9_C1
"nonsynonymous",5,4,3.7e-24,0.263034405833794,0.8066,1,MMEA9_C2
"synonymous",1,1,3.7e-24,0,1,1,MMEA9_C2
"nonsynonymous",6,5,3.7e-24,0.222392421336448,0.8339,1,MMEA9_C3
"synonymous",1,1,3.7e-24,0,1,1,MMEA9_C3
"nonsynonymous",96,102,2.29111183198237e-11,-0.0865876849960907,0.548854885488549,0.548854885488549,MMEA9_E1
"synonymous",39,30,3.7e-24,0.367731784500487,0.183018301830183,0.366036603660366,MMEA9_E1
"nonsynonymous",37,46,3.7e-24,-0.306661338234052,0.1452,0.2904,MMEA9_E2
"synonymous",16,13,3.7e-24,0.280107919192735,0.4885,0.4885,MMEA9_E2
"nonsynonymous",115,149,4.22563859433276e-09,-0.370837695368309,0.0019047619047619,0.00380952380952381,MMEA9_E3
"synonymous",38,44,3.7e-24,-0.206450877467426,0.326616541353383,0.326616541353383,MMEA9_E3
"nonsynonymous",3,4,3.7e-24,-0.321928094887362,0.6613,0.6613,MMEB9_C1
"synonymous",0,1,3.7e-24,-1,0.429,0.6613,MMEB9_C1
"nonsynonymous",4,5,3.7e-24,-0.263034405833794,0.6797,0.6797,MMEB9_C2
"synonymous",0,1,3.7e-24,-1,0.4136,0.6797,MMEB9_C2
"nonsynonymous",4,4,3.7e-24,0,1,1,MMEB9_C3
"synonymous",0,1,3.7e-24,-1,0.4128,0.8256,MMEB9_C3
"nonsynonymous",118,152,1.1205253422674e-10,-0.362570079384708,0.00280533012724176,0.00430818555254984,MMEB9_E1
"synonymous",27,43,3.7e-24,-0.652076696579693,0.00430818555254984,0.00430818555254984,MMEB9_E1
"nonsynonymous",43,66,8.96753563945092e-20,-0.606657571820475,0.0012,0.0024,MMEB9_E2
"synonymous",23,19,3.7e-24,0.263034405833794,0.4205,0.4205,MMEB9_E2
"nonsynonymous",71,83,7.65679517715965e-16,-0.222392421336448,0.1707,0.3414,MMEB9_E3
"synonymous",23,24,3.7e-24,-0.0588936890535686,0.8382,0.8382,MMEB9_E3
