"","condition","cycle","variant_type","mean","sd"
"1","control","1","3prime",-0.260834422400154,0.0896393745760763
"2","control","1","splice",-0.0753505555630245,0.449073462705118
"3","control","9","3prime",-0.148735961925959,0.280816682305255
"4","control","9","splice",-0.27748169326673,0.0273445840386866
"5","enu","3","3prime",-0.158641034095578,0.259210717097344
"6","enu","3","splice",-0.0558969676204288,0.269940531349656
"7","enu","6","3prime",-0.0653463571184768,0.0878226895268442
"8","enu","6","splice",-0.0729286929381284,0.170874334672822
"9","enu","9","3prime",-0.219347643989666,0.0878720102449987
"10","enu","9","splice",-0.274155838698737,0.0679043118517162
