"","condition","cycle","variant_type","p_value","p_adjusted","significant_p_adjusted"
"1","control","1","intron variant",0.25,0.416666666666667,NA
"2","control","1","intergenic variant",0.25,0.416666666666667,NA
"3","control","1","upstream gene variant",0.75,1,NA
"4","control","1","downstream gene variant",0.25,0.416666666666667,NA
"5","control","1","3 prime UTR variant",0.25,0.416666666666667,NA
"6","control","1","non coding transcript exon variant",1,1,NA
"7","control","1","5 prime UTR variant",1,1,NA
"8","control","1","splice region variant",1,1,NA
"9","control","1","TF binding site variant",0.25,0.416666666666667,NA
"10","control","1","mature miRNA variant",0.25,0.416666666666667,NA
"11","control","9","intron variant",0.03125,0.0710446732468292,NA
"12","control","9","intergenic variant",0.03125,0.0710446732468292,NA
"13","control","9","upstream gene variant",0.5625,0.625,NA
"14","control","9","downstream gene variant",0.0625,0.104166666666667,NA
"15","control","9","3 prime UTR variant",0.6875,0.6875,NA
"16","control","9","non coding transcript exon variant",0.3125,0.446428571428572,NA
"17","control","9","5 prime UTR variant",0.4375,0.546875,NA
"18","control","9","splice region variant",0.03125,0.0710446732468292,NA
"19","control","9","TF binding site variant",0.03125,0.0710446732468292,NA
"20","control","9","mature miRNA variant",0.0355223366234146,0.0710446732468292,NA
"21","enu","3","intron variant",0.25,0.625,NA
"22","enu","3","intergenic variant",0.25,0.625,NA
"23","enu","3","upstream gene variant",0.25,0.625,NA
"24","enu","3","downstream gene variant",0.75,0.833333333333334,NA
"25","enu","3","3 prime UTR variant",0.5,0.714285714285714,NA
"26","enu","3","non coding transcript exon variant",0.5,0.714285714285714,NA
"27","enu","3","5 prime UTR variant",0.75,0.833333333333334,NA
"28","enu","3","splice region variant",1,1,NA
"29","enu","3","TF binding site variant",0.5,0.714285714285714,NA
"30","enu","3","mature miRNA variant",0.25,0.625,NA
"31","enu","6","intron variant",0.25,0.833333333333334,NA
"32","enu","6","intergenic variant",0.25,0.833333333333334,NA
"33","enu","6","upstream gene variant",0.75,0.9375,NA
"34","enu","6","downstream gene variant",0.5,0.833333333333334,NA
"35","enu","6","3 prime UTR variant",0.5,0.833333333333334,NA
"36","enu","6","non coding transcript exon variant",0.75,0.9375,NA
"37","enu","6","5 prime UTR variant",0.5,0.833333333333334,NA
"38","enu","6","splice region variant",1,1,NA
"39","enu","6","TF binding site variant",1,1,NA
"40","enu","6","mature miRNA variant",0.25,0.833333333333334,NA
"41","enu","9","intron variant",0.03125,0.0625,NA
"42","enu","9","intergenic variant",0.03125,0.0625,NA
"43","enu","9","upstream gene variant",0.6875,0.9375,NA
"44","enu","9","downstream gene variant",0.15625,0.260416666666667,NA
"45","enu","9","3 prime UTR variant",0.03125,0.0625,NA
"46","enu","9","non coding transcript exon variant",0.84375,0.9375,NA
"47","enu","9","5 prime UTR variant",1,1,NA
"48","enu","9","splice region variant",0.03125,0.0625,NA
"49","enu","9","TF binding site variant",0.84375,0.9375,NA
"50","enu","9","mature miRNA variant",0.03125,0.0625,NA
