"sample","variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","pvalue.adj","condition","cycle","replicate","batch","SNV_obs","INDEL_obs","Cov","Sen_SNV","Sen_INDEL","SNV_obs_shared","SNV_est_shared","INDEL_obs_shared","INDEL_est_shared","SNV_est","INDEL_est"
"C1_05_24","nonsynonymous",5,6.0074,3.7e-24,-0.132082028659556,0.6917,0.6917,"control",1,1,1,595,15,958218356,0.655151387,0.325057906,0,0,0,0,2877.76975907187,146.221511625814
"C1_05_24","synonymous",1,2.3127,3.7e-24,-0.561662710235929,0.4092,0.6917,"control",1,1,1,595,15,958218356,0.655151387,0.325057906,0,0,0,0,2877.76975907187,146.221511625814
"C2_05_24","nonsynonymous",2,4.3708,3.7e-24,-0.719285742232882,0.2191,0.4382,"control",1,2,1,478,19,1065722549,0.654077726,0.325668493,0,0,0,0,2082.09054289806,166.218336370648
"C2_05_24","synonymous",1,1.5914,3.7e-24,-0.192616310722746,0.7468,0.7468,"control",1,2,1,478,19,1065722549,0.654077726,0.325668493,0,0,0,0,2082.09054289806,166.218336370648
"C3_05_24","nonsynonymous",5,5.101,3.7e-24,0.0853779573674816,0.8224,0.8224,"control",1,3,1,519,15,1026614557,0.655030195,0.326031638,0,0,0,0,2343.38609851787,136.072174393787
"C3_05_24","synonymous",1,1.9201,3.7e-24,-0.374918983408719,0.5434,0.8224,"control",1,3,1,519,15,1026614557,0.655030195,0.326031638,0,0,0,0,2343.38609851787,136.072174393787
"E1_06_14","nonsynonymous",15,27.7387,3.7e-24,-0.820446348725821,0.0032,0.0064,"enu",3,1,1,2964,21,908423760,0.53233128,0.28327149,0,0,1,11.7992357372712,18610.2821710956,247.783950482695
"E1_06_14","synonymous",6,8.3764,3.7e-24,-0.346700877815633,0.4112,0.4112,"enu",3,1,1,2964,21,908423760,0.53233128,0.28327149,0,0,1,11.7992357372712,18610.2821710956,247.783950482695
"E1_08_16","nonsynonymous",40,33.3712,3.7e-24,0.274546647090144,0.2924,0.2924,"enu",3,3,1,3997,26,995321847,0.609219226,0.323798995,0,0,0,0,20014.3845818387,244.951184778641
"E1_08_16","synonymous",6,10.2807,3.7e-24,-0.62458857299276,0.1345,0.269,"enu",3,3,1,3997,26,995321847,0.609219226,0.323798995,0,0,0,0,20014.3845818387,244.951184778641
"E2_06_14","nonsynonymous",37,33.8453,3.7e-24,0.145068396020572,0.6026,0.765,"enu",3,2,1,3637,24,1002113483,0.5934915,0.312284172,0,0,1,9.70238159693972,18567.6577337147,232.857158326553
"E2_06_14","synonymous",11,10.2163,3.7e-24,0.161126766458148,0.765,0.765,"enu",3,2,1,3637,24,1002113483,0.5934915,0.312284172,0,0,1,9.70238159693972,18567.6577337147,232.857158326553
