"","contrast","estimate","SE","df","t.ratio","p.value","p.value.signif"
"3","control cycle1 - enu cycle3",0.333333333333333,0.25,16,1.33333333333333,0.675605545992976,"ns"
"5","control cycle1 - enu cycle6",0.333333333333333,0.25,16,1.33333333333333,0.675605545992976,"ns"
"6","control cycle1 - control cycle9",0.333333333333333,0.21650635094611,16,1.539600717839,0.55345527232543,"ns"
"7","control cycle1 - enu cycle9",0.166666666666667,0.21650635094611,16,0.769800358919501,0.935663303185125,"ns"
"20","enu cycle3 - enu cycle6",-1.11022302462516e-16,0.25,16,-4.44089209850063e-16,1,"ns"
"21","enu cycle3 - control cycle9",-2.77555756156289e-17,0.21650635094611,16,-1.28197512425571e-16,1,"ns"
"22","enu cycle3 - enu cycle9",-0.166666666666667,0.21650635094611,16,-0.769800358919501,0.935663303185125,"ns"
"26","enu cycle6 - control cycle9",8.32667268468867e-17,0.21650635094611,16,3.84592537276713e-16,1,"ns"
"27","enu cycle6 - enu cycle9",-0.166666666666667,0.21650635094611,16,-0.769800358919501,0.935663303185125,"ns"
"28","control cycle9 - enu cycle9",-0.166666666666667,0.176776695296637,16,-0.942809041582064,0.875937198672524,"ns"
            Df Sum Sq Mean Sq F value Pr(>F)
condition    1 0.0040 0.00397   0.042  0.840
cycle        3 0.3056 0.10185   1.086  0.383
Residuals   16 1.5000 0.09375               
