"","contrast","estimate","SE","df","t.ratio","p.value","p.value.signif"
"3","control cycle1 - enu cycle3",0,0.186338998124983,16,0,1,"ns"
"5","control cycle1 - enu cycle6",0,0.186338998124982,16,0,1,"ns"
"6","control cycle1 - control cycle9",-9.4041996223247e-18,0.161374306091976,16,-5.82756936346778e-17,1,"ns"
"7","control cycle1 - enu cycle9",-0.166666666666667,0.161374306091976,16,-1.03279555898864,0.83662563927809,"ns"
"20","enu cycle3 - enu cycle6",0,0.186338998124982,16,0,1,"ns"
"21","enu cycle3 - control cycle9",-9.4041996223247e-18,0.161374306091976,16,-5.82756936346778e-17,1,"ns"
"22","enu cycle3 - enu cycle9",-0.166666666666667,0.161374306091976,16,-1.03279555898864,0.83662563927809,"ns"
"26","enu cycle6 - control cycle9",-9.4041996223247e-18,0.161374306091976,16,-5.82756936346778e-17,1,"ns"
"27","enu cycle6 - enu cycle9",-0.166666666666667,0.161374306091976,16,-1.03279555898864,0.836625639278089,"ns"
"28","control cycle9 - enu cycle9",-0.166666666666667,0.131761569173682,16,-1.26491106406735,0.715120103790166,"ns"
            Df Sum Sq Mean Sq F value Pr(>F)
condition    1 0.0357 0.03571   0.686  0.420
cycle        3 0.0833 0.02778   0.533  0.666
Residuals   16 0.8333 0.05208               
