"","condition","cycle","variant_type","mean","sd"
"1","control","1","intron",251.666666666667,20.5993527406405
"2","control","1","intergenic variant",187.666666666667,7.76745346515403
"3","control","1","5 prime UTR variant",1,1.73205080756888
"4","control","1","3 prime UTR variant",3,0
"5","control","1","splice",1.66666666666667,0.577350269189626
"6","control","9","intron",211,34.0705151120437
"7","control","9","intergenic variant",164.166666666667,29.6203758697736
"8","control","9","5 prime UTR variant",0.5,0.547722557505166
"9","control","9","3 prime UTR variant",3.33333333333333,1.63299316185545
"10","control","9","splice",0.166666666666667,0.408248290463863
"11","enu","3","intron",1662,219.15063312708
"12","enu","3","intergenic variant",1158.66666666667,208.624862692186
"13","enu","3","5 prime UTR variant",4.33333333333333,3.21455025366432
"14","enu","3","3 prime UTR variant",22.3333333333333,5.03322295684717
"15","enu","3","splice",7,4.35889894354067
"16","enu","6","intron",3760.33333333333,987.855421270407
"17","enu","6","intergenic variant",2634,595.334359834875
"18","enu","6","5 prime UTR variant",13.3333333333333,3.21455025366432
"19","enu","6","3 prime UTR variant",55.6666666666667,15.3731367434669
"20","enu","6","splice",12.3333333333333,5.85946527708232
"21","enu","9","intron",5452.5,2281.89550593361
"22","enu","9","intergenic variant",3824.66666666667,1525.44743163003
"23","enu","9","5 prime UTR variant",13.8333333333333,5.30722777603022
"24","enu","9","3 prime UTR variant",72.1666666666667,30.8442323079481
"25","enu","9","splice",15.5,7.17635004720366
