"","contrast","estimate","SE","df","t.ratio","p.value","p.value.signif"
"3","control cycle1 - enu cycle3",-0.666666666666666,1.56347191994114,16,-0.426401432711221,0.992410608259524,"ns"
"5","control cycle1 - enu cycle6",-0.666666666666666,1.56347191994114,16,-0.426401432711221,0.992410608259524,"ns"
"6","control cycle1 - control cycle9",1.0022039238325e-16,1.35400640077266,16,7.40176651499281e-17,1,"ns"
"7","control cycle1 - enu cycle9",-2.33333333333333,1.35400640077266,16,-1.72328087371066,0.448217565420575,"ns"
"20","enu cycle3 - enu cycle6",0,1.56347191994114,16,0,1,"ns"
"21","enu cycle3 - control cycle9",0.666666666666666,1.35400640077266,16,0.492365963917331,0.986961281741021,"ns"
"22","enu cycle3 - enu cycle9",-1.66666666666667,1.35400640077266,16,-1.23091490979333,0.734298121416946,"ns"
"26","enu cycle6 - control cycle9",0.666666666666666,1.35400640077266,16,0.492365963917331,0.986961281741021,"ns"
"27","enu cycle6 - enu cycle9",-1.66666666666667,1.35400640077266,16,-1.23091490979333,0.734298121416946,"ns"
"28","control cycle9 - enu cycle9",-2.33333333333333,1.10554159678513,16,-2.11057941204435,0.262944669647803,"ns"
            Df Sum Sq Mean Sq F value Pr(>F)  
condition    1  11.57  11.571   3.156 0.0947 .
cycle        3   8.33   2.778   0.758 0.5341  
Residuals   16  58.67   3.667                 
---
Signif. codes:  0 '***' 0.001 '**' 0.01 '*' 0.05 '.' 0.1 ' ' 1
