"","contrast","estimate","SE","df","t.ratio","p.value","p.value.signif"
"3","control cycle1 - enu cycle3",-203,154.843132987334,16,-1.31100421493412,0.688614312755194,"ns"
"5","control cycle1 - enu cycle6",-484.333333333333,154.843132987334,16,-3.12789675582804,0.0442181629200039,"*"
"6","control cycle1 - control cycle9",5.99999999999992,134.098086768604,16,0.044743367669021,0.999998979658955,"ns"
"7","control cycle1 - enu cycle9",-725.166666666667,134.098086768604,16,-5.40773313133091,0.000482987103856414,"***"
"20","enu cycle3 - enu cycle6",-281.333333333333,154.843132987334,16,-1.81689254089392,0.398106200729439,"ns"
"21","enu cycle3 - control cycle9",209,134.098086768604,16,1.55856064047092,0.542295478530213,"ns"
"22","enu cycle3 - enu cycle9",-522.166666666667,134.098086768604,16,-3.89391585852902,0.00974333570749386,"**"
"26","enu cycle6 - control cycle9",490.333333333333,134.098086768604,16,3.65652743561838,0.0156672880038043,"*"
"27","enu cycle6 - enu cycle9",-240.833333333333,134.098086768604,16,-1.79594906338156,0.409059054613285,"ns"
"28","control cycle9 - enu cycle9",-731.166666666667,109.490629355515,16,-6.67789262853334,4.57725113768293e-05,"****"
            Df  Sum Sq Mean Sq F value   Pr(>F)    
condition    1 1490876 1490876  41.454 8.19e-06 ***
cycle        3  555421  185140   5.148   0.0111 *  
Residuals   16  575434   35965                     
---
Signif. codes:  0 '***' 0.001 '**' 0.01 '*' 0.05 '.' 0.1 ' ' 1
