"","contrast","estimate","SE","df","t.ratio","p.value","p.value.signif"
"3","control cycle1 - enu cycle3",-198,158.3444952206,16,-1.25043816473792,0.723327511659944,"ns"
"5","control cycle1 - enu cycle6",-455.666666666666,158.3444952206,16,-2.87769187070158,0.0709703074837426,"ns"
"6","control cycle1 - control cycle9",6.1666666666667,137.130355410463,16,0.0449693771171847,0.999998958898588,"ns"
"7","control cycle1 - enu cycle9",-702,137.130355410463,16,-5.11921665993462,0.000846116731975544,"***"
"20","enu cycle3 - enu cycle6",-257.666666666667,158.3444952206,16,-1.62725370596366,0.502333159669174,"ns"
"21","enu cycle3 - control cycle9",204.166666666666,137.130355410463,16,1.48885099915002,0.583505511369262,"ns"
"22","enu cycle3 - enu cycle9",-504,137.130355410463,16,-3.67533503790178,0.0150905304317388,"*"
"26","enu cycle6 - control cycle9",461.833333333333,137.130355410463,16,3.3678417295059,0.0277439579564649,"*"
"27","enu cycle6 - enu cycle9",-246.333333333333,137.130355410463,16,-1.79634430754591,0.408850910633469,"ns"
"28","control cycle9 - enu cycle9",-708.166666666666,111.966466334047,16,-6.32481036379125,8.63958453430902e-05,"****"
            Df  Sum Sq Mean Sq F value   Pr(>F)    
condition    1 1382765 1382765  36.766 1.64e-05 ***
cycle        3  521914  173971   4.626   0.0163 *  
Residuals   16  601752   37609                     
---
Signif. codes:  0 '***' 0.001 '**' 0.01 '*' 0.05 '.' 0.1 ' ' 1
