"","x"
"1",7105
"2",8813
"3",57147
"4",55732
"5",3075
"6",2519
"7",2729
"8",4800
"9",90529
"10",57185
"11",81887
"12",6405
"13",1080
"14",54467
"15",1595
"16",889
"17",5893
"18",572
"19",51056
"20",4267
"21",51384
"22",23072
"23",8379
"24",3927
"25",29916
"26",55365
"27",4074
"28",90293
"29",56603
"30",79007
"31",57679
"32",843
"33",8837
"34",7035
"35",55471
"36",10181
"37",9108
"38",6542
"39",381
"40",23098
"41",26073
"42",23129
"43",204
"44",2288
"45",23028
"46",10180
"47",84254
"48",5965
"49",55610
"50",126393
"51",115703
"52",4706
"53",51364
"54",10165
"55",93655
"56",996
"57",3052
"58",1856
"59",5976
"60",8935
"61",292
"62",55013
"63",5439
"64",56919
"65",3980
"66",79657
"67",6296
"68",81691
"69",57019
"70",56928
"71",80256
"72",51226
"73",5577
"74",10943
"75",1387
"76",9256
"77",6936
"78",84058
"79",54677
"80",55904
"81",57414
"82",25998
"83",7748
"84",23077
"85",26224
"86",5164
"87",3675
"88",7543
"89",3920
"90",3674
"91",51573
"92",55049
"93",9244
"94",114881
"95",26022
"96",9020
"97",54972
"98",163
"99",10127
"100",64847
"101",51330
"102",5898
"103",55971
"104",80853
"105",2115
"106",55750
"107",221
"108",57157
"109",10344
"110",9855
"111",79017
"112",10926
"113",6915
"114",3475
"115",1352
"116",9569
"117",54623
"118",27072
"119",9912
"120",60528
"121",85477
"122",414
"123",8228
"124",8735
"125",79602
"126",51265
"127",57787
"128",8842
"129",115098
"130",5048
"131",9703
"132",8522
"133",79090
"134",54879
"135",113000
"136",64285
"137",55692
"138",9254
"139",8938
"140",115939
"141",9091
"142",57585
"143",7005
"144",55735
"145",2328
"146",29116
"147",5689
"148",6853
"149",3720
"150",6792
"151",728642
"152",65220
"153",9265
"154",6856
"155",1534
"156",9043
"157",1951
"158",10157
"159",55200
"160",51188
"161",84954
"162",4257
"163",1407
"164",4784
"165",6482
"166",64386
"167",9235
"168",5310
"169",23542
"170",9862
"171",23221
"172",54497
"173",7095
"174",6224
"175",7812
"176",9690
"177",5980
"178",10178
"179",10747
"180",199870
"181",29954
"182",51534
"183",9031
"184",10048
"185",51513
"186",83932
"187",51603
"188",8798
"189",7756
"190",7384
"191",83930
"192",928
"193",9918
"194",25900
"195",2696
"196",51533
"197",11188
"198",80199
"199",3423
"200",5646
"201",7752
"202",920
"203",10233
"204",3077
"205",22955
"206",2534
"207",3097
"208",6924
"209",11313
"210",1185
"211",9902
"212",654364
"213",10867
"214",55727
"215",9546
"216",54903
"217",51099
"218",26993
"219",54799
"220",51096
"221",54476
"222",54902
"223",5725
"224",8193
"225",23395
"226",5286
"227",5329
"228",54443
"229",58525
"230",23637
"231",1634
"232",54814
"233",5536
"234",23177
"235",8491
"236",57146
"237",672
"238",2067
"239",7869
"240",51360
"241",4007
"242",4057
"243",2137
"244",60481
"245",57658
"246",55148
"247",11183
"248",30845
"249",5704
"250",23324
"251",57709
"252",5010
"253",51629
"254",9961
"255",51667
"256",5238
"257",112611
"258",1195
"259",55703
"260",23357
"261",9604
"262",1774
"263",1663
"264",50865
"265",9052
"266",10046
"267",10460
"268",23376
"269",23649
"270",23144
"271",823
"272",55
"273",4190
"274",10463
"275",10903
"276",1355
"277",10138
"278",10771
"279",637
"280",9782
"281",29881
"282",64132
"283",727851
"284",23386
"285",55830
"286",27032
"287",92745
"288",10928
"289",22902
"290",1272
"291",6556
"292",25937
"293",8540
"294",63932
"295",477
"296",55622
"297",147948
"298",23187
"299",56981
"300",6591
"301",972
"302",3082
"303",54764
"304",23154
"305",25960
"306",55734
"307",4331
"308",23034
"309",864
"310",4361
"311",58473
"312",1992
"313",6683
"314",9369
"315",114879
"316",9716
"317",1373
"318",2273
"319",51507
"320",57210
"321",9921
"322",55778
"323",64429
"324",57476
"325",6050
"326",4719
"327",9821
"328",23071
"329",211
"330",330
"331",11215
"332",51022
"333",6617
"334",51071
"335",11171
"336",50619
"337",51177
"338",2730
"339",23304
"340",30846
"341",55635
"342",25901
"343",3298
"344",51230
"345",8630
"346",10062
"347",1890
"348",29781
"349",10953
"350",11231
"351",23633
"352",7431
"353",NA
"354",355
"355",8635
"356",960
"357",3755
"358",56895
"359",11119
"360",4285
"361",5583
"362",3459
"363",11285
"364",7444
"365",7133
"366",55591
"367",5452
"368",65980
"369",6642
"370",9519
"371",56938
"372",9774
"373",55334
"374",286
"375",51106
"376",9135
"377",3149
"378",23279
"379",578
"380",4593
"381",22807
"382",2896
"383",51306
"384",57514
"385",55166
"386",6301
"387",8498
"388",5926
"389",7260
"390",10908
"391",8100
"392",56052
"393",55596
"394",10061
"395",54480
"396",2530
"397",55236
"398",9846
"399",535
"400",8554
"401",9497
"402",321
"403",5606
"404",9168
"405",28990
"406",25897
"407",8504
"408",11345
"409",26751
"410",84908
"411",7414
"412",55789
"413",8439
"414",159
"415",7077
"416",5981
"417",55773
"418",8452
"419",26009
"420",9099
