"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","qscore"
"GO:0022613","ribonucleoprotein complex biogenesis","439/12298","451/17461",1.13967402359379e-51,7.28365668478793e-48,5.1177361943696e-48,"81887/10181/6936/113000/55692/115939/51096/11171/51106/51121/23517/55341/54960/51491/10659/23223/51154/51602/57602/55781/6433/11218/10885/57418/54505/51018/114049/54475/1207/9733/23016/56949/56915/7520/1653/3320/29093/25929/7514/22894/26747/6193/91746/51729/8668/54700/27292/8602/10992/8886/22803/6128/51575/6175/8487/26523/6732/3326/10291/6634/23481/51386/4809/10521/8664/84844/10419/6430/1983/23405/51550/24148/26164/51340/10528/56853/79863/8780/100101490/6839/27336/5303/8669/3646/90459/55011/2068/8175/10775/6217/2091/55702/6223/29997/83743/26121/54555/85865/8662/23064/51010/8661/10360/23560/4927/708/117246/55813/51747/54433/2483/27339/10728/11052/11103/4839/8683/55003/23195/705/29102/55299/8850/7375/9136/51639/6209/84128/23451/79954/79084/54955/80135/54680/9129/10969/79033/387338/58155/27042/6230/22868/55127/51077/10171/54853/11340/27340/8161/64282/2971/130916/51116/6125/29960/79039/5393/27161/6431/55661/10199/88745/6631/83732/10799/51081/64794/6633/6628/6629/8894/192669/51119/10436/79066/65095/25983/54552/55695/25804/23404/1968/56342/8666/1736/25926/25980/6155/84231/6627/22907/23378/5901/10514/57050/26284/54496/51388/22889/54663/79577/51634/29889/192670/134430/6733/55226/84946/10200/9816/2752/6041/1660/65080/11137/54606/6426/92856/4686/11224/6194/96764/84811/51187/6229/29081/55759/9169/6636/6895/8562/8451/60677/79631/8996/84916/28987/27043/9775/10907/9875/79760/23521/6135/51042/6202/51093/81875/10262/1939/4931/163859/6637/23020/5433/55164/83939/55646/166378/92345/9879/55651/29777/285855/64434/51631/6134/6129/8667/84294/6838/57109/10556/22984/10480/10658/472/79869/220064/120379/57647/121053/153443/79833/10557/135295/55027/84365/51001/10813/115416/8450/90121/85395/103/60680/6154/79707/64216/23160/79753/6059/11157/84135/10412/6208/10569/25879/11168/65083/8559/7248/9188/9790/64745/27079/9221/11051/6632/55720/3921/7536/29063/10713/10421/8233/51068/196074/83640/83443/5036/84864/6203/55006/51013/55636/64979/79029/92342/5394/6227/55178/6201/6607/6606/3669/10248/10978/6169/51504/90441/10594/9416/545/8665/9092/8607/401466/6232/55272/1662/63899/54913/54512/27335/23212/50628/22827/255308/4869/64963/6635/55505/54059/26609/51335/6218/55794/6165/10856/10946/51118/10607/8663/728689/10078/79050/51065/317781/55015/51547/10772/9045/79979/26155/23450/27341/112479/161424/10438/84154/55035/84549/6147/55153/51441/55319/7919/131870/26831/26832/26835/101954276/26834/57819/26827/101954267/6060/101954266/101954271/51202/1654/100151684/118460/155400/9277/105378616/28985/6234/57461/5822/3692/55052/5591/9724/84769/91893/100151683/404672",439,50.9432193504169
"GO:0034470","ncRNA processing","401/12298","419/17461",1.06676310247762e-40,2.27256099597815e-37,1.59677592812966e-37,"81887/60528/113000/115939/51096/51106/6301/55596/54888/4234/23517/54802/23223/51154/51602/57602/23369/55781/6894/55726/10885/57418/3735/23536/60487/55623/51018/24140/8518/114049/3028/51095/54456/23016/56915/8468/1653/79670/22894/10269/51729/27292/51593/8602/51637/339175/8886/22803/51575/51605/16/54517/55644/26523/27037/23481/4809/10521/51493/23264/55687/8846/23405/9692/10528/51654/79863/8780/6839/5303/26512/79650/123263/56986/55756/10940/55174/90459/54938/55011/2068/55621/10775/6217/2091/7040/6223/29997/54555/11062/26024/51010/1787/10360/23560/57508/117246/55813/1655/54433/2483/51091/26610/83480/11103/4839/6428/705/54974/29102/55299/9631/8850/22916/9136/6209/84128/79954/63892/7257/80135/54680/10969/79033/387338/27042/6230/55127/51077/25940/10171/54853/11340/27340/64282/81627/130916/29066/6125/54482/3181/29960/79039/79828/5393/27161/27304/55661/10199/88745/57505/83732/10799/7737/652/192669/51119/10436/57570/54973/79066/54487/64172/65095/25983/84705/55695/23404/56342/1736/25926/6155/79727/23378/2926/57050/114034/54663/55140/25917/4613/54522/143689/9698/192670/23318/55250/134430/25821/55226/84872/10200/6041/65080/79074/11137/3569/54606/92856/51531/4686/11224/6194/91801/80745/6229/29081/6741/55759/81556/57117/6895/5073/84916/28987/27043/7157/9775/55520/56931/9875/90353/6135/6202/51093/25896/65123/4931/163859/51002/55164/55646/93587/92345/55651/10667/54901/29777/285855/6129/84294/57109/10556/22984/64852/92105/83707/120379/57647/153443/79691/10557/80746/285381/152992/84365/10813/90121/10785/85395/103/6154/51728/79707/127253/113802/64216/150962/129450/11102/23160/54859/79753/11157/84135/10412/6208/26173/25879/55656/138716/55798/84267/65083/158234/203522/84881/9188/9790/56339/142940/27079/115708/9221/4088/26995/81605/54920/51367/55720/29063/6774/9836/196074/285605/64118/126789/84520/23587/4086/5036/79042/55006/283742/51013/55636/92342/5394/6227/55178/6201/3669/112858/10248/10978/51504/54931/348180/51574/4087/9092/339487/80324/6232/55272/1662/55152/11180/63899/54913/54512/161829/23212/50628/201164/118672/8575/64963/55505/11022/283989/54059/6218/6165/51118/55039/10607/79050/80789/317781/150763/144233/51547/389421/9045/79979/134637/27341/79693/112479/161424/8270/10438/84154/55035/84549/51441/131870/116461/55253/51490/131405/131965/7247/81890/51202/1654/118460/155400/9277/404266/6234/221078/79897/5822/3692/57604/5591/9724/91893/404672",401,39.9719320142303
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","410/12298","435/17461",1.71476841536969e-36,2.73977123565692e-33,1.92505317367555e-33,"2729/54467/996/57414/26224/5689/3077/54476/5704/51667/9604/23376/25937/23304/8554/25897/8452/5685/3309/1161/23327/51528/5601/9709/29945/8454/10513/6047/4287/22933/27248/7353/55658/6400/28951/55743/23291/51009/27252/9618/54431/51548/7319/369/3093/5527/83737/9817/5663/57092/2932/7514/5705/57542/6790/55741/111089941/55968/51433/10296/25831/117584/8697/51322/3326/23411/5714/54620/997/84861/91319/84164/80020/79734/9978/27351/5706/5684/5700/5693/80344/5687/26133/5688/54994/57761/9097/4092/5716/6907/9683/5713/8312/79791/10273/6923/51283/9325/55284/7993/5516/6449/51343/55101/29997/2931/857/5683/10952/1855/10613/6468/79176/8453/27338/84961/5709/57003/5717/64750/7126/7323/7466/23321/55294/10612/25906/329/9354/26273/83892/8078/84727/4121/26268/26235/10973/10475/23197/6500/1452/51185/25852/10213/10297/550/7341/4780/11315/80267/127544/26232/26270/51377/991/9928/90025/26234/7320/5887/84078/1191/7706/8405/11059/10755/1017/8239/116138/9491/10616/5690/79654/821/54850/146330/4189/23008/8924/25847/5682/51105/8881/79016/11047/10277/6451/55829/7326/93611/23640/116988/406/79845/9695/9575/324/29979/55122/10956/4193/55336/3300/84101/23392/5695/79139/9373/2295/255488/51439/408/55298/6386/55212/91445/144165/8451/5371/55070/79018/409/1453/51529/55527/207/5694/6135/5686/64326/51514/23190/339745/130507/10299/85409/6502/64839/56929/81545/64777/154214/2768/11011/6872/8473/11160/8667/9781/196394/26272/1601/64682/1047/25827/64795/9320/7345/57630/80028/122416/153769/91544/130617/57805/54461/5710/5692/197131/267/118424/10444/56893/222235/5701/126433/90864/899/51035/84447/79699/80232/55139/201595/23429/9861/25898/26043/10393/285671/22836/819/83590/91147/7415/254170/23588/9147/89890/5702/3429/8945/9529/25820/8065/119504/7184/5347/4130/26263/90850/54442/1642/1499/55872/149603/79089/8313/92305/10116/11337/80196/4534/9655/80176/144699/10869/143941/10524/344558/150684/10221/6599/5707/1263/165324/80311/200933/11146/253980/26259/11065/92369/5708/1649/29882/246184/11253/162517/10425/79718/2629/90637/811/5886/81858/122809/223082/55432/23510/6478/26233/55666/9112/23194/7327/11124/5071/5719/10134/84937/7328/7874/378884/116224/29978/6613/387921/120892/6477/51434/5094/5718/57162/10210/122773/23607/258010/65992/6815/11060/57154/51465/26046/25853/9867/6048/3304/3303/7917/56658/10399/10206/131405/1454/23053/137886/7844/125972/115290",410,35.7657945244365
"GO:0016072","rRNA metabolic process","244/12298","248/17461",4.49618281259328e-32,4.10501490789766e-29,2.88431817722149e-29,"81887/113000/115939/51096/1663/51106/23517/23223/51154/51602/57602/55781/10885/57418/51018/6949/114049/23016/2975/56915/22894/51729/27292/8602/8886/22803/51575/55506/6598/23481/4809/10521/10528/79863/8780/6839/5303/90459/55011/2068/10775/6217/2091/6223/29997/54555/10927/51010/10360/23560/117246/55813/54433/2483/11103/4839/705/29102/55299/9555/54464/8850/9136/4691/2976/6209/84128/9014/79954/80135/54680/10969/79033/387338/27042/10849/6230/9330/55127/51077/10171/54853/11340/27340/64282/2971/130916/6125/29960/79039/79002/5393/55661/10199/88745/83732/10799/9329/84172/51119/10436/64768/6597/79066/65095/25983/55695/23404/56342/1736/25926/6155/23378/57050/54663/134430/55226/10200/6041/65080/11137/54606/92856/11224/64425/6194/6229/29081/55759/84916/28987/27043/7157/9775/9875/6135/6202/51093/4931/163859/55164/55646/92345/55651/29777/285855/6129/84294/84186/57109/9328/10556/22984/120379/57647/153443/10557/53918/146857/112495/84365/10813/90121/9191/85395/162989/6154/79707/64216/23160/11157/84135/10412/6208/25879/65083/9188/9790/27079/9221/115752/4141/55720/29063/196074/5036/55006/51013/55636/92342/5394/6227/55178/6201/55106/3669/10248/51504/9092/284119/6232/55272/1662/63899/54913/54512/23212/50628/64963/55505/54059/6218/6165/51118/10607/79050/2972/317781/51547/9045/79979/27341/112479/161424/10438/84154/55035/84549/51441/131870/2475/51202/283/118460/155400/2074/9277/6234/5822/3692/5591/9724/91893/404672",244,31.3471560388789
"GO:0016236","macroautophagy","302/12298","315/17461",2.39129119132772e-31,1.91034275047193e-28,1.34226950292159e-28,"26073/292/3920/27072/1407/51534/1634/23376/823/9821/8100/535/11345/23274/79142/51606/55187/57602/9474/11178/81671/2773/55102/4943/55737/4734/55062/5566/23503/7251/7879/5289/57103/58476/27244/5663/79876/9706/25978/55054/51510/10075/55968/27131/10558/57192/55763/55072/23256/10013/51322/23411/51100/9342/10043/3162/8897/83933/51382/10490/9517/3091/128866/84557/55613/6901/80183/5595/7249/80208/8767/6788/665/7040/11140/10392/6009/5599/23232/90410/23130/55626/10312/2597/51715/7957/8992/8723/523/200576/10254/550/27429/51652/22930/5768/57535/9927/149371/3964/533/23673/1509/8673/8987/25782/9525/51569/5290/9559/10133/60673/826/8678/22863/84219/83460/3791/54832/58533/27243/84971/83667/529/5119/9779/84313/60412/23647/57533/27183/5287/7428/55207/29979/84749/57231/6885/51028/10241/8027/55014/9550/9373/5861/23710/5830/65082/79720/25989/81631/4864/7157/56270/162427/93343/207/51506/23557/5899/5868/79137/64422/9711/9140/26249/8473/526/91782/203228/401548/90678/143686/472/9538/9638/5305/112936/143187/291/9531/26353/57724/83734/60592/54463/7345/528/23367/137492/26100/65018/11267/23400/9114/26086/56893/51160/8878/5563/51375/23001/64419/79443/256471/51368/836/5828/157753/1020/94241/7415/7248/53349/64112/440026/23339/79837/124045/80700/124997/55048/89849/5049/23192/154/11337/9637/4534/155066/2548/83452/171024/339122/57674/165324/488/81876/9776/26471/79643/55254/664/155382/8851/140775/8408/2629/2081/112574/811/23241/55432/285973/10193/23265/29110/340061/340371/23545/5071/9146/527/29978/285180/4077/1201/120892/6829/30849/54543/64771/11152/6714/3064/10533/440738/65992/7405/987/801/57154/2475/79065/6048/494513/10919/10206/25851/285636/7416/534/11331/137886/64601/9179/10715/9842/192111/90423/29082/57132",302,30.621367535935
"GO:2001020","regulation of response to DNA damage stimulus","296/12298","309/17461",1.58277698334821e-30,1.01155277005784e-27,7.10750169575104e-28,"5893/23028/1407/9031/54799/8193/672/2067/1663/637/6591/972/960/9774/11284/10039/1161/57492/5888/10721/23201/6873/54929/2139/6602/7158/2255/54556/7515/6605/60/51548/57103/55063/9984/55183/6595/6604/10269/56970/51720/2521/78990/51776/79968/23411/25/9274/6598/24144/8563/83933/9894/7528/55257/9675/79913/23347/5932/5716/2332/55578/51366/51588/55702/29086/29844/6878/10467/9275/6387/54780/9400/6603/1655/2648/7468/51111/605/2305/10635/8914/51147/26271/9025/2070/10902/93973/4968/8850/8087/57599/6787/54891/83444/10459/51377/8289/6118/22954/9913/55719/56943/80314/6883/1191/54537/7291/78996/9643/6615/23326/6659/7913/9521/5582/92797/8089/79000/6597/25913/80237/54617/9513/1032/80185/55274/6874/10155/63979/7014/5111/842/7178/84787/84250/56154/5977/56907/84893/4193/27097/1660/26122/79621/11143/86/64844/6498/1025/4609/8870/10097/22891/580/6601/675/8451/5371/8533/55135/7157/5366/4170/23126/8444/56950/142/54465/6423/79624/1956/138151/27063/6877/6188/472/1111/5531/8091/26272/117143/8467/22925/125476/9320/1054/64210/56776/23049/22976/1859/9577/2140/57805/150275/126549/56893/51149/25946/6154/10629/7398/4487/6944/113510/84142/151987/6314/64769/5580/55193/165918/84126/115004/23514/3190/220042/161742/29117/6881/254225/54386/4824/2021/84717/55611/84309/55159/3622/8313/10116/7336/197370/283899/83443/55031/4798/6419/4255/4862/5429/51499/10474/598/596/149840/5883/10524/93624/6599/80311/545/2072/116028/8607/79915/112869/3090/64110/7334/55929/6879/2187/29072/10856/754/57634/11200/387893/3297/55010/79184/10933/51616/51547/10445/3014/196528/23450/3146/8464/8295/200734/7919/5514/84501/8110/2074/8505/4282/7335/158880/5591/51750/101929977",296,29.8005802738454
"GO:0072594","establishment of protein localization to organelle","403/12298","438/17461",3.26941320810385e-29,1.89952907390834e-26,1.33467145892546e-26,"4074/3920/5898/55750/27072/7095/23649/637/84220/727851/10953/11231/23633/4285/8504/999/9765/3309/7175/26262/55187/9709/57602/10758/29927/23534/8943/3843/9697/55176/1994/23471/8692/55746/602/4734/1459/6720/5743/7251/617/3998/29090/27092/7879/25930/51548/5289/5663/3320/3842/10890/3301/51194/55696/54469/10075/581/57506/84572/55072/10762/23511/3717/51100/55506/26517/89781/56993/25793/706/25813/26520/6729/4792/6789/55612/128866/55916/8266/2254/3839/10204/9688/83752/65057/22879/51172/7249/8766/80208/6788/54332/64089/51366/665/55011/6449/10469/9141/92609/27113/7040/30000/59284/5296/2931/9512/2737/10952/5599/51684/10531/4591/3837/4927/5193/29098/7323/80273/55294/8882/3312/9049/4928/57122/79158/4121/1432/51715/1871/5191/55374/9631/9555/3836/1894/868/51555/6747/28972/10254/27429/10575/22930/1386/7341/58480/9927/9670/9789/7128/25782/6950/29103/51569/51307/1191/23435/1408/9409/130916/140690/1434/8239/5190/1026/9972/652/23163/79902/5469/9349/140823/8678/10245/22863/8021/1678/5189/5880/25913/6608/10651/54832/60559/84268/10452/10155/93974/1736/26061/84313/26515/5901/5562/23480/23558/27183/29107/8546/10526/9695/6272/10440/26519/948/29969/55122/10574/183/9648/55198/51028/4836/8027/26953/84709/6653/3973/53371/950/5530/144165/5830/9818/79035/675/79720/6727/5371/55275/9520/55135/7157/93343/207/10055/90580/5195/10456/6726/51542/3329/58477/5295/908/7013/90678/4851/196294/51501/10525/22948/26521/152485/9531/6728/5903/3621/9868/284/55027/5018/137492/10694/3098/9131/9530/23355/6396/26060/9478/5192/130617/65018/84134/11267/3099/808/118424/55823/4000/51160/8878/222229/5824/5194/79568/129401/7855/7203/131474/285521/80149/8314/5580/84315/25836/134266/5828/23514/79778/51271/158234/23203/64112/51762/9221/10576/4088/6730/55048/54899/6774/11142/56947/10073/983/3308/5569/8841/4580/22885/9804/3728/152877/133022/6731/55486/1649/9776/401505/155382/112869/29928/10425/55929/90637/3059/23513/3838/83882/6734/729540/10856/754/5587/3009/56478/1812/83943/26985/729857/5071/9146/7332/10134/3916/51079/3840/11261/400966/120892/9679/9883/30849/79711/54543/4763/387990/3841/2316/54557/23230/59286/439/6262/55705/57154/6721/503542/84455/100652748/3305/7917/5514/64901/10527/131118/23636/728489/54741/51024/54492/100188893/11331/55670/51025/5534/9179/51608/29082",403,28.4855301872022
"GO:0033044","regulation of chromosome organization","243/12298","250/17461",1.28780467638454e-28,6.85863307231135e-26,4.81910065741795e-26,"8379/996/5976/9031/7756/9918/8193/2067/1663/10460/4331/4361/29781/8452/11284/54908/7175/57492/29945/55781/23063/6047/5588/6602/23293/9319/55743/7515/4171/6605/60/5609/51548/7520/6595/10403/6604/546/4216/9183/8550/51433/332/51776/3183/26277/990/8697/9274/84861/6598/5594/7528/79913/8260/5595/10664/65057/4683/29844/6742/9275/54780/80351/79991/6603/64151/25906/605/26271/26054/7272/3550/10923/10111/9555/10051/93973/54464/8850/54891/83444/10575/10459/51377/991/4751/8289/1063/10783/56252/55719/1843/6950/23397/64282/3181/11130/1017/9587/7517/55795/8678/9787/6597/25913/56984/54617/55274/54552/8881/10155/1786/1736/7153/57343/548593/7014/84250/22880/5977/891/51535/55143/324/55226/9700/3178/5570/10574/84101/83852/86/10592/55755/4609/4926/57520/3184/1062/79035/6601/5925/80119/5371/5073/51529/83540/9869/142/51143/92345/2966/113130/908/54892/55869/79648/79618/7013/472/3619/22948/140609/23310/26272/57405/64682/8467/3192/125476/9184/10694/286053/701/81626/23049/147841/79677/7203/26354/55193/23272/4085/5885/29117/10576/201161/80063/54386/5347/81620/1499/2237/8313/197370/25942/283899/699/4798/6419/55729/5394/51112/167227/10524/8658/6599/3981/55055/55196/170506/545/11065/2072/116028/8607/29882/246184/83903/348654/80169/9212/79008/10856/9735/56160/7874/10445/84464/196528/54737/51434/6714/23137/23381/5514/51451/8110/54984/493861/100134934/51750",243,27.8901500021944
"GO:0007059","chromosome segregation","391/12298","430/17461",1.27311294828819e-25,5.81176060893557e-23,4.08353371232887e-23,"8379/26073/996/292/9031/7756/9918/26993/8193/672/10460/4361/29781/55166/8452/27175/54908/7175/57492/29945/23369/4438/55781/55706/23063/6047/6602/259266/10734/387/3796/22933/1459/998/56852/9319/8243/55743/54820/6605/23332/79023/60/4292/10615/7155/55063/3835/6595/10403/6604/10464/23047/25978/22924/546/81929/51510/9183/6790/22974/51433/332/10726/24137/51776/54930/990/8697/8086/6732/9274/84861/6598/8940/11144/57820/9985/4605/1457/9371/22919/128866/81610/55125/8780/10735/8260/56271/80152/10664/7329/8766/11339/9639/2068/729440/10270/6795/898/5518/9275/84445/56647/9126/5889/3837/9400/6603/64151/25906/605/26271/26054/7272/11044/3550/2908/9555/10051/8850/1894/150465/10096/51652/49856/148479/10459/991/4751/25936/8289/1063/10274/9928/7320/10783/9525/27030/55719/1843/348995/23397/84057/80218/81930/23244/29899/79903/11130/64105/6491/55355/8239/9587/7517/10426/55795/8678/9787/6597/85378/56984/54617/90417/151648/23383/55274/8881/55201/10844/64793/27243/9113/5119/93323/7283/29893/7153/5901/27183/84250/56154/5977/891/55207/84722/9698/55143/192670/324/9700/84101/83852/83990/86/51759/10592/55755/79075/4926/51203/9493/57082/55142/27229/2959/10097/3832/57520/1062/144165/6601/5925/10300/9611/114799/1453/51529/10609/11004/83540/23126/127829/27436/9391/79998/129563/2177/51143/1060/256006/91272/113130/11011/54892/55869/91782/7013/54801/28989/4288/6188/472/256364/3619/79980/140609/23310/55835/115106/57405/64946/64682/8467/3192/126731/9184/220134/146956/64210/7273/56776/286053/163786/701/9133/54069/57519/126549/11243/29127/256126/147841/79677/56916/84142/151246/23122/152185/56992/55193/4085/79884/25836/9232/5885/23353/2669/9897/158401/221150/23172/29117/55839/81565/51647/84191/5347/10982/2801/81620/90990/79003/29901/54921/10636/699/201254/157570/8841/51112/80198/10524/8658/339834/6599/55055/11065/10540/23015/378708/9134/2072/116028/79643/29882/246184/51115/7156/83903/348654/80010/9212/317761/23212/55920/1731/1104/284071/79598/348235/80254/11200/387893/9735/157313/4733/200942/146909/51547/57697/5359/84464/196528/10388/203068/51434/2316/1778/197342/7405/9874/26112/283489/23137/7150/9055/387103/10919/3304/3303/4439/7917/440145/51451/8110/54627/23636/55559/79441/440270/1654/644186/285643/3833/23354/54984/29082/57132/26065",391,24.8951330648127
"GO:0140053","mitochondrial gene expression","161/12298","161/17461",2.26322252419231e-25,9.64283676807538e-23,6.77537353558204e-23,"60528/23395/51106/54802/55173/84545/5188/60488/64951/55699/3028/51095/65993/29093/84273/4528/10573/51650/55168/5442/8846/9692/26164/51654/64863/10240/124454/54938/51073/2617/26024/64983/56652/7019/708/51264/51258/54516/29074/51069/10884/23107/29102/11222/9801/51253/10352/64960/55157/22868/2309/63931/9617/80298/219402/130916/51116/10102/79828/79072/57505/51081/64949/57570/7978/6183/64981/55278/51250/64432/55037/51318/5562/7818/65080/64965/9238/51204/57129/54534/84300/29088/87178/10128/79675/51067/79590/80222/65005/64969/57038/28957/92170/740/54148/133522/55005/51001/6832/115416/285367/63875/124995/64216/128308/51023/84340/10922/84881/54948/26995/3396/57215/85476/65008/3035/55006/64979/84275/79736/28998/118487/122704/78988/54931/65003/56945/51642/54998/80324/63899/7284/90480/64928/51649/64963/64975/51021/6472/51335/116541/28958/51263/64976/219927/28977/64978/28973/116540/6150/60493/51373/55052/9553/64968/400916/84769/283459/26589/6182/4701",161,24.6452727433154
