"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","qscore"
"hsa05168","Herpes simplex virus 1 infection","445/6002","498/8313",6.51481245472239e-22,2.20852142215089e-19,1.22752782041611e-19,"572/7748/7752/637/147948/972/330/355/3459/5452/578/5291/23118/5610/7771/10838/841/6672/7132/8891/7587/22869/440515/7188/25799/79891/55659/54807/9422/27102/581/79175/57506/55900/10795/6732/7738/3717/10454/6430/4792/8717/7249/3551/79744/208/7297/7728/5296/7561/7639/6009/727/23586/6347/4790/329/5818/4940/1967/29915/8683/6428/8890/64135/6772/6432/6429/127396/10000/8503/80264/8892/22835/317/256051/10520/29990/5290/7755/6431/7596/3553/718/7692/80818/3661/5199/83744/7186/148022/163131/440275/5819/684/79230/26152/57693/79088/55422/7770/7700/7187/57343/7691/7568/842/1965/6885/6041/3569/6426/7539/7743/5371/54925/7157/57677/3454/207/25888/80110/5451/84874/8893/5295/91975/57786/168374/7569/7592/7553/7761/284306/374928/284309/10172/148103/115509/7567/8764/3455/3460/7773/7673/7638/353355/9310/7617/388561/110116772/148206/84449/84911/6427/84765/3678/10482/3716/51385/836/7098/115004/7559/7248/7551/80095/567/2923/7644/7571/7769/7733/121274/162963/84436/55762/284349/55769/148156/146434/8772/6890/90075/3592/6940/92595/79724/197320/7988/8427/6773/90338/55786/90594/126070/54811/93134/598/201514/5293/284307/596/163255/148268/126295/115196/9451/54205/5499/3054/148203/169270/285268/4615/5970/340252/147687/163049/7189/162655/219749/58492/169841/79898/342908/7694/253639/285267/30832/163071/285676/125919/117608/7766/349075/79818/811/5781/7710/125893/51276/10224/126375/284406/286075/155061/284459/94039/7562/170960/389114/162967/9831/348327/10189/29110/100129543/3654/162239/9021/340061/81931/146198/7625/3665/374899/10308/84924/57711/342909/388567/7565/5501/148254/654254/339327/57335/64170/65243/339559/1978/57474/199777/390927/163087/79862/84527/7730/100529215/147694/147837/163081/126231/84503/7581/162966/440519/374879/3123/58500/7633/148213/90321/51427/57573/162962/147929/80778/7699/91661/7678/148266/27153/100289635/90576/158431/162993/7695/7582/170959/147686/90592/140612/199704/353088/388566/163227/57541/126068/147923/284390/6714/91120/400720/113835/146540/136051/340385/171392/344787/79788/57547/284371/284370/163059/10794/347344/284323/92283/339318/51710/388536/342926/55552/282890/84671/51135/147741/10793/7637/63934/65251/57209/27300/90987/84775/55713/220992/79973/126017/7574/147949/374900/147657/84914/388558/7594/7576/199692/2475/170958/1616/3111/3108/6891/730051/90233/390980/3107/3133/90333/90317/3135/3134/7711/100289678/155054/100131017/3105/81856/9534/1147/5500/388559/91664/10379/730087/7643/101060200/400713/57232/3115/100131827/57615/146542/3113/6892/345462/728927/3106/54753/100129842/54106/3109/163051/92285/388569/163050/255403/641339/162972/9668/7556/90649/7768/59348/56242/147660/3690/10780/342892/26974/7767/122539214",445,21.1860980820314
"hsa04110","Cell cycle","153/6002","157/8313",2.19943932358874e-17,3.72804965348292e-15,2.07210336274939e-15,"8379/996/1387/10926/1870/1663/29945/8454/23063/5525/5526/9319/8243/4171/4175/5527/8556/5933/10403/8555/2932/23047/546/4998/51433/23594/7042/8318/990/8697/25/8317/4616/4174/9978/2033/994/1869/10735/5934/5516/4173/898/51343/7040/5518/1021/9126/7531/595/25906/1027/26271/4172/1871/896/5528/7272/6500/5515/7029/4999/5000/3065/10459/1647/7709/991/10274/894/7043/23244/1031/1017/9587/1026/9088/7533/25847/1032/1028/151648/23383/8881/10912/5111/8900/1875/891/1022/10971/902/23595/1019/9700/4193/4609/5519/57082/5925/90381/114799/7157/51529/4089/890/6502/113130/55869/1030/1029/472/1111/64682/5529/9184/701/9133/995/80174/993/4085/10393/25836/9232/5885/5001/7534/119504/7465/4176/5347/7529/4088/81620/699/7532/983/157570/27085/545/9134/4087/2810/29882/246184/9212/11200/51434/3066/7027/1874/5591",153,16.6576880144982
"hsa04144","Endocytosis","232/6002","250/8313",9.99474911562314e-17,1.12940665006541e-14,6.27740383051418e-15,"381/163/9265/51534/30845/30846/6642/9135/9765/1175/116984/55040/23327/5662/29924/2263/10565/387/5590/2261/55737/4734/8218/998/22905/7037/9744/7251/5337/7879/832/273/83737/1785/25978/64744/10890/2060/51510/55616/27131/51324/9727/51100/387680/27128/157/3560/55738/128866/8411/50855/8766/30844/9266/858/857/8976/7046/1759/6456/22841/8729/28964/9267/5878/64750/3312/10938/867/10094/51699/5869/11021/60682/8724/23527/868/8723/10096/10254/51652/7456/829/9829/9525/64411/440073/51019/7852/644150/1211/9559/11059/84612/10564/57403/23096/10617/2868/58513/5338/58533/3949/10095/27243/5119/84440/64145/84313/116983/27183/23111/116988/57180/377/5156/116986/26056/4193/23325/51028/11311/274/8027/81873/408/10097/9101/9815/79720/3480/5371/6457/1213/409/93343/6455/8394/375/5868/9922/84249/1956/30011/29934/91782/56904/56288/84364/112936/8853/1601/50807/118813/137492/3798/23362/80223/9372/26119/116987/11267/2264/51160/1173/10092/10109/7048/5584/9897/382/4088/138429/4218/55048/5867/3800/378/11031/10015/3799/147179/729092/253725/156/3310/3265/7189/4087/1212/79643/155382/80230/84552/100287171/10193/9798/161/9230/9146/23396/116985/119016/89853/160/3482/6714/26052/2870/57154/2869/830/55680/414189/642517/3304/3303/3305/3107/3133/3135/3134/6643/3105/3106/10093/10552/26286/100526767/29082/57132",232,16.0002281029033
"hsa03010","Ribosome","145/6002","149/8313",2.55048064624897e-16,2.161532347696e-14,1.20141062020675e-14,"6224/51121/55173/6141/6160/29093/6193/10573/6128/6175/55168/6122/6217/51073/6223/6142/64983/6158/6143/51264/6164/6207/29074/6206/51069/6152/11222/6209/9801/6146/64960/6230/63931/6144/51116/6125/6204/51081/9349/6183/25873/64981/6155/51318/6210/64965/11224/6194/29088/6176/51187/6229/6187/6205/23521/6135/6202/79590/65005/6233/64969/6161/6189/6167/6134/6129/6130/6188/2197/6156/63875/124995/6132/6154/6159/51023/200916/6133/6208/6166/6157/54948/6137/3921/65008/6203/64979/6227/6201/28998/6169/6124/65003/6138/6181/6232/64928/64963/51021/6218/6165/51065/51263/6228/9045/219927/6231/6168/6136/6191/6147/4736/6170/100169763/100169762/100169754/100169751/100169756/100169761/100169759/100169768/100169755/100169757/100169765/100169753/100169766/100169767/100169758/100169764/6235/6150/100526842/7311/6171/6222/6234/51373/6173/55052/9553/64968/100529097/6182/6139/100529239",145,15.5933779676667
"hsa04140","Autophagy - animal","158/6002","164/8313",3.48628965680756e-16,2.36370438731553e-14,1.31378073382854e-14,"572/8837/3920/27072/9821/58528/11345/23604/5601/5291/9474/81671/5588/55102/55062/5566/7879/5289/58476/8417/9706/10325/55054/3476/51100/9342/5594/8897/3091/84557/115201/55578/5595/7249/57617/5516/208/5296/8887/6009/10652/5599/9110/6198/5602/23130/55626/10645/5515/64689/57448/26003/64121/10000/8503/1509/6794/8673/5290/10133/60673/84938/6237/8678/22863/5605/440275/84971/5894/5562/8471/3845/22800/1965/1514/6885/10241/10010/55014/5861/23710/65082/3480/81631/5170/57521/56270/207/5567/6233/64422/9711/5295/9140/203228/29982/7316/3708/57724/83734/64798/10670/26100/22808/55823/8878/5563/23001/64419/5580/55255/1508/7248/53349/23339/4218/1613/64223/89849/54541/23192/5604/3667/11337/7314/598/5293/596/5728/83452/9451/3265/7189/9776/6199/664/140775/8408/2081/285973/29110/3916/8660/4077/3146/30849/1612/11152/10533/440738/7405/2475/79065/84335/4893/64601/7311/9842",158,15.4576365325653
"hsa04141","Protein processing in endoplasmic reticulum","163/6002","170/8313",5.53043853712669e-16,3.12469777347658e-14,1.73675175113277e-14,"7095/51360/823/11231/578/3309/5601/9709/8454/29927/55176/4287/23471/27248/10294/7353/6400/7321/51009/3998/25956/5609/54431/51619/56681/3320/3301/56605/23645/581/55741/111089941/55968/10961/23193/51726/3326/91319/7494/9978/10484/80331/10483/84061/5611/55757/10273/7993/7991/10952/573/5599/7323/5602/7466/1410/3312/4121/9532/6500/10802/6747/7841/4780/80267/26232/26270/57134/22926/6185/5887/10808/64374/6745/6238/821/7186/468/1603/5589/10277/7322/55829/3337/7326/23480/23640/1965/9695/746/3703/29979/10956/3300/10970/56886/64215/79139/9373/10113/22872/10427/91445/8720/10130/23190/10299/85479/54788/10525/9871/55768/51128/9601/6396/267/118424/56893/51035/84447/824/6746/201595/285126/6184/22824/7415/7184/2923/80700/10960/596/9451/3310/165324/133022/1649/9632/11253/2081/811/5886/55432/6748/55666/7327/5071/5034/10134/29978/4217/30001/10905/258010/51465/58505/6048/3304/3303/3305/1388/81567/1650",163,15.2572404298702
"hsa05016","Huntington disease","271/6002","302/8313",2.97888218521969e-14,1.35856399183025e-12,7.55109313887953e-13,"4706/292/5439/1387/163/5689/7384/5704/4719/9821/9519/1767/5685/1175/5431/5601/841/4710/55102/8218/55062/6389/5609/5289/7419/6507/9706/5978/581/5705/23186/4708/5714/513/4713/5434/5435/10126/2033/5706/5684/5700/5693/5687/5688/5332/5432/5713/10671/10382/147700/5438/27113/8701/6804/4899/5683/10488/5599/7019/10105/5709/5717/5602/4717/10891/23130/6506/55626/4728/5715/506/1337/6908/1347/55081/25981/10120/10213/374291/9167/2882/515/3065/6390/1385/56171/4709/4702/83544/317/1211/27019/60673/10376/514/4694/2892/5690/3831/1340/8678/22863/1350/7186/10975/7277/7979/3092/4698/5682/4705/6874/11047/4294/1327/1349/4695/55860/5468/1742/842/51164/517/1329/4711/5695/11258/89953/7280/347733/5330/10121/4704/7385/4716/1213/6875/7157/6647/5694/5686/6391/148327/5433/4726/9586/54539/5440/4715/774/29982/5331/3708/4718/291/498/2893/518/522/2890/3798/2776/7381/90993/26100/4720/516/5710/5692/4731/125965/5701/1173/1346/9861/7802/5437/4724/493869/836/27089/1345/4712/509/7417/5702/4714/84516/7846/84790/4723/10476/5436/3800/4725/2915/7386/293/25942/3799/4696/54205/7388/5707/9001/126328/64837/5708/10540/9776/1212/84617/1351/627/8408/5441/4729/2081/9377/1537/5430/64764/23236/161/4707/51807/29796/55967/4700/6667/5719/56901/127602/51079/10383/4697/203068/30849/3066/160/5718/3064/4217/196385/4541/4513/4519/4536/4540/2475/4512/4537/4538/4535/4508/4514/7052/6392/1639/2878/4539/7416/4722/246721/4509/2876/440567/539/10381/4701",271,13.5259466727906
"hsa04120","Ubiquitin mediated proteolysis","136/6002","141/8313",3.20605071818349e-14,1.35856399183025e-12,7.55109313887953e-13,"90293/996/23221/9690/672/330/55236/8554/8452/9820/1161/23327/29945/8454/4734/7321/9886/23291/7319/9063/3093/83737/51619/9817/10075/51433/8697/4214/997/23759/9978/4281/331/23295/10273/7329/6923/8925/55284/51366/51588/51343/54926/8453/27338/4591/64750/7323/55294/27339/25906/329/9354/867/6500/7337/9616/868/55120/57448/26232/991/7320/22954/11059/10054/8924/25847/8881/9040/10277/7317/7322/10401/7326/7428/1643/4193/8916/8451/92912/5371/55070/51529/10055/64326/6233/9039/6502/26091/7316/89910/26272/64682/9320/6921/9246/8450/65264/118424/55585/84447/25898/10393/8945/8065/119504/1642/10477/7324/7314/26259/11065/7189/63893/29882/246184/7334/7318/7325/140739/9021/7327/22888/8651/5071/7332/7328/378884/6477/51434/11060/55958/57154/51465/7311",136,13.4940296115973
"hsa05131","Shigellosis","216/6002","236/8313",7.52606951109691e-14,2.8348195158465e-12,1.5756332660659e-12,"9265/823/58528/960/7414/5601/9564/5291/8454/23118/9474/63916/5588/7132/387/6093/5217/55062/998/87/7321/23291/60/5289/51619/7188/2932/10325/2017/55054/581/5829/55072/3710/1399/5594/27128/55964/10454/9978/9252/4792/5332/10398/84557/10627/8717/5595/29108/8767/3551/4793/208/9266/5296/2931/10392/8976/93408/58498/5599/6198/5216/9267/4790/7323/5602/10094/1432/8936/6500/10096/84812/3554/9181/64121/10000/8503/103910/2309/5290/989/11335/3709/5335/23157/3553/718/10616/826/3661/8678/22863/7186/81/10095/1729/7322/3021/57180/9475/6885/4193/5879/10241/7099/81873/7094/8737/834/5330/54874/10097/51196/55752/81631/7157/57521/207/8915/375/6233/92610/5295/9140/10318/1956/472/5331/3688/1793/3606/2308/7316/3708/831/10670/80201/3098/5603/257397/26100/10163/3099/7307/102724594/8878/199746/3678/113026/10092/824/3020/10109/5580/1437/23176/115004/382/8945/3611/1398/4735/7336/5747/3576/7314/5581/5481/598/5293/596/83660/54205/10892/4615/5970/11146/7189/6199/664/3725/7334/81858/3059/23236/653604/29110/71/4303/340061/10801/5600/5333/23048/6300/440093/30849/837/6714/8356/8351/440738/2475/126961/333932/84335/25851/1147/7416/4636/7311/10093/10552/7335/4671",216,13.1234317748354
"hsa04714","Thermogenesis","211/6002","232/8313",8.16917248230842e-13,2.76934947150256e-11,1.53924407824548e-11,"55471/23028/4706/1352/7384/8193/1355/4719/5606/57492/4710/6602/2182/6196/5566/27330/6389/6605/11343/60/51548/2260/108/3991/6595/6604/2778/4708/513/4713/6598/6655/79133/9658/7249/55744/6009/51422/10488/6198/6603/4717/10891/1374/4728/506/5564/1337/1432/1347/374291/55818/6654/9167/1386/515/656/6390/6195/8289/1385/4709/4702/51780/113/29078/2181/514/4694/1340/1350/10975/6597/4698/196883/4705/1327/1349/4695/5565/5468/5562/3845/51241/517/1329/86/4711/6194/51103/109/10063/5593/4704/6601/7385/4716/57521/63976/5567/6391/148327/4726/9586/54539/4715/4718/2180/498/518/522/114/137682/7381/5603/1376/90993/4720/516/4731/125965/1346/115/65260/5563/285521/91942/4724/23305/27089/107/1345/4712/509/7248/4714/10818/1353/10632/4723/10476/64223/388753/4725/521/7386/126129/4696/111/6599/7388/112/3265/126328/6199/1351/6197/57104/2885/25915/4729/84987/788/9377/1537/51287/5571/64764/493753/4707/28958/71/29796/55967/4700/5600/5592/56901/51079/6300/4697/123096/51703/4217/4541/4513/4519/4536/4540/2475/4512/4537/4538/4535/4508/4514/116228/6392/84335/1375/8110/4539/4893/4722/284184/4509/440567/90639/9551/539/4701",211,12.0878219342349
