"Gene","ensembl_gene_id","entrezgene_id"
"AAMP","ENSG00000127837",14
"AARS1","ENSG00000090861",16
"AASDHPPT","ENSG00000149313",60496
"ABCB7","ENSG00000131269",22
"ABCE1","ENSG00000164163",6059
"ABCF1","ENSG00000204574",23
"ABT1","ENSG00000146109",29777
"ACO2","ENSG00000100412",50
"ACTL6A","ENSG00000136518",86
"ACTR10","ENSG00000131966",55860
"ACTR3","ENSG00000115091",10096
"ACTR6","ENSG00000075089",64431
"ACTR8","ENSG00000113812",93973
"ADAT2","ENSG00000189007",134637
"ADSL","ENSG00000239900",158
"AFG3L2","ENSG00000141385",10939
"AHCY","ENSG00000101444",191
"AIFM1","ENSG00000156709",9131
"AKIRIN2","ENSG00000135334",55122
"ALDOA","ENSG00000149925",226
"ALG1","ENSG00000033011",56052
"ALG11","ENSG00000253710",440138
"ALG13","ENSG00000101901",79868
"ALG14","ENSG00000172339",199857
"ALG2","ENSG00000119523",85365
"ALG8","ENSG00000159063",79053
"ALYREF","ENSG00000183684",10189
"AMD1","ENSG00000123505",262
"ANAPC10","ENSG00000164162",10393
"ANAPC11","ENSG00000141552",51529
"ANAPC15","ENSG00000110200",25906
"ANAPC4","ENSG00000053900",29945
"ANAPC5","ENSG00000089053",51433
"ANKLE2","ENSG00000176915",23141
"ANLN","ENSG00000011426",54443
"AP2S1","ENSG00000042753",1175
"AQR","ENSG00000021776",9716
"ARCN1","ENSG00000095139",372
"ARGLU1","ENSG00000134884",55082
"ARL2","ENSG00000213465",402
"ARMC7","ENSG00000125449",79637
"ARPC4","ENSG00000241553",10093
"ASCC3","ENSG00000112249",10973
"ATIC","ENSG00000138363",471
"ATL2","ENSG00000119787",64225
"ATP13A1","ENSG00000105726",57130
"ATP1A1","ENSG00000163399",476
"ATP2A2","ENSG00000174437",488
"ATP6AP2","ENSG00000182220",10159
"ATP6V0B","ENSG00000117410",533
"ATP6V0C","ENSG00000185883",527
"ATP6V0D1","ENSG00000159720",9114
"ATP6V1A","ENSG00000114573",523
"ATP6V1D","ENSG00000100554",51382
"ATP6V1E1","ENSG00000131100",529
"ATP6V1G1","ENSG00000136888",9550
"ATR","ENSG00000175054",545
"ATRIP","ENSG00000164053",84126
"ATRX","ENSG00000085224",546
"BARD1","ENSG00000138376",580
"BCAS2","ENSG00000116752",10286
"BCCIP","ENSG00000107949",56647
"BCL2L1","ENSG00000171552",598
"BCS1L","ENSG00000074582",617
"BDP1","ENSG00000145734",55814
"BET1","ENSG00000105829",10282
"BIRC5","ENSG00000089685",332
"BLM","ENSG00000197299",641
"BMS1","ENSG00000165733",9790
"BNIP1","ENSG00000113734",662
"BOD1L1","ENSG00000038219",259282
"BORA","ENSG00000136122",79866
"BPTF","ENSG00000171634",2186
"BRCA1","ENSG00000012048",672
"BRCA2","ENSG00000139618",675
"BRD4","ENSG00000141867",23476
"BRD8","ENSG00000112983",10902
"BRF1","ENSG00000185024",2972
"BRIX1","ENSG00000113460",55299
"BTAF1","ENSG00000095564",9044
"BUB1B","ENSG00000156970",701
"BUB3","ENSG00000154473",9184
"BUD13","ENSG00000137656",84811
"BUD31","ENSG00000106245",8896
"BYSL","ENSG00000112578",705
"C18orf21","ENSG00000141428",83608
"C1orf131","ENSG00000143633",128061
"C9orf78","ENSG00000136819",51759
"CAD","ENSG00000084774",790
"CARS1","ENSG00000110619",833
"CCDC115","ENSG00000136710",84317
"CCDC86","ENSG00000110104",79080
"CCNA2","ENSG00000145386",890
"CCNH","ENSG00000134480",902
"CCNK","ENSG00000090061",8812
"CCP110","ENSG00000103540",9738
"CCT2","ENSG00000166226",10576
"CCT3","ENSG00000163468",7203
"CCT4","ENSG00000115484",10575
"CCT5","ENSG00000150753",22948
"CCT6A","ENSG00000146731",908
"CCT7","ENSG00000135624",10574
"CDC123","ENSG00000151465",8872
"CDC16","ENSG00000130177",8881
"CDC20","ENSG00000117399",991
"CDC23","ENSG00000094880",8697
"CDC37","ENSG00000105401",11140
"CDC40","ENSG00000168438",51362
"CDC45","ENSG00000093009",8318
"CDC5L","ENSG00000096401",988
"CDC6","ENSG00000094804",990
"CDC7","ENSG00000097046",8317
"CDC73","ENSG00000134371",79577
"CDCA5","ENSG00000146670",113130
"CDIN1","ENSG00000186073",84529
"CDIPT","ENSG00000103502",10423
"CDK1","ENSG00000170312",983
"CDK12","ENSG00000167258",51755
"CDK9","ENSG00000136807",1025
"CDT1","ENSG00000167513",81620
"CEBPZ","ENSG00000115816",10153
"CENATAC","ENSG00000186166",338657
"CENPA","ENSG00000115163",1058
"CENPH","ENSG00000153044",64946
"CENPJ","ENSG00000151849",55835
"CENPL","ENSG00000120334",91687
"CENPM","ENSG00000100162",79019
"CENPN","ENSG00000166451",55839
"CENPW","ENSG00000203760",387103
"CEP135","ENSG00000174799",9662
"CEP152","ENSG00000103995",22995
"CEP192","ENSG00000101639",55125
"CEP57","ENSG00000166037",9702
"CEP85","ENSG00000130695",64793
"CEP97","ENSG00000182504",79598
"CFDP1","ENSG00000153774",10428
"CHAF1A","ENSG00000167670",10036
"CHAF1B","ENSG00000159259",8208
"CHEK1","ENSG00000149554",1111
"CHERP","ENSG00000085872",10523
"CHMP2A","ENSG00000130724",27243
"CHMP3","ENSG00000115561",51652
"CHMP4B","ENSG00000101421",128866
"CHMP6","ENSG00000176108",79643
"CHORDC1","ENSG00000110172",26973
"CIAO1","ENSG00000144021",9391
"CINP","ENSG00000100865",51550
"CKAP5","ENSG00000175216",9793
"CLASRP","ENSG00000104859",11129
"CLNS1A","ENSG00000074201",1207
"CLP1","ENSG00000172409",10978
"CLTC","ENSG00000141367",1213
"CMPK1","ENSG00000162368",51727
"CNOT1","ENSG00000125107",23019
"CNOT2","ENSG00000111596",4848
"CNOT3","ENSG00000088038",4849
"COA5","ENSG00000183513",493753
"COASY","ENSG00000068120",80347
"COG2","ENSG00000135775",22796
"COG3","ENSG00000136152",83548
"COG4","ENSG00000103051",25839
"COG8","ENSG00000213380",84342
"COPA","ENSG00000122218",1314
"COPB1","ENSG00000129083",1315
"COPB2","ENSG00000184432",9276
"COPE","ENSG00000105669",11316
"COPG1","ENSG00000181789",22820
"COPS2","ENSG00000166200",9318
"COPS3","ENSG00000141030",8533
"COPS4","ENSG00000138663",51138
"COPS6","ENSG00000168090",10980
"COPZ1","ENSG00000111481",22818
"COQ4","ENSG00000167113",51117
"COQ5","ENSG00000110871",84274
"COX10","ENSG00000006695",1352
"COX15","ENSG00000014919",1355
"COX5B","ENSG00000135940",1329
"COX6B1","ENSG00000126267",1340
"CPSF2","ENSG00000165934",53981
"CPSF3","ENSG00000119203",51692
"CPSF6","ENSG00000111605",11052
"CRCP","ENSG00000241258",27297
"CRLS1","ENSG00000088766",54675
"CRNKL1","ENSG00000101343",51340
"CSE1L","ENSG00000124207",1434
"CSNK1A1","ENSG00000113712",1452
"CSNK2B","ENSG00000204435",1460
"CSTF1","ENSG00000101138",1477
"CSTF3","ENSG00000176102",1479
"CTC1","ENSG00000178971",80169
"CTCF","ENSG00000102974",10664
"CTDP1","ENSG00000060069",9150
"CTNNBL1","ENSG00000132792",56259
"CTPS1","ENSG00000171793",1503
"CTR9","ENSG00000198730",9646
"CTU1","ENSG00000142544",90353
"CTU2","ENSG00000174177",348180
"CUL1","ENSG00000055130",8454
"CUL2","ENSG00000108094",8453
"CWC22","ENSG00000163510",57703
"CWF19L2","ENSG00000152404",143884
"DAD1","ENSG00000129562",1603
"DAP3","ENSG00000132676",7818
"DARS1","ENSG00000115866",1615
"DARS2","ENSG00000117593",55157
"DBR1","ENSG00000138231",51163
"DCAF7","ENSG00000136485",10238
"DCPS","ENSG00000110063",28960
"DCTN2","ENSG00000175203",10540
"DCTN3","ENSG00000137100",11258
"DCTN4","ENSG00000132912",51164
"DCTN5","ENSG00000166847",84516
"DDB1","ENSG00000167986",1642
"DDOST","ENSG00000244038",1650
"DDX18","ENSG00000088205",8886
"DDX20","ENSG00000064703",11218
"DDX21","ENSG00000165732",9188
"DDX23","ENSG00000174243",9416
"DDX24","ENSG00000089737",57062
"DDX27","ENSG00000124228",55661
"DDX39B","ENSG00000198563",7919
"DDX3X","ENSG00000215301",1654
"DDX46","ENSG00000145833",9879
"DDX47","ENSG00000213782",51202
"DDX49","ENSG00000105671",54555
"DDX51","ENSG00000185163",317781
"DDX54","ENSG00000123064",79039
"DDX55","ENSG00000111364",57696
"DDX56","ENSG00000136271",54606
"DDX59","ENSG00000118197",83479
"DDX6","ENSG00000110367",1656
"DENR","ENSG00000139726",8562
"DGCR8","ENSG00000128191",54487
"DHDDS","ENSG00000117682",79947
"DHFR","ENSG00000228716",1719
"DHX15","ENSG00000109606",1665
"DHX33","ENSG00000005100",56919
"DHX35","ENSG00000101452",60625
"DHX36","ENSG00000174953",170506
"DHX38","ENSG00000140829",9785
"DHX8","ENSG00000067596",1659
"DHX9","ENSG00000135829",1660
"DIDO1","ENSG00000101191",11083
"DIMT1","ENSG00000086189",27292
"DIS3","ENSG00000083520",22894
"DKC1","ENSG00000130826",1736
"DLD","ENSG00000091140",1738
"DLST","ENSG00000119689",1743
"DMAP1","ENSG00000178028",55929
"DNAAF10","ENSG00000243667",116143
"DNAJA3","ENSG00000103423",9093
"DNAJC11","ENSG00000007923",55735
"DNAJC2","ENSG00000105821",27000
"DNAJC9","ENSG00000213551",23234
"DNM1L","ENSG00000087470",10059
"DNM2","ENSG00000079805",1785
"DNMT1","ENSG00000130816",1786
"DNTTIP2","ENSG00000067334",30836
"DONSON","ENSG00000159147",29980
"DPH5","ENSG00000117543",51611
"DR1","ENSG00000117505",1810
"DSN1","ENSG00000149636",79980
"DTL","ENSG00000143476",51514
"DTYMK","ENSG00000168393",1841
"DYNC1H1","ENSG00000197102",1778
"DYNLRB1","ENSG00000125971",83658
"E4F1","ENSG00000167967",1877
"EBNA1BP2","ENSG00000117395",10969
"ECD","ENSG00000122882",11319
"ECT2","ENSG00000114346",1894
"EEF1A1","ENSG00000156508",1915
"EEF2","ENSG00000167658",1938
"EEFSEC","ENSG00000132394",60678
"EFTUD2","ENSG00000108883",9343
"EHMT1","ENSG00000181090",79813
"EIF1","ENSG00000173812",10209
"EIF1AD","ENSG00000175376",84285
"EIF2B1","ENSG00000111361",1967
"EIF2B2","ENSG00000119718",8892
"EIF2B3","ENSG00000070785",8891
"EIF2B4","ENSG00000115211",8890
"EIF2B5","ENSG00000145191",8893
"EIF2S1","ENSG00000134001",1965
"EIF2S3","ENSG00000130741",1968
"EIF3A","ENSG00000107581",8661
"EIF3B","ENSG00000106263",8662
"EIF3D","ENSG00000100353",8664
"EIF3I","ENSG00000084623",8668
"EIF3J","ENSG00000104131",8669
"EIF3M","ENSG00000149100",10480
"EIF4A1","ENSG00000161960",1973
"EIF4A3","ENSG00000141543",9775
"EIF4E","ENSG00000151247",1977
"EIF4G1","ENSG00000114867",1981
"EIF5","ENSG00000100664",1983
"EIF5B","ENSG00000158417",9669
