"","x"
"1",64102
"2",2268
"3",22875
"4",9957
"5",26
"6",3382
"7",952
"8",5166
"9",85413
"10",340273
"11",170302
"12",6521
"13",799
"14",64063
"15",3207
"16",4222
"17",221981
"18",4353
"19",5444
"20",5244
"21",30812
"22",3683
"23",51666
"24",51087
"25",3883
"26",6833
"27",10368
"28",6863
"29",6376
"30",8913
"31",1750
"32",4293
"33",55001
"34",10083
"35",56891
"36",151531
"37",10942
"38",90273
"39",4843
"40",1770
"41",9058
"42",4145
"43",1087
"44",974
"45",6329
"46",8277
"47",5080
"48",6401
"49",27035
"50",1870
"51",57172
"52",7021
"53",83741
"54",9940
"55",53616
"56",8993
"57",5081
"58",389434
"59",80342
"60",51085
"61",57467
"62",56920
"63",23166
"64",6540
"65",695
"66",2326
"67",6534
"68",3730
"69",9066
"70",27033
"71",7305
"72",2556
"73",933
"74",9971
"75",240
"76",8284
"77",923
"78",440193
"79",7454
"80",1800
"81",81551
"82",3670
"83",55349
"84",53832
"85",1179
"86",22802
"87",3479
"88",23584
"89",8685
"90",1591
"91",57586
"92",64816
"93",11136
"94",732
"95",2554
"96",55655
"97",1244
"98",58528
"99",57823
"100",3645
"101",9047
"102",3381
"103",57554
"104",79645
"105",4653
"106",23604
"107",26228
"108",9172
"109",5009
"110",10858
"111",6570
"112",846
"113",2324
"114",3224
"115",7092
"116",999
"117",11063
"118",54831
"119",1008
"120",23026
"121",7399
"122",11055
"123",10863
"124",8538
"125",7546
"126",3937
"127",153
"128",2981
"129",2042
"130",2824
"131",51438
"132",80243
"133",116984
"134",1356
"135",7504
"136",27146
"137",6098
"138",608
"139",55885
"140",10911
"141",3604
"142",55040
"143",50943
"144",340533
"145",7984
"146",10319
"147",5733
"148",79931
"149",91522
"150",5652
"151",60529
"152",23105
"153",728464
"154",23101
"155",3784
"156",954
"157",4065
"158",57475
"159",23626
"160",140689
"161",55283
"162",114800
"163",3700
"164",3697
"165",10886
"166",112885
"167",6317
"168",5318
"169",4438
"170",57458
"171",816
"172",1608
"173",55359
"174",2769
"175",84699
"176",23504
"177",7478
"178",1001
"179",416
"180",124925
"181",28968
"182",2928
"183",1747
"184",10077
"185",58524
"186",9914
"187",4804
"188",8537
"189",5449
"190",9423
"191",54763
"192",9892
"193",1308
"194",5588
"195",1496
"196",84217
"197",25791
"198",8832
"199",6688
"200",744
"201",51208
"202",2263
"203",26153
"204",348158
"205",8653
"206",7544
"207",57595
"208",492
"209",65055
"210",286749
"211",5837
"212",8712
"213",57113
"214",221395
"215",54549
"216",8756
"217",4129
"218",100652777
"219",2984
"220",6343
"221",6710
"222",27071
"223",27006
"224",55808
"225",22844
"226",1258
"227",1103
"228",2046
"229",6559
"230",29850
"231",11320
"232",54860
"233",51052
"234",140469
"235",28513
"236",6694
"237",55515
"238",7224
"239",2213
"240",9744
"241",54847
"242",54905
"243",8626
"244",3993
"245",54752
"246",4185
"247",8647
"248",10170
"249",922
"250",6480
"251",30009
"252",5522
"253",54825
"254",6620
"255",26034
"256",50508
"257",6557
"258",7294
"259",9671
"260",3785
"261",9620
"262",7479
"263",119
"264",2249
"265",27091
"266",27092
"267",479
"268",55843
"269",113457
"270",5076
"271",124188259
"272",2239
"273",55796
"274",57662
"275",5909
"276",27231
"277",51412
"278",5915
"279",5063
"280",827
"281",1641
"282",9576
"283",7299
"284",88
"285",8468
"286",27127
"287",8530
"288",273
"289",27074
"290",10529
"291",108
"292",54715
"293",3205
"294",117
"295",27334
"296",9452
"297",1620
"298",27039
"299",57644
"300",80341
"301",7161
"302",27098
"303",1015
"304",6507
"305",11262
"306",634
"307",51207
"308",173
"309",10590
"310",1638
"311",285220
"312",6344
"313",50700
"314",139212
"315",1361
"316",1136
"317",22997
"318",3080
"319",174
"320",1286
"321",1005
"322",50939
"323",5788
"324",779
"325",5317
"326",4036
"327",6561
"328",93664
"329",56131
"330",56142
"331",3595
"332",2533
"333",5241
"334",1310
"335",4986
"336",54437
"337",10141
"338",80036
"339",79977
"340",1833
"341",3034
"342",6579
"343",79570
"344",338
"345",22979
"346",2646
"347",2219
"348",57549
"349",7481
"350",363
"351",2346
"352",51314
"353",54749
"354",29887
"355",3049
"356",4680
"357",2196
"358",5475
"359",4606
"360",28983
"361",1071
"362",4504
"363",2775
"364",116154
"365",7022
"366",6820
"367",51206
"368",28954
"369",6564
"370",1795
"371",55287
"372",140850
"373",6614
"374",2160
"375",54997
"376",55423
"377",5027
"378",26074
"379",64211
"380",22895
"381",4842
"382",5349
"383",23415
"384",3902
"385",5996
"386",4069
"387",6476
"388",26998
"389",7066
"390",8646
"391",30835
"392",10683
"393",5459
"394",58484
"395",22798
"396",4897
"397",1811
"398",3568
"399",23676
"400",7018
"401",350
"402",57084
"403",1357
"404",2099
"405",285
"406",1215
"407",84502
"408",4625
"409",1053
"410",23428
"411",57096
"412",1618
"413",90665
"414",825
"415",6913
"416",27285
"417",126370
"418",2568
"419",3881
"420",120400
"421",10044
"422",5146
"423",29760
"424",7093
"425",1592
"426",56165
"427",10580
"428",55118
"429",53904
"430",23430
"431",284422
"432",54209
"433",83795
"434",10321
"435",5225
"436",9436
"437",4295
"438",3594
"439",57828
"440",4113
"441",1943
"442",83259
"443",266
"444",3483
"445",126353
"446",3053
"447",27443
"448",91319
"449",6545
"450",5008
"451",266629
"452",5625
"453",1417
"454",4242
"455",3957
"456",23544
"457",91227
"458",1414
"459",6663
"460",55964
"461",6523
"462",6527
"463",1565
"464",11144
"465",27156
"466",25770
"467",55586
"468",10633
"469",164668
"470",49
"471",164633
"472",80832
"473",9402
"474",5816
"475",4689
"476",1439
"477",7380
"478",3560
"479",23209
"480",54207
"481",1511
"482",2999
"483",3002
"484",114088
"485",55195
"486",145497
"487",161394
"488",145501
"489",1113
"490",57452
"491",51676
"492",6554
"493",5267
"494",8115
"495",10202
"496",9362
"497",4318
"498",30813
"499",140902
"500",3172
"501",84174
"502",4773
"503",140730
"504",55816
"505",81027
"506",11255
"507",79444
"508",128414
"509",551
"510",57642
"511",1137
"512",25876
"513",140862
"514",80343
"515",113278
"516",51378
"517",343637
"518",128674
"519",85366
"520",54363
"521",5173
"522",140706
"523",3055
"524",140711
"525",57144
"526",5020
"527",671
"528",128821
"529",140679
"530",434
"531",1472
"532",10406
"533",26051
"534",10816
"535",57119
"536",79953
"537",56853
"538",28316
"539",8736
"540",29906
"541",9388
"542",54941
"543",8715
"544",286436
"545",340547
"546",4935
"547",104797536
"548",2986
"549",23439
"550",51311
"551",9506
"552",2742
"553",4168
"554",2158
"555",778
"556",6855
"557",660
"558",51213
"559",5973
"560",55613
"561",140462
"562",80316
"563",5956
"564",6247
"565",27344
"566",282808
"567",2623
"568",9248
"569",9468
"570",680
"571",51442
"572",959
"573",56062
"574",2564
"575",27328
"576",347365
"577",158866
"578",54457
"579",80183
"580",3356
"581",2862
"582",6445
"583",730249
"584",10562
"585",84560
"586",55815
"587",869
"588",23090
"589",6367
"590",6361
"591",221191
"592",80004
"593",79152
"594",54550
"595",9717
"596",7783
"597",4210
"598",1428
"599",260429
"600",343
"601",27324
"602",79838
"603",6530
"604",366
"605",8120
"606",23205
"607",9455
"608",4948
"609",9333
"610",23359
"611",29106
"612",171177
"613",6101
"614",760
"615",7976
"616",2138
"617",793
"618",56704
"619",27121
"620",54332
"621",54845
"622",11075
"623",83988
"624",2765
"625",312
"626",4741
"627",2515
"628",2267
"629",7288
"630",27294
"631",11184
"632",114336
"633",3972
"634",1082
"635",10382
"636",1158
"637",57030
"638",147700
"639",268
"640",56729
"641",2208
"642",10332
"643",81492
"644",4858
"645",10859
"646",11024
"647",64926
"648",79852
"649",23581
"650",6511
"651",29124
"652",1178
"653",79935
"654",56961
"655",728361
"656",23217
"657",27134
"658",1089
"659",79784
"660",27181
"661",973
"662",3982
"663",4818
"664",945
"665",1048
"666",1406
"667",6822
"668",478
"669",148066
"670",23546
"671",93233
"672",946
"673",56344
"674",3036
"675",54854
"676",51298
"677",26291
"678",59284
"679",10990
"680",10661
"681",22983
"682",6528
"683",3780
"684",11045
"685",495
"686",26330
"687",4099
"688",57817
"689",3249
"690",2901
"691",154661
"692",5294
"693",5446
"694",1749
"695",50617
"696",64111
"697",22797
"698",56311
"699",7434
"700",3209
"701",2128
"702",54504
"703",1124
"704",23242
"705",1395
"706",2051
"707",2692
"708",6369
"709",4885
"710",5803
"711",23553
"712",6677
"713",29999
"714",5078
"715",10842
"716",346606
"717",135935
"718",93408
"719",6424
"720",4223
"721",653857
"722",11281
"723",10551
"724",58498
"725",168391
"726",9355
"727",79937
"728",158471
"729",4969
"730",54829
"731",26468
"732",259
"733",944
"734",6019
"735",6013
"736",81704
"737",1993
"738",57582
"739",7306
"740",8022
"741",8395
"742",6456
"743",1791
"744",26033
"745",9033
"746",8029
"747",27143
"748",64072
"749",9806
"750",3195
"751",2253
"752",5309
"753",9148
"754",114815
"755",56521
"756",9211
"757",1562
"758",25984
"759",1411
"760",10900
"761",1440
"762",54894
"763",443
"764",8688
"765",1145
"766",6532
"767",218
"768",3384
"769",40
"770",6354
"771",6355
"772",6346
"773",3882
"774",1748
"775",239
"776",5539
"777",786
"778",3131
"779",54757
"780",5957
"781",4619
"782",4621
"783",8456
"784",8929
"785",2798
"786",7365
"787",80157
"788",6783
"789",54959
"790",26952
"791",10874
"792",5197
"793",7350
"794",3558
"795",116449
"796",3083
"797",25854
"798",10891
"799",29118
"800",120237
"801",7704
"802",116804918
"803",56253
"804",79864
"805",27087
"806",5024
"807",64231
"808",51338
"809",887
"810",3263
"811",116519
"812",337
"813",345
"814",3587
"815",7379
"816",921
"817",4250
"818",29125
"819",796
"820",23086
"821",5450
"822",84867
"823",7450
"824",969
"825",1610
"826",51411
"827",341359
"828",1594
"829",4618
"830",4617
"831",57460
"832",6539
"833",56341
"834",2251
"835",4633
"836",23316
"837",10566
"838",3736
"839",6337
"840",420
"841",4256
"842",8437
"843",79785
"844",8909
"845",11211
"846",55801
"847",3458
"848",84519
"849",5777
"850",28234
"851",339
"852",79923
"853",2998
"854",57379
"855",5992
"856",3820
"857",345895
"858",4117
"859",84830
"860",79632
"861",2570
"862",4988
"863",7287
"864",116369
"865",6005
"866",3605
"867",112744
"868",221692
"869",2740
"870",79865
"871",222642
"872",9457
"873",202559
"874",59336
"875",6492
"876",154150
"877",1297
"878",2822
"879",135152
"880",55084
"881",7101
"882",10246
"883",57221
"884",117247
"885",81797
"886",1235
"887",54346
"888",6582
"889",135138
"890",168090
"891",4188
"892",64094
"893",3617
"894",8838
"895",53405
"896",59084
"897",9450
"898",10279
"899",4224
"900",9096
"901",8382
"902",83697
"903",3003
"904",1007
"905",9421
"906",26762
"907",2916
"908",3702
"909",3593
"910",79908
"911",2566
"912",50805
"913",64902
"914",3565
"915",3567
"916",7903
"917",735
"918",3274
"919",90249
"920",3827
"921",3273
"922",3081
"923",942
"924",5948
"925",131890
"926",590
"927",5276
"928",79782
"929",2257
"930",2779
"931",64595
"932",11148
"933",27136
"934",23150
"935",152015
"936",10675
"937",51555
"938",13
"939",100526760
"940",23007
"941",7433
"942",7535
"943",29842
"944",5443
"945",9381
"946",9595
"947",7781
"948",3694
"949",5136
"950",2641
"951",2888
"952",3196
