"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"essential","C1_05_24",8,13,3.7e-24,-0.637429920615292,0.1292
"nonessential","C1_05_24",4,5,3.7e-24,-0.263034405833794,0.6842
"essential","C2_05_24",10,10,3.7e-24,0,1
"nonessential","C2_05_24",4,4,3.7e-24,0,1
"essential","C3_05_24",14,11,3.7e-24,0.321928094887362,0.4441
"nonessential","C3_05_24",2,4,3.7e-24,-0.736965594166206,0.2683
"essential","E1_06_14",61,64,1.23302647840808e-19,-0.0681715026415792,0.7099
"nonessential","E1_06_14",17,23,3.7e-24,-0.415037499278844,0.1712
"essential","E1_08_16",68,80,2.64189997353475e-15,-0.231325546106456,0.1511
"nonessential","E1_08_16",31,31,3.7e-24,0,1
"essential","E2_06_14",69,76,7.95786279330616e-18,-0.137503523749935,0.4223
"nonessential","E2_06_14",27,29,3.7e-24,-0.0995356735509144,0.7103
"essential","E2_08_16",95,113,4.45625696143591e-12,-0.247927513443586,0.0673
"nonessential","E2_08_16",38,41,3.7e-24,-0.106915203916512,0.6412
"essential","E3_06_14",197,206,1.56485779885301e-06,-0.0641303374197156,0.5321
"nonessential","E3_06_14",72,74,4.60019210269644e-16,-0.0389941316158636,0.8212
"essential","E3_08_16",147,177,1.96496955342593e-07,-0.266280065337448,0.0122
"nonessential","E3_08_16",70,64,7.16029162405773e-22,0.127379306476227,0.4866
"essential","MMEA9_C1",6,12,3.7e-24,-0.893084796083488,0.0363
"nonessential","MMEA9_C1",2,4,3.7e-24,-0.736965594166206,0.2538
"essential","MMEA9_C2",5,10,3.7e-24,-0.874469117916141,0.0524
"nonessential","MMEA9_C2",4,3,3.7e-24,0.321928094887362,0.7832
"essential","MMEA9_C3",13,14,3.7e-24,-0.0995356735509144,0.7906
"nonessential","MMEA9_C3",2,5,3.7e-24,-1,0.1581
"essential","MMEA9_E1",268,261,0.000149299894347638,0.038039361019174,0.6855
"nonessential","MMEA9_E1",95,100,2.6939418600668e-15,-0.0732489820306386,0.6222
"essential","MMEA9_E2",100,114,8.62596921427105e-12,-0.18727856819258,0.1678
"nonessential","MMEA9_E2",55,51,3.7e-24,0.106915203916512,0.6276
"essential","MMEA9_E3",337,341,0.000444799656171126,-0.0169730786037135,0.8252
"nonessential","MMEA9_E3",114,123,2.97331396499663e-10,-0.1087062594425,0.4243
"essential","MMEB9_C1",4,9,3.7e-24,-1,0.0503
"nonessential","MMEB9_C1",3,3,3.7e-24,0,1
"essential","MMEB9_C2",6,11,3.7e-24,-0.777607578663552,0.0933
"nonessential","MMEB9_C2",7,4,3.7e-24,0.678071905112638,0.3392
"essential","MMEB9_C3",7,10,3.7e-24,-0.459431618637297,0.3091
"nonessential","MMEB9_C3",1,3,3.7e-24,-1,0.1983
"essential","MMEB9_E1",310,366,1.3703185086401e-05,-0.23886548271261,0.0019
"nonessential","MMEB9_E1",115,121,2.37382302553061e-13,-0.0727563424353142,0.5849
"essential","MMEB9_E2",135,174,2.57379440854767e-09,-0.363748270581989,0.0015
"nonessential","MMEB9_E2",51,64,3.44878798906185e-17,-0.321928094887362,0.0824
"essential","MMEB9_E3",178,195,1.99393955912581e-08,-0.130894066850952,0.2063
"nonessential","MMEB9_E3",77,72,9.36060056262763e-17,0.0955776599822312,0.5855
