"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"essential","C1_05_24",3,3,3.7e-24,0,1
"nonessential","C1_05_24",1,1,3.7e-24,0,1
"essential","C2_05_24",3,2,3.7e-24,0.415037499278844,0.7317
"nonessential","C2_05_24",3,1,3.7e-24,1,0.4333
"essential","C3_05_24",4,3,3.7e-24,0.321928094887362,0.7831
"nonessential","C3_05_24",0,1,3.7e-24,-1,0.4241
"essential","E1_06_14",13,15,3.7e-24,-0.192645077942396,0.6102
"nonessential","E1_06_14",3,6,3.7e-24,-0.807354922057604,0.1494
"essential","E1_08_16",15,17,3.7e-24,-0.169925001442312,0.6422
"nonessential","E1_08_16",8,8,3.7e-24,0,1
"essential","E2_06_14",13,17,3.7e-24,-0.362570079384708,0.2985
"nonessential","E2_06_14",8,8,3.7e-24,0,1
"essential","E2_08_16",25,25,3.7e-24,0,1
"nonessential","E2_08_16",14,12,3.7e-24,0.206450877467426,0.6569
"essential","E3_06_14",44,47,3.7e-24,-0.0931094043914815,0.6638
"nonessential","E3_06_14",25,21,3.7e-24,0.241008099503795,0.4352
"essential","E3_08_16",26,38,3.7e-24,-0.53051471669878,0.028
"nonessential","E3_08_16",24,18,3.7e-24,0.395928676331139,0.2353
"essential","MMEA9_C1",0,3,3.7e-24,-2,0.0638
"nonessential","MMEA9_C1",0,1,3.7e-24,-1,0.4329
"essential","MMEA9_C2",0,2,3.7e-24,-1.58496250072116,0.1036
"nonessential","MMEA9_C2",3,1,3.7e-24,1,0.4438
"essential","MMEA9_C3",1,3,3.7e-24,-1,0.2191
"nonessential","MMEA9_C3",1,1,3.7e-24,0,1
"essential","MMEA9_E1",45,59,2.60871356139272e-21,-0.383328639551506,0.0409
"nonessential","MMEA9_E1",25,24,3.7e-24,0.0565835283663675,0.9164
"essential","MMEA9_E2",20,25,3.7e-24,-0.308122295362332,0.278
"nonessential","MMEA9_E2",14,13,3.7e-24,0.0995356735509144,0.8924
"essential","MMEA9_E3",68,82,2.72302830567829e-13,-0.266514974568756,0.1007
"nonessential","MMEA9_E3",32,35,3.7e-24,-0.125530882083859,0.6142
"essential","MMEB9_C1",0,2,3.7e-24,-1.58496250072116,0.127
"nonessential","MMEB9_C1",1,1,3.7e-24,0,1
"essential","MMEB9_C2",0,3,3.7e-24,-2,0.0653
"nonessential","MMEB9_C2",1,1,3.7e-24,0,1
"essential","MMEB9_C3",0,2,3.7e-24,-1.58496250072116,0.1163
"nonessential","MMEB9_C3",0,1,3.7e-24,-1,0.4807
"essential","MMEB9_E1",51,84,5.39163265189149e-17,-0.70895121799661,0
"nonessential","MMEB9_E1",33,37,3.7e-24,-0.160464672193246,0.5115
"essential","MMEB9_E2",23,36,3.7e-24,-0.624490864907794,0.0141
"nonessential","MMEB9_E2",17,17,3.7e-24,0,1
"essential","MMEB9_E3",41,49,3.7e-24,-0.251538766995965,0.2299
"nonessential","MMEB9_E3",19,18,3.7e-24,0.0740005814437768,0.9057
