"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","observed.variant.required","observed.variant.requirement.met"
"essential","C1_05_24",3,3,3.7e-24,0,1,747,FALSE
"nonessential","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"essential","C2_05_24",3,2,3.7e-24,0.415037499278844,0.7317,34,FALSE
"nonessential","C2_05_24",3,1,3.7e-24,1,0.4333,11,FALSE
"essential","C3_05_24",4,3,3.7e-24,0.321928094887362,0.7831,48,FALSE
"nonessential","C3_05_24",0,1,3.7e-24,-1,0.4241,11,FALSE
"essential","E1_06_14",13,15,3.7e-24,-0.192645077942396,0.6102,93,FALSE
"nonessential","E1_06_14",3,6,3.7e-24,-0.807354922057604,0.1494,13,FALSE
"essential","E1_08_16",15,17,3.7e-24,-0.169925001442312,0.6422,112,FALSE
"nonessential","E1_08_16",8,8,3.7e-24,0,1,747,FALSE
"essential","E2_06_14",13,17,3.7e-24,-0.362570079384708,0.2985,42,FALSE
"nonessential","E2_06_14",8,8,3.7e-24,0,1,747,FALSE
"essential","E2_08_16",25,25,3.7e-24,0,1,747,FALSE
"nonessential","E2_08_16",14,12,3.7e-24,0.206450877467426,0.6569,85,FALSE
"essential","E3_06_14",44,47,3.7e-24,-0.0931094043914815,0.6638,193,FALSE
"nonessential","E3_06_14",25,21,3.7e-24,0.241008099503795,0.4352,71,FALSE
"essential","E3_08_16",26,38,3.7e-24,-0.53051471669878,0.028,25,TRUE
"nonessential","E3_08_16",24,18,3.7e-24,0.395928676331139,0.2353,38,FALSE
"essential","MMEA9_C1",0,3,3.7e-24,-2,0.0638,NA,NA
"nonessential","MMEA9_C1",0,1,3.7e-24,-1,0.4329,11,FALSE
"essential","MMEA9_C2",0,2,3.7e-24,-1.58496250072116,0.1036,8,FALSE
"nonessential","MMEA9_C2",3,1,3.7e-24,1,0.4438,11,FALSE
"essential","MMEA9_C3",1,3,3.7e-24,-1,0.2191,11,FALSE
"nonessential","MMEA9_C3",1,1,3.7e-24,0,1,747,FALSE
"essential","MMEA9_E1",45,59,2.60871356139272e-21,-0.383328639551506,0.0409,38,TRUE
"nonessential","MMEA9_E1",25,24,3.7e-24,0.0565835283663675,0.9164,306,FALSE
"essential","MMEA9_E2",20,25,3.7e-24,-0.308122295362332,0.278,54,FALSE
"nonessential","MMEA9_E2",14,13,3.7e-24,0.0995356735509144,0.8924,193,FALSE
"essential","MMEA9_E3",68,82,2.72302830567829e-13,-0.266514974568756,0.1007,63,TRUE
"nonessential","MMEA9_E3",32,35,3.7e-24,-0.125530882083859,0.6142,156,FALSE
"essential","MMEB9_C1",0,2,3.7e-24,-1.58496250072116,0.127,8,FALSE
"nonessential","MMEB9_C1",1,1,3.7e-24,0,1,747,FALSE
"essential","MMEB9_C2",0,3,3.7e-24,-2,0.0653,NA,NA
"nonessential","MMEB9_C2",1,1,3.7e-24,0,1,747,FALSE
"essential","MMEB9_C3",0,2,3.7e-24,-1.58496250072116,0.1163,8,FALSE
"nonessential","MMEB9_C3",0,1,3.7e-24,-1,0.4807,11,FALSE
"essential","MMEB9_E1",51,84,5.39163265189149e-17,-0.70895121799661,0,17,TRUE
"nonessential","MMEB9_E1",33,37,3.7e-24,-0.160464672193246,0.5115,112,FALSE
"essential","MMEB9_E2",23,36,3.7e-24,-0.624490864907794,0.0141,21,TRUE
"nonessential","MMEB9_E2",17,17,3.7e-24,0,1,747,FALSE
"essential","MMEB9_E3",41,49,3.7e-24,-0.251538766995965,0.2299,66,FALSE
"nonessential","MMEB9_E3",19,18,3.7e-24,0.0740005814437768,0.9057,241,FALSE
