"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"expressed","expressed","C1_05_24",1,1,0,1,1,1.54616204713866e-32
"nonexpressed","nonexpressed","C1_05_24",0,0,0,1,1,1.29804251256233e-40
"expressed1","expressed","C2_05_24",0,1,-1,0.511085180863477,1,6.73564612483622e-29
"nonexpressed1","nonexpressed","C2_05_24",0,0,0,1,1,2.28612959741547e-41
"expressed2","expressed","C3_05_24",1,1,0,1,1,9.2911558917715e-31
"nonexpressed2","nonexpressed","C3_05_24",0,0,0,1,1,1.20117211087741e-40
"expressed3","expressed","E3_06_14",0,1,-1,0.550640279394645,1,1.71772839339928e-29
"nonexpressed3","nonexpressed","E3_06_14",0,0,0,1,1,3.04714523982e-39
"expressed4","expressed","E2_08_16",0,1,-1,0.54088785046729,1,7.58308541730969e-32
"nonexpressed4","nonexpressed","E2_08_16",0,0,0,1,1,2.15294264666292e-40
"expressed5","expressed","E3_08_16",0,1,-1,0.536214953271028,1,4.26244205096954e-33
"nonexpressed5","nonexpressed","E3_08_16",0,0,0,1,1,1.28343785508547e-41
"expressed6","expressed","MMEA9_C1",1,1,0,1,1,1.87232898949428e-33
"nonexpressed6","nonexpressed","MMEA9_C1",0,0,0,1,1,5.16626479584416e-42
"expressed7","expressed","MMEA9_C2",0,1,-1,0.509918319719953,1,1.51709017282522e-28
"nonexpressed7","nonexpressed","MMEA9_C2",0,0,0,1,1,3.35347928783756e-40
"expressed8","expressed","MMEA9_C3",1,1,0,1,1,3.56664824673853e-36
"nonexpressed8","nonexpressed","MMEA9_C3",0,0,0,1,1,1.5021562610705e-42
"expressed9","expressed","MMEA9_E1",2,1,0.584962500721156,0.693830034924331,1,6.93782015102513e-31
"nonexpressed9","nonexpressed","MMEA9_E1",0,0,0,1,1,1.2378812752058e-39
"expressed10","expressed","MMEA9_E2",0,0,0,1,1,2.45314111608203e-35
"nonexpressed10","nonexpressed","MMEA9_E2",0,0,0,1,1,1.44428271043908e-44
"expressed11","expressed","MMEA9_E3",1,1,0,1,1,5.2139695479458e-31
"nonexpressed11","nonexpressed","MMEA9_E3",0,0,0,1,1,4.12683585890958e-40
"expressed12","expressed","MMEB9_C1",0,1,-1,0.555296856810244,1,2.89316332690648e-33
"nonexpressed12","nonexpressed","MMEB9_C1",0,0,0,1,1,1.32602423101134e-43
"expressed13","expressed","MMEB9_C2",0,1,-1,0.496495327102804,0.992990654205608,1.33818173860923e-29
"nonexpressed13","nonexpressed","MMEB9_C2",0,0,0,1,1,8.35907663954187e-42
"expressed14","expressed","MMEB9_C3",0,0,0,1,1,6.56014493670366e-43
"nonexpressed14","nonexpressed","MMEB9_C3",0,0,0,1,1,5.0449273012082e-49
"expressed15","expressed","MMEB9_E1",0,1,-1,0.509345794392523,1,6.57727510306057e-32
"nonexpressed15","nonexpressed","MMEB9_E1",0,0,0,1,1,1.00701389236274e-40
"expressed16","expressed","MMEB9_E2",0,1,-1,0.582943925233645,0.582943925233645,2.94368279459394e-46
"nonexpressed16","nonexpressed","MMEB9_E2",2,0,1.58496250072116,0.044392523364486,0.088785046728972,8.8198197061805e-44
"expressed17","expressed","MMEB9_E3",0,1,-1,0.532013969732247,1,1.67529153184326e-29
"nonexpressed17","nonexpressed","MMEB9_E3",0,0,0,1,1,7.49574753709158e-41
