"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"expressed","expressed","C1_05_24",1,1,0,1,1,1.56411083379195e-34
"nonexpressed","nonexpressed","C1_05_24",0,0,0,1,1,2.74958690464547e-43
"expressed1","expressed","C2_05_24",0,1,-1,0.519,1,2.92268661470558e-31
"nonexpressed1","nonexpressed","C2_05_24",0,0,0,1,1,5.05357079670376e-44
"expressed2","expressed","C3_05_24",1,1,0,1,1,5.26463550734748e-33
"nonexpressed2","nonexpressed","C3_05_24",0,0,0,1,1,1.1436544029114e-43
"expressed3","expressed","E1_06_14",1,1,0,1,1,1.71259243385322e-31
"nonexpressed3","nonexpressed","E1_06_14",0,0,0,1,1,5.7452963300668e-42
"expressed4","expressed","E2_06_14",2,1,0.584962500721156,0.724,1,5.50319863396533e-32
"nonexpressed4","nonexpressed","E2_06_14",0,0,0,1,1,2.37794846849076e-45
"expressed5","expressed","E1_08_16",0,1,-1,0.487,0.974,1.77837781719153e-31
"nonexpressed5","nonexpressed","E1_08_16",0,0,0,1,1,3.153594156844e-41
"expressed6","expressed","E3_06_14",0,2,-1.58496250072116,0.021,0.042,7.02022558935853e-30
"nonexpressed6","nonexpressed","E3_06_14",0,0,0,1,1,2.67075039781579e-38
"expressed7","expressed","E2_08_16",0,1,-1,0.543,1,9.15780418726912e-34
"nonexpressed7","nonexpressed","E2_08_16",0,0,0,1,1,8.79738901602056e-42
"expressed8","expressed","E3_08_16",0,1,-1,0.508,1,3.47452357467646e-30
"nonexpressed8","nonexpressed","E3_08_16",0,0,0,1,1,8.52114466980084e-39
"expressed9","expressed","MMEA9_C1",1,1,0,1,1,5.6961049145333e-35
"nonexpressed9","nonexpressed","MMEA9_C1",0,0,0,1,1,2.32556415009629e-44
"expressed10","expressed","MMEA9_C2",0,1,-1,0.525,1,1.53032372890427e-30
"nonexpressed10","nonexpressed","MMEA9_C2",0,0,0,1,1,6.08787047927508e-43
"expressed11","expressed","MMEA9_C3",1,1,0,1,1,2.74242056000287e-38
"nonexpressed11","nonexpressed","MMEA9_C3",0,0,0,1,1,2.58073633000992e-45
"expressed12","expressed","MMEA9_E1",2,1,0.584962500721156,0.699,1,1.37375759512914e-30
"nonexpressed12","nonexpressed","MMEA9_E1",0,0,0,1,1,1.2084858320624e-40
"expressed13","expressed","MMEA9_E2",0,0,0,1,1,1.34720215475207e-37
"nonexpressed13","nonexpressed","MMEA9_E2",0,0,0,1,1,1.94470149066291e-47
"expressed14","expressed","MMEA9_E3",1,1,0,1,1,1.0463515989017e-32
"nonexpressed14","nonexpressed","MMEA9_E3",0,0,0,1,1,1.26994712822321e-42
"expressed15","expressed","MMEB9_C1",0,1,-1,0.559,1,1.02662968694861e-35
"nonexpressed15","nonexpressed","MMEB9_C1",0,0,0,1,1,2.86616715330876e-46
"expressed16","expressed","MMEB9_C2",0,1,-1,0.498,0.996,5.33180950075737e-32
"nonexpressed16","nonexpressed","MMEB9_C2",0,0,0,1,1,2.0215568503144e-44
"expressed17","expressed","MMEB9_C3",0,0,0,1,1,2.1459710964447e-45
"nonexpressed17","nonexpressed","MMEB9_C3",0,0,0,1,1,5.71797770694447e-52
"expressed18","expressed","MMEB9_E1",2,3,-0.415037499278844,0.49,0.555,1.00209766338542e-24
"nonexpressed18","nonexpressed","MMEB9_E1",0,1,-1,0.555,0.555,1.91788908260251e-33
"expressed19","expressed","MMEB9_E2",0,1,-1,0.592,0.592,1.10729368271585e-49
"nonexpressed19","nonexpressed","MMEB9_E2",2,0,1.58496250072116,0.05,0.1,4.70688184354909e-46
"expressed20","expressed","MMEB9_E3",0,1,-1,0.507,1,5.5951384416274e-28
"nonexpressed20","nonexpressed","MMEB9_E3",0,0,0,1,1,5.51629011467199e-41
