"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"essential","essential","C1_05_24",2,3,-0.415037499278844,0.477803738317757,0.955607476635514,2.23226692382985e-21
"nonessential","nonessential","C1_05_24",0,0,0,1,1,5.06185035863667e-46
"essential1","essential","C2_05_24",5,2,1,0.26487747957993,0.26487747957993,1.19526840291715e-20
"nonessential1","nonessential","C2_05_24",2,0,1.58496250072116,0.0268378063010502,0.0536756126021004,2.75178622754629e-47
"essential2","essential","C3_05_24",4,3,0.321928094887362,0.696969696969697,1,2.6724043984569e-20
"nonessential2","nonessential","C3_05_24",0,0,0,1,1,6.34798015608579e-46
"essential3","essential","E3_06_14",7,3,1,0.332945285215367,0.665890570430733,6.74294773691683e-20
"nonessential3","nonessential","E3_06_14",0,0,0,1,1,2.85811466096243e-47
"essential4","essential","E2_08_16",2,2,0,1,1,8.64611116890347e-23
"nonessential4","nonessential","E2_08_16",0,0,0,1,1,9.28501985086798e-47
"essential5","essential","E3_08_16",4,2,0.736965594166206,0.35981308411215,0.719626168224299,2.91066036902096e-23
"nonessential5","nonessential","E3_08_16",0,0,0,1,1,2.26102460031859e-48
"essential6","essential","MMEA9_C1",0,3,-2,0.048951048951049,0.0979020979020979,4.7056554887385e-19
"nonessential6","nonessential","MMEA9_C1",0,0,0,1,1,3.67681551752373e-47
"essential7","essential","MMEA9_C2",0,2,-1.58496250072116,0.0198366394399067,0.0396732788798133,1.49944578516986e-20
"nonessential7","nonessential","MMEA9_C2",0,0,0,1,1,3.30610455371246e-49
"essential8","essential","MMEA9_C3",1,3,-1,0.309579439252336,0.619158878504673,2.98552789822834e-21
"nonessential8","nonessential","MMEA9_C3",0,0,0,1,1,1.27277344480723e-45
"essential9","essential","MMEA9_E1",5,3,0.584962500721156,0.450523864959255,0.90104772991851,2.74405163181762e-19
"nonessential9","nonessential","MMEA9_E1",0,0,0,1,1,4.63563041323349e-48
"essential10","essential","MMEA9_E2",2,2,0,1,1,2.30349375482547e-20
"nonessential10","nonessential","MMEA9_E2",0,0,0,1,1,3.57873965348474e-48
"essential11","essential","MMEA9_E3",1,3,-1,0.308411214953271,0.616822429906542,4.91611636049608e-20
"nonessential11","nonessential","MMEA9_E3",0,0,0,1,1,5.0169186367346e-48
"essential12","essential","MMEB9_C1",0,2,-1.58496250072116,0.0244470314318976,0.0488940628637951,6.63133188947087e-23
"nonessential12","nonessential","MMEB9_C1",0,0,0,1,1,4.03135614892041e-47
"essential13","essential","MMEB9_C2",0,3,-2,0.0934579439252336,0.186915887850467,2.14676234708471e-18
"nonessential13","nonessential","MMEB9_C2",0,0,0,1,1,2.68299224076969e-47
"essential14","essential","MMEB9_C3",0,2,-1.58496250072116,0.0232828870779977,0.0465657741559953,1.07351434903438e-20
"nonessential14","nonessential","MMEB9_C3",0,0,0,1,1,6.00250577506206e-48
"essential15","essential","MMEB9_E1",3,2,0.415037499278844,0.794392523364486,0.794392523364486,3.69069196567079e-19
"nonessential15","nonessential","MMEB9_E1",1,0,1,0.113317757009346,0.226635514018692,2.51641660757279e-47
"essential16","essential","MMEB9_E2",0,2,-1.58496250072116,0.0198598130841121,0.0397196261682243,1.08920321009837e-22
"nonessential16","nonessential","MMEB9_E2",0,0,0,1,1,7.47663294440052e-47
"essential17","essential","MMEB9_E3",2,3,-0.415037499278844,0.458672875436554,0.917345750873108,9.37721749210734e-23
"nonessential17","nonessential","MMEB9_E3",0,0,0,1,1,7.01970913675766e-47
