"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"expressed","expressed","C1_05_24",27,44,-0.684498174272071,0.0280373831775701,0.0560747663551402,0.0165109694212219
"nonexpressed","nonexpressed","C1_05_24",14,13,0.0995356735509144,0.911214953271028,0.911214953271028,1.69634838574035e-06
"expressed1","expressed","C2_05_24",40,37,0.109624491174498,0.7024504084014,0.738623103850642,1.49206245469844e-06
"nonexpressed1","nonexpressed","C2_05_24",11,12,-0.115477217419936,0.738623103850642,0.738623103850642,2.93104216691022e-13
"expressed2","expressed","C3_05_24",27,43,-0.652076696579693,0.0326340326340326,0.0652680652680653,1.54256785917835e-07
"nonexpressed2","nonexpressed","C3_05_24",10,13,-0.347923303420307,0.41958041958042,0.41958041958042,2.76419933165174e-10
"expressed3","expressed","E3_06_14",48,38,0.32930762525296,0.278230500582072,0.556461001164144,9.45678127376198e-09
"nonexpressed3","nonexpressed","E3_06_14",14,12,0.206450877467426,0.729918509895227,0.729918509895227,3.47393322035669e-08
"expressed4","expressed","E2_08_16",40,35,0.187627003175771,0.573598130841122,0.901869158878505,1.48433603298858e-08
"nonexpressed4","nonexpressed","E2_08_16",12,11,0.115477217419936,0.901869158878505,0.901869158878505,1.91440561159334e-13
"expressed5","expressed","E3_08_16",28,32,-0.186413124230881,0.599299065420561,0.599299065420561,1.00650043454044e-11
"nonexpressed5","nonexpressed","E3_08_16",19,10,0.862496476250065,0.100467289719626,0.200934579439252,8.44641039100641e-11
"expressed6","expressed","MMEA9_C1",22,45,-1,0.00233100233100233,0.00466200466200466,2.89573808352631e-11
"nonexpressed6","nonexpressed","MMEA9_C1",9,13,-0.485426827170242,0.255244755244755,0.255244755244755,3.90854707316408e-06
"expressed7","expressed","MMEA9_C2",17,35,-1,0.00933488914819136,0.0186697782963827,1.24238377823063e-07
"nonexpressed7","nonexpressed","MMEA9_C2",19,11,0.736965594166206,0.14585764294049,0.14585764294049,4.9433401187308e-15
"expressed8","expressed","MMEA9_C3",26,43,-0.704544116473829,0.0233644859813084,0.0467289719626168,1.07212039109387e-10
"nonexpressed8","nonexpressed","MMEA9_C3",10,13,-0.347923303420307,0.422897196261682,0.422897196261682,6.87146138919058e-07
"expressed9","expressed","MMEA9_E1",22,36,-0.685891409571937,0.0349243306169965,0.069848661233993,1.49742694745349e-07
"nonexpressed9","nonexpressed","MMEA9_E1",13,11,0.222392421336448,0.718277066356228,0.718277066356228,1.03406796530088e-13
"expressed10","expressed","MMEA9_E2",28,33,-0.229481846122767,0.482476635514019,0.488317757009346,4.07284250611279e-06
"nonexpressed10","nonexpressed","MMEA9_E2",15,11,0.415037499278844,0.488317757009346,0.488317757009346,2.38494505143271e-08
"expressed11","expressed","MMEA9_E3",26,38,-0.53051471669878,0.0934579439252336,0.186915887850467,1.90861257471746e-05
"nonexpressed11","nonexpressed","MMEA9_E3",12,11,0.115477217419936,0.912383177570093,0.912383177570093,7.80489479113635e-12
"expressed12","expressed","MMEB9_C1",22,34,-0.605721060887954,0.0651920838183935,0.130384167636787,7.97469523419055e-07
"nonexpressed12","nonexpressed","MMEB9_C1",12,10,0.241008099503795,0.572759022118743,0.572759022118743,5.97567324132951e-10
"expressed13","expressed","MMEB9_C2",13,37,-1.44057259138598,0,0,1.45051033833567e-06
"nonexpressed13","nonexpressed","MMEB9_C2",12,11,0.115477217419936,0.914719626168224,0.914719626168224,2.60345177841644e-10
"expressed14","expressed","MMEB9_C3",14,36,-1.30256277002043,0,0,2.62861296388454e-07
"nonexpressed14","nonexpressed","MMEB9_C3",8,11,-0.415037499278844,0.366705471478463,0.366705471478463,2.94110898891304e-07
"expressed15","expressed","MMEB9_E1",23,34,-0.54432051622381,0.0724299065420561,0.144859813084112,4.99370419324369e-09
"nonexpressed15","nonexpressed","MMEB9_E1",11,11,0,1,1,3.87330193873936e-09
"expressed16","expressed","MMEB9_E2",17,33,-0.917537839808027,0.00700934579439252,0.014018691588785,2.20217232668441e-09
"nonexpressed16","nonexpressed","MMEB9_E2",12,10,0.241008099503795,0.605140186915888,0.605140186915888,2.20217232668441e-09
"expressed17","expressed","MMEB9_E3",36,34,0.0801703486839834,0.783469150174622,0.783469150174622,2.88667101976628e-08
"nonexpressed17","nonexpressed","MMEB9_E3",14,10,0.447458976971221,0.449359720605355,0.783469150174622,2.11391460612379e-11
