"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"expressed","expressed","C1_05_24",37,55,-0.559427408614019,0.033,0.066,0.00183044712886528
"nonexpressed","nonexpressed","C1_05_24",15,17,-0.169925001442312,0.603,0.603,0.000621109714935981
"expressed1","expressed","C2_05_24",41,38,0.106915203916512,0.768,0.768,3.21982031931534e-07
"nonexpressed1","nonexpressed","C2_05_24",11,12,-0.115477217419936,0.729,0.768,2.19649231226764e-14
"expressed2","expressed","C3_05_24",29,48,-0.70781924850669,0.017,0.034,2.48302941812768e-07
"nonexpressed2","nonexpressed","C3_05_24",12,14,-0.206450877467426,0.58,0.58,6.59294314178927e-11
"expressed3","expressed","E1_06_14",162,237,-0.546089609076866,0.001,0.002,0.000667617783788847
"nonexpressed3","nonexpressed","E1_06_14",70,73,-0.0597062461242678,0.713,0.713,0.000492079042334908
"expressed4","expressed","E2_06_14",238,290.5,-0.286485265219748,0.016,0.032,0.00693428661223749
"nonexpressed4","nonexpressed","E2_06_14",83,89,-0.0995356735509144,0.585,0.585,0.00693428661223749
"expressed5","expressed","E1_08_16",222,275,-0.307624556857864,0.012,0.024,0.00570110697053554
"nonexpressed5","nonexpressed","E1_08_16",96,91,0.0763508861301148,0.687,0.687,0.172562674208361
"expressed6","expressed","E3_06_14",652,752,-0.205566873125497,0.003,0.006,0.547536487357034
"nonexpressed6","nonexpressed","E3_06_14",211,227,-0.104969559601543,0.349,0.349,0.132291104739378
"expressed7","expressed","E2_08_16",330,423,-0.357233047755981,0,0,0.0151098540045734
"nonexpressed7","nonexpressed","E2_08_16",125,138,-0.141661149223591,0.353,0.353,0.0277900341350173
"expressed8","expressed","E3_08_16",477,614,-0.363575792245854,0,0,0.0142174001572571
"nonexpressed8","nonexpressed","E3_08_16",217,195,0.153474480661718,0.221,0.221,0.00606825504651177
"expressed9","expressed","MMEA9_C1",23,47,-1,0.002,0.004,8.68560577025581e-12
"nonexpressed9","nonexpressed","MMEA9_C1",10,13,-0.347923303420307,0.428,0.428,1.90392486051659e-08
"expressed10","expressed","MMEA9_C2",17,35,-1,0.009,0.018,4.93457713554248e-07
"nonexpressed10","nonexpressed","MMEA9_C2",19,11,0.736965594166206,0.151,0.151,2.78398781887836e-15
"expressed11","expressed","MMEA9_C3",28,47,-0.726981505593584,0.012,0.024,7.0552581798191e-10
"nonexpressed11","nonexpressed","MMEA9_C3",10,14,-0.447458976971221,0.248,0.248,2.35534460533063e-07
"expressed12","expressed","MMEA9_E1",655,889.5,-0.440919796483535,0,0,0.994227902135324
"nonexpressed12","nonexpressed","MMEA9_E1",277,273,0.0209089897629807,0.874,0.874,0.527467030673346
"expressed13","expressed","MMEA9_E2",271,389,-0.519867472499271,0,0,0.0439005891268343
"nonexpressed13","nonexpressed","MMEA9_E2",126,127,-0.0113153132278341,0.913,0.913,0.00343904171022175
"expressed14","expressed","MMEA9_E3",997,1312.5,-0.396304479796371,0,0,0.126941168226418
"nonexpressed14","nonexpressed","MMEA9_E3",400,397,0.0108338059112716,0.902,0.902,0.703094851054549
"expressed15","expressed","MMEB9_C1",22,33,-0.563900885193326,0.082,0.164,2.41310455432688e-07
"nonexpressed15","nonexpressed","MMEB9_C1",12,10,0.241008099503795,0.581,0.581,1.00383656247168e-10
"expressed16","expressed","MMEB9_C2",14,40,-1.45066140900957,0,0,1.45115045362541e-06
"nonexpressed16","nonexpressed","MMEB9_C2",13,12,0.106915203916512,0.919,0.919,8.85189561657272e-10
"expressed17","expressed","MMEB9_C3",14,36,-1.30256277002043,0.001,0.002,1.15819781779438e-07
"nonexpressed17","nonexpressed","MMEB9_C3",8,11,-0.415037499278844,0.368,0.368,1.60802513012877e-08
"expressed18","expressed","MMEB9_E1",952,1313.5,-0.463966022708104,0,0,0.837593626478865
"nonexpressed18","nonexpressed","MMEB9_E1",396,415,-0.0674445209981343,0.428,0.428,0.835906572621941
"expressed19","expressed","MMEB9_E2",435,559,-0.36109869216804,0,0,0.680630324235316
"nonexpressed19","nonexpressed","MMEB9_E2",185,176,0.0715532610250341,0.585,0.585,0.00271813550958932
"expressed20","expressed","MMEB9_E3",605,718,-0.246673976966347,0.001,0.002,0.000602760326220667
"nonexpressed20","nonexpressed","MMEB9_E3",193,216,-0.161638390257352,0.192,0.192,0.432426726414876
