"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"ribonucleoprotein complex biogenesis","ribonucleoprotein complex biogenesis","C1_05_24",1,1,0,1,1,8.89650714767127e-27
"ncRNA processing","ncRNA processing","C1_05_24",1,1,0,1,1,1.04551188262279e-29
"proteasome-mediated ubiquitin-dependent protein catabolic process","proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",0,1,-1,0.518691588785047,1,9.96431789491882e-28
"rRNA metabolic process","rRNA metabolic process","C1_05_24",0,0,0,1,1,7.8953620234218e-36
"macroautophagy","macroautophagy","C1_05_24",1,1,0,1,1,5.14255039864066e-31
"regulation of response to DNA damage stimulus","regulation of response to DNA damage stimulus","C1_05_24",0,1,-1,0.578271028037383,1,9.56464942919382e-33
"establishment of protein localization to organelle","establishment of protein localization to organelle","C1_05_24",0,1,-1,0.498831775700935,1,5.69136450874042e-30
"regulation of chromosome organization","regulation of chromosome organization","C1_05_24",0,1,-1,0.587616822429907,1,9.82236205108628e-35
"chromosome segregation","chromosome segregation","C1_05_24",0,1,-1,0.518691588785047,1,1.58115656766254e-28
"mitochondrial gene expression","mitochondrial gene expression","C1_05_24",0,0,0,1,1,6.72619849961791e-37
"cellular component disassembly","cellular component disassembly","C1_05_24",1,1,0,1,1,7.90676452124834e-28
"Golgi vesicle transport","Golgi vesicle transport","C1_05_24",0,1,-1,0.580607476635514,1,1.60366433440443e-33
"DNA replication","DNA replication","C1_05_24",0,1,-1,0.550233644859813,1,1.87042518011392e-33
"sister chromatid segregation","sister chromatid segregation","C1_05_24",1,0,1,0.448598130841121,1,2.47526496079273e-35
"histone modification","histone modification","C1_05_24",2,1,0.584962500721156,0.710280373831776,1,5.17098890570215e-28
"nucleocytoplasmic transport","nucleocytoplasmic transport","C1_05_24",2,1,0.584962500721156,0.704439252336449,1,3.48737514148613e-32
"nuclear transport","nuclear transport","C1_05_24",0,1,-1,0.578271028037383,1,5.54172958148786e-31
"double-strand break repair","double-strand break repair","C1_05_24",3,1,1,0.58411214953271,1,1.28647884306069e-33
"mitotic cell cycle phase transition","mitotic cell cycle phase transition","C1_05_24",0,1,-1,0.519859813084112,1,8.13028231561656e-29
"non-membrane-bounded organelle assembly","non-membrane-bounded organelle assembly","C1_05_24",2,1,0.584962500721156,0.697429906542056,1,5.34508871311774e-30
"cytoplasmic translation","cytoplasmic translation","C1_05_24",0,0,0,1,1,4.35298577549315e-38
"regulation of DNA repair","regulation of DNA repair","C1_05_24",0,0,0,1,1,6.94236596060301e-37
"ribonucleoprotein complex subunit organization","ribonucleoprotein complex subunit organization","C1_05_24",0,0,0,1,1,2.315716555145e-37
"peptidyl-lysine modification","peptidyl-lysine modification","C1_05_24",2,1,0.584962500721156,0.704439252336449,1,1.59894562909113e-32
"regulation of protein catabolic process","regulation of protein catabolic process","C1_05_24",0,1,-1,0.542056074766355,1,1.02305831827635e-30
"protein targeting","protein targeting","C1_05_24",1,1,0,1,1,3.13308896417974e-33
"protein polyubiquitination","protein polyubiquitination","C1_05_24",0,0,0,1,1,4.37184162978139e-36
"vesicle organization","vesicle organization","C1_05_24",1,1,0,1,1,2.23374089626232e-31
"regulation of protein modification by small protein conjugation or removal","regulation of protein modification by small protein conjugation or removal","C1_05_24",0,0,0,1,1,3.39235307185735e-35
"ribonucleoprotein complex assembly","ribonucleoprotein complex assembly","C1_05_24",0,0,0,1,1,2.37664849818811e-36
"cellular respiration","cellular respiration","C1_05_24",0,0,0,1,1,1.79498287368862e-35
"telomere organization","telomere organization","C1_05_24",1,0,1,0.40303738317757,1,5.23629557433176e-37
"regulation of autophagy","regulation of autophagy","C1_05_24",0,1,-1,0.531542056074766,1,3.39147882306599e-30
"regulation of protein stability","regulation of protein stability","C1_05_24",2,1,0.584962500721156,0.717289719626168,1,6.5299207091911e-34
"RNA localization","RNA localization","C1_05_24",0,0,0,1,1,3.68031345460127e-35
"regulation of intracellular transport","regulation of intracellular transport","C1_05_24",0,1,-1,0.553738317757009,1,1.72071905370456e-32
"regulation of cell cycle phase transition","regulation of cell cycle phase transition","C1_05_24",0,1,-1,0.535046728971963,1,4.86365580937148e-29
"nuclear chromosome segregation","nuclear chromosome segregation","C1_05_24",0,1,-1,0.544392523364486,1,9.4947848720394e-31
"small GTPase mediated signal transduction","small GTPase mediated signal transduction","C1_05_24",0,1,-1,0.489485981308411,1,1.01702035772956e-29
"protein localization to nucleus","protein localization to nucleus","C1_05_24",1,1,0,1,1,5.15966477975684e-34
"mitochondrial transport","mitochondrial transport","C1_05_24",0,0,0,1,1,4.73714769872196e-37
"chromatin remodeling","chromatin remodeling","C1_05_24",0,1,-1,0.564252336448598,1,4.59461635823351e-32
"cell cycle checkpoint signaling","cell cycle checkpoint signaling","C1_05_24",3,0,2,0.0420560747663551,1,3.95157396209269e-37
"microtubule cytoskeleton organization involved in mitosis","microtubule cytoskeleton organization involved in mitosis","C1_05_24",0,0,0,1,1,9.32346754279938e-40
"establishment of organelle localization","establishment of organelle localization","C1_05_24",0,1,-1,0.501168224299065,1,2.78168935999648e-29
"telomere maintenance","telomere maintenance","C1_05_24",0,0,0,1,1,3.71076119256825e-40
"methylation","methylation","C1_05_24",1,1,0,1,1,1.16052491324602e-31
"DNA-templated transcription elongation","DNA-templated transcription elongation","C1_05_24",0,0,0,1,1,8.86691375095401e-40
"mitochondrial respiratory chain complex assembly","mitochondrial respiratory chain complex assembly","C1_05_24",0,0,0,1,1,5.56326536945812e-43
"nucleic acid transport","nucleic acid transport","C1_05_24",0,0,0,1,1,1.10958289492965e-37
"RNA transport","RNA transport","C1_05_24",0,0,0,1,1,2.59245027289628e-39
"in utero embryonic development","in utero embryonic development","C1_05_24",0,1,-1,0.516355140186916,1,1.28172085220271e-30
"vacuole organization","vacuole organization","C1_05_24",0,0,0,1,1,1.10694607605474e-36
"vesicle localization","vesicle localization","C1_05_24",0,0,0,1,1,1.89581762390406e-35
"protein folding","protein folding","C1_05_24",0,0,0,1,1,4.14309355778492e-37
"protein-DNA complex subunit organization","protein-DNA complex subunit organization","C1_05_24",0,0,0,1,1,1.17630594362793e-36
"oxidative phosphorylation","oxidative phosphorylation","C1_05_24",0,0,0,1,1,3.1884298008552e-39
"cellular response to chemical stress","cellular response to chemical stress","C1_05_24",2,1,0.584962500721156,0.712616822429907,1,1.20494552308957e-31
"response to topologically incorrect protein","response to topologically incorrect protein","C1_05_24",0,0,0,1,1,1.12621238361534e-38
"mitochondrial membrane organization","mitochondrial membrane organization","C1_05_24",0,0,0,1,1,7.1706864701398e-40
"organelle fission","organelle fission","C1_05_24",0,1,-1,0.529205607476635,1,6.52321534398114e-29
"negative regulation of phosphorus metabolic process","negative regulation of phosphorus metabolic process","C1_05_24",0,1,-1,0.521028037383178,1,1.66961002006439e-30
"regulation of intracellular protein transport","regulation of intracellular protein transport","C1_05_24",2,0,1.58496250072116,0.196261682242991,1,2.49309256664855e-34
"cell growth","cell growth","C1_05_24",1,1,0,1,1,2.38466184138027e-28
"ribose phosphate biosynthetic process","ribose phosphate biosynthetic process","C1_05_24",1,0,1,0.457943925233645,1,8.92248192030401e-35
"negative regulation of transferase activity","negative regulation of transferase activity","C1_05_24",0,0,0,1,1,5.55825448015546e-34
"regulation of supramolecular fiber organization","regulation of supramolecular fiber organization","C1_05_24",1,1,0,1,1,9.90451127501839e-30
"response to endoplasmic reticulum stress","response to endoplasmic reticulum stress","C1_05_24",1,0,1,0.478971962616822,1,1.01722664232819e-34
"ribonucleotide biosynthetic process","ribonucleotide biosynthetic process","C1_05_24",1,0,1,0.445093457943925,1,3.72263714667156e-36
"regulation of binding","regulation of binding","C1_05_24",3,1,1,0.553738317757009,1,5.76915328709891e-30
"autophagy of mitochondrion","autophagy of mitochondrion","C1_05_24",0,0,0,1,1,7.12621768446653e-40
"phospholipid biosynthetic process","phospholipid biosynthetic process","C1_05_24",1,0,1,0.420560747663551,1,4.98527141471012e-36
"actin filament organization","actin filament organization","C1_05_24",0,1,-1,0.524532710280374,1,2.90002775519729e-31
"response to UV","response to UV","C1_05_24",0,0,0,1,1,1.5585186442821e-36
"protein-DNA complex assembly","protein-DNA complex assembly","C1_05_24",1,0,1,0.385514018691589,1,4.73714769872196e-37
"positive regulation of protein localization","positive regulation of protein localization","C1_05_24",0,1,-1,0.522196261682243,1,6.54464569994575e-29
"vacuolar transport","vacuolar transport","C1_05_24",1,0,1,0.300233644859813,1,1.43052108393836e-39
"regulation of DNA replication","regulation of DNA replication","C1_05_24",0,0,0,1,1,3.54983948673369e-40
"protein localization to plasma membrane","protein localization to plasma membrane","C1_05_24",1,1,0,1,1,6.15755851146833e-33
"Wnt signaling pathway","Wnt signaling pathway","C1_05_24",0,1,-1,0.492990654205608,1,5.64272713815874e-29
"cytoskeleton-dependent cytokinesis","cytoskeleton-dependent cytokinesis","C1_05_24",0,0,0,1,1,3.11989558772322e-41
"regulation of cell growth","regulation of cell growth","C1_05_24",2,1,0.584962500721156,0.684579439252336,1,1.44690731856704e-28
"viral gene expression","viral gene expression","C1_05_24",0,0,0,1,1,3.61721265341656e-42
"cell-cell signaling by wnt","cell-cell signaling by wnt","C1_05_24",1,1,0,1,1,4.02040310001249e-30
"nuclear-transcribed mRNA catabolic process","nuclear-transcribed mRNA catabolic process","C1_05_24",0,0,0,1,1,6.16844439616791e-41
"regulation of chromosome segregation","regulation of chromosome segregation","C1_05_24",0,0,0,1,1,6.90957978972974e-42
