"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"ribonucleoprotein complex biogenesis","ribonucleoprotein complex biogenesis","C1_05_24",2,2,0,1,1,4.69469789344352e-26
"ncRNA processing","ncRNA processing","C1_05_24",1,1,0,1,1,2.79144009068723e-28
"proteasome-mediated ubiquitin-dependent protein catabolic process","proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",1,1,0,1,1,3.59971478210751e-27
"rRNA metabolic process","rRNA metabolic process","C1_05_24",0,1,-1,0.574,1,8.58812202929171e-35
"macroautophagy","macroautophagy","C1_05_24",1,1,0,1,1,4.3766094768198e-30
"regulation of response to DNA damage stimulus","regulation of response to DNA damage stimulus","C1_05_24",0,1,-1,0.54,1,2.41957681006609e-32
"establishment of protein localization to organelle","establishment of protein localization to organelle","C1_05_24",0,1,-1,0.49,1,1.55155702853779e-31
"regulation of chromosome organization","regulation of chromosome organization","C1_05_24",0,1,-1,0.538,1,7.50659700244652e-34
"chromosome segregation","chromosome segregation","C1_05_24",0,1,-1,0.478,1,2.53312042315058e-28
"mitochondrial gene expression","mitochondrial gene expression","C1_05_24",0,0,0,1,1,3.68374372390226e-37
"cellular component disassembly","cellular component disassembly","C1_05_24",3,1,1,0.516,1,1.90650068886315e-27
"Golgi vesicle transport","Golgi vesicle transport","C1_05_24",0,1,-1,0.531,1,1.17331646691333e-32
"DNA replication","DNA replication","C1_05_24",0,1,-1,0.502,1,5.64926669223223e-33
"sister chromatid segregation","sister chromatid segregation","C1_05_24",1,1,0,1,1,4.80339496486761e-35
"histone modification","histone modification","C1_05_24",3,1,1,0.475,1,1.05305114466603e-26
"nucleocytoplasmic transport","nucleocytoplasmic transport","C1_05_24",4,1,1.32192809488736,0.03,1,6.8453321588912e-33
"nuclear transport","nuclear transport","C1_05_24",0,1,-1,0.578,1,7.77671704093229e-31
"double-strand break repair","double-strand break repair","C1_05_24",3,1,1,0.528,1,1.55470736713328e-32
"mitotic cell cycle phase transition","mitotic cell cycle phase transition","C1_05_24",2,1,0.584962500721156,0.712,1,3.8384914658029e-28
"non-membrane-bounded organelle assembly","non-membrane-bounded organelle assembly","C1_05_24",4,1,1.32192809488736,0.048,1,7.31212404324093e-30
"cytoplasmic translation","cytoplasmic translation","C1_05_24",0,0,0,1,1,3.46106954187555e-38
"regulation of DNA repair","regulation of DNA repair","C1_05_24",0,0,0,1,1,2.38541131594175e-36
"ribonucleoprotein complex subunit organization","ribonucleoprotein complex subunit organization","C1_05_24",1,0,1,0.484,1,2.12835506500241e-36
"peptidyl-lysine modification","peptidyl-lysine modification","C1_05_24",2,1,0.584962500721156,0.689,1,3.80800603984557e-32
"regulation of protein catabolic process","regulation of protein catabolic process","C1_05_24",0,1,-1,0.507,1,1.12432219959834e-29
"protein targeting","protein targeting","C1_05_24",1,1,0,1,1,1.12159856197887e-32
"protein polyubiquitination","protein polyubiquitination","C1_05_24",0,1,-1,0.584,1,4.41559184601966e-35
"vesicle organization","vesicle organization","C1_05_24",1,1,0,1,1,2.81442351960063e-31
"regulation of protein modification by small protein conjugation or removal","regulation of protein modification by small protein conjugation or removal","C1_05_24",2,1,0.584962500721156,0.708,1,5.00054948997571e-34
"ribonucleoprotein complex assembly","ribonucleoprotein complex assembly","C1_05_24",0,0.5,-0.584962500721156,0.202,1,4.88737334078227e-36
"cellular respiration","cellular respiration","C1_05_24",2,1,0.584962500721156,0.709,1,5.02129085879179e-34
"telomere organization","telomere organization","C1_05_24",1,0,1,0.466,1,3.29870201797884e-37
"regulation of autophagy","regulation of autophagy","C1_05_24",0,1,-1,0.491,1,1.79649233592869e-29
"regulation of protein stability","regulation of protein stability","C1_05_24",2,1,0.584962500721156,0.691,1,2.32944674398901e-33
"RNA localization","RNA localization","C1_05_24",0,1,-1,0.588,1,2.87110290863368e-35
"regulation of intracellular transport","regulation of intracellular transport","C1_05_24",0,1,-1,0.519,1,1.62044204511418e-31
"regulation of cell cycle phase transition","regulation of cell cycle phase transition","C1_05_24",0,1,-1,0.52,1,4.07291355924613e-28
"nuclear chromosome segregation","nuclear chromosome segregation","C1_05_24",0,1,-1,0.524,1,6.98378670341409e-31
"small GTPase mediated signal transduction","small GTPase mediated signal transduction","C1_05_24",0,1,-1,0.493,1,5.04396406675972e-29
"protein localization to nucleus","protein localization to nucleus","C1_05_24",2,1,0.584962500721156,0.706,1,1.50618592592793e-33
"mitochondrial transport","mitochondrial transport","C1_05_24",0,0,0,1,1,2.40091015019583e-37
"chromatin remodeling","chromatin remodeling","C1_05_24",0,1,-1,0.528,1,1.21463706512831e-31
"cell cycle checkpoint signaling","cell cycle checkpoint signaling","C1_05_24",3,0,2,0.075,1,6.72186946404305e-37
"microtubule cytoskeleton organization involved in mitosis","microtubule cytoskeleton organization involved in mitosis","C1_05_24",0,0,0,1,1,3.83188897658563e-40
"establishment of organelle localization","establishment of organelle localization","C1_05_24",0,1,-1,0.479,1,2.29804111436076e-29
"telomere maintenance","telomere maintenance","C1_05_24",0,0,0,1,1,3.58637656683451e-41
"methylation","methylation","C1_05_24",1,1,0,1,1,2.78114785499766e-31
"DNA-templated transcription elongation","DNA-templated transcription elongation","C1_05_24",0,0,0,1,1,1.9549156757665e-40
"mitochondrial respiratory chain complex assembly","mitochondrial respiratory chain complex assembly","C1_05_24",0,0,0,1,1,6.71542608101531e-44
"nucleic acid transport","nucleic acid transport","C1_05_24",0,0,0,1,1,9.04863075501863e-38
"RNA transport","RNA transport","C1_05_24",0,0,0,1,1,2.67750523277308e-39
"in utero embryonic development","in utero embryonic development","C1_05_24",0,1,-1,0.507,1,5.23281701542301e-30
"vacuole organization","vacuole organization","C1_05_24",0,0,0,1,1,1.48421475091284e-36
"vesicle localization","vesicle localization","C1_05_24",0,1,-1,0.583,1,5.74115956265256e-35
"protein folding","protein folding","C1_05_24",0,0,0,1,1,2.74281640771977e-36
"protein-DNA complex subunit organization","protein-DNA complex subunit organization","C1_05_24",1,1,0,1,1,3.81768694484463e-36
"oxidative phosphorylation","oxidative phosphorylation","C1_05_24",0,0,0,1,1,1.11287484904659e-39
"cellular response to chemical stress","cellular response to chemical stress","C1_05_24",2,1,0.584962500721156,0.701,1,8.92645163913974e-32
"response to topologically incorrect protein","response to topologically incorrect protein","C1_05_24",0,0,0,1,1,1.08435413586859e-38
"mitochondrial membrane organization","mitochondrial membrane organization","C1_05_24",1,0,1,0.345,1,1.30776280070851e-40
"organelle fission","organelle fission","C1_05_24",0,1,-1,0.491,1,1.81352920450961e-28
"negative regulation of phosphorus metabolic process","negative regulation of phosphorus metabolic process","C1_05_24",0,1,-1,0.5,1,1.56491278762301e-29
"regulation of intracellular protein transport","regulation of intracellular protein transport","C1_05_24",4,1,1.32192809488736,0.017,1,1.3446050215084e-34
"cell growth","cell growth","C1_05_24",4,1,1.32192809488736,0.052,1,1.12180308731242e-29
