"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"ribonucleoprotein complex biogenesis","ribonucleoprotein complex biogenesis","C1_05_24",1,1,0,1,1,3.33055506677324e-31
"ncRNA processing","ncRNA processing","C1_05_24",0,1,-1,0.502,1,1.86363845786234e-31
"proteasome-mediated ubiquitin-dependent protein catabolic process","proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",2,1,0.584962500721156,0.717,1,2.70280635658495e-30
"rRNA metabolic process","rRNA metabolic process","C1_05_24",0,0,0,1,1,2.11940966405523e-36
"macroautophagy","macroautophagy","C1_05_24",0,1,-1,0.555,1,5.96482151077415e-33
"regulation of response to DNA damage stimulus","regulation of response to DNA damage stimulus","C1_05_24",1,1,0,1,1,8.70049501899967e-32
"establishment of protein localization to organelle","establishment of protein localization to organelle","C1_05_24",1,1,0,1,1,4.31046639597322e-30
"regulation of chromosome organization","regulation of chromosome organization","C1_05_24",1,1,0,1,1,2.24249420192201e-37
"chromosome segregation","chromosome segregation","C1_05_24",0,1,-1,0.49,1,2.46540038079223e-32
"mitochondrial gene expression","mitochondrial gene expression","C1_05_24",1,0,1,0.301,1,1.63576725342189e-42
"cellular component disassembly","cellular component disassembly","C1_05_24",2,2,0,1,1,3.07968414594288e-25
"Golgi vesicle transport","Golgi vesicle transport","C1_05_24",1,1,0,1,1,1.06084564433367e-33
"DNA replication","DNA replication","C1_05_24",1,1,0,1,1,4.26196074440034e-35
"sister chromatid segregation","sister chromatid segregation","C1_05_24",0,0,0,1,1,1.12703687647482e-38
"histone modification","histone modification","C1_05_24",0,1,-1,0.509,1,3.81648990694782e-28
"nucleocytoplasmic transport","nucleocytoplasmic transport","C1_05_24",1,1,0,1,1,3.27925547920842e-32
"nuclear transport","nuclear transport","C1_05_24",1,1,0,1,1,3.27925547920842e-32
"double-strand break repair","double-strand break repair","C1_05_24",1,1,0,1,1,3.01813883847422e-34
"mitotic cell cycle phase transition","mitotic cell cycle phase transition","C1_05_24",1,1,0,1,1,1.23727690538625e-28
"non-membrane-bounded organelle assembly","non-membrane-bounded organelle assembly","C1_05_24",0,1,-1,0.514,1,1.13497556700829e-29
"cytoplasmic translation","cytoplasmic translation","C1_05_24",0,0,0,1,1,1.72282927923923e-40
"regulation of DNA repair","regulation of DNA repair","C1_05_24",1,0,1,0.453,1,1.13370839050822e-37
"ribonucleoprotein complex subunit organization","ribonucleoprotein complex subunit organization","C1_05_24",1,0,1,0.373,1,1.1226869172369e-40
"peptidyl-lysine modification","peptidyl-lysine modification","C1_05_24",0,1,-1,0.52,1,7.44867229843833e-31
"regulation of protein catabolic process","regulation of protein catabolic process","C1_05_24",2,1,0.584962500721156,0.716,1,1.96940684504062e-31
"protein targeting","protein targeting","C1_05_24",1,1,0,1,1,1.64783546054635e-34
"protein polyubiquitination","protein polyubiquitination","C1_05_24",0,0,0,1,1,1.73729199569232e-37
"vesicle organization","vesicle organization","C1_05_24",3,1,1,0.506,1,1.86783782121691e-31
"regulation of protein modification by small protein conjugation or removal","regulation of protein modification by small protein conjugation or removal","C1_05_24",0,0,0,1,1,1.06569973231095e-36
"ribonucleoprotein complex assembly","ribonucleoprotein complex assembly","C1_05_24",1,0,1,0.364,1,5.64247724844334e-41
"cellular respiration","cellular respiration","C1_05_24",0,0,0,1,1,5.33215574844209e-41
"telomere organization","telomere organization","C1_05_24",1,0,1,0.383,1,1.12460453285861e-40
"regulation of autophagy","regulation of autophagy","C1_05_24",0,1,-1,0.521,1,7.52454194625683e-32
"regulation of protein stability","regulation of protein stability","C1_05_24",1,1,0,1,1,3.81914929635553e-32
"RNA localization","RNA localization","C1_05_24",1,0,1,0.38,1,1.00951965301382e-40
"regulation of intracellular transport","regulation of intracellular transport","C1_05_24",2,1,0.584962500721156,0.706,1,3.04042834317386e-33
"regulation of cell cycle phase transition","regulation of cell cycle phase transition","C1_05_24",1,1,0,1,1,2.43876921162194e-30
"nuclear chromosome segregation","nuclear chromosome segregation","C1_05_24",0,1,-1,0.54,1,4.26196074440034e-35
"small GTPase mediated signal transduction","small GTPase mediated signal transduction","C1_05_24",4,2,0.736965594166206,0.377,1,3.8648801466246e-25
"protein localization to nucleus","protein localization to nucleus","C1_05_24",0,1,-1,0.539,1,3.27021425282551e-32
"mitochondrial transport","mitochondrial transport","C1_05_24",0,0,0,1,1,1.11236982093873e-39
"chromatin remodeling","chromatin remodeling","C1_05_24",0,1,-1,0.523,1,2.3962398375563e-31
"cell cycle checkpoint signaling","cell cycle checkpoint signaling","C1_05_24",0,0,0,1,1,2.86784004156695e-39
"microtubule cytoskeleton organization involved in mitosis","microtubule cytoskeleton organization involved in mitosis","C1_05_24",0,0,0,1,1,5.96333221305759e-41
"establishment of organelle localization","establishment of organelle localization","C1_05_24",0,1,-1,0.499,1,3.7928831192142e-29
"telomere maintenance","telomere maintenance","C1_05_24",1,0,1,0.37,1,3.80388330420156e-41
"methylation","methylation","C1_05_24",1,1,0,1,1,1.05513622099635e-33
"DNA-templated transcription elongation","DNA-templated transcription elongation","C1_05_24",0,0,0,1,1,4.46324037280593e-44
"mitochondrial respiratory chain complex assembly","mitochondrial respiratory chain complex assembly","C1_05_24",0,0,0,1,1,7.66065565719646e-49
"nucleic acid transport","nucleic acid transport","C1_05_24",1,0,1,0.333,1,6.75979100834098e-42
"RNA transport","RNA transport","C1_05_24",1,0,1,0.333,1,6.75979100834098e-42
"in utero embryonic development","in utero embryonic development","C1_05_24",0,1,-1,0.504,1,2.83938908415016e-27
"vacuole organization","vacuole organization","C1_05_24",1,0,1,0.438,1,2.13984212274288e-37
"vesicle localization","vesicle localization","C1_05_24",0,0,0,1,1,1.85911173822316e-37
"protein folding","protein folding","C1_05_24",0,0,0,1,1,6.68578148204063e-40
"protein-DNA complex subunit organization","protein-DNA complex subunit organization","C1_05_24",0,0,0,1,1,2.80170158994175e-41
"oxidative phosphorylation","oxidative phosphorylation","C1_05_24",0,0,0,1,1,3.7557923816621e-45
"cellular response to chemical stress","cellular response to chemical stress","C1_05_24",1,1,0,1,1,1.85198511379902e-30
"response to topologically incorrect protein","response to topologically incorrect protein","C1_05_24",0,0,0,1,1,4.31327420486491e-41
"mitochondrial membrane organization","mitochondrial membrane organization","C1_05_24",0,0,0,1,1,4.73096584939612e-42
"organelle fission","organelle fission","C1_05_24",1,1,0,1,1,2.76848962902152e-29
"negative regulation of phosphorus metabolic process","negative regulation of phosphorus metabolic process","C1_05_24",1,2,-0.584962500721156,0.397,1,1.83710066910584e-27
"regulation of intracellular protein transport","regulation of intracellular protein transport","C1_05_24",0,0,0,1,1,1.58253089403513e-36
"cell growth","cell growth","C1_05_24",2,2,0,1,1,9.34637892197869e-23
"ribose phosphate biosynthetic process","ribose phosphate biosynthetic process","C1_05_24",1,0,1,0.419,1,5.04006747653959e-38
"negative regulation of transferase activity","negative regulation of transferase activity","C1_05_24",0,1,-1,0.514,1,6.52540969617078e-35
"regulation of supramolecular fiber organization","regulation of supramolecular fiber organization","C1_05_24",1,1,0,1,1,1.02123999034999e-26
"response to endoplasmic reticulum stress","response to endoplasmic reticulum stress","C1_05_24",0,1,-1,0.569,1,1.79974003994503e-35
"ribonucleotide biosynthetic process","ribonucleotide biosynthetic process","C1_05_24",1,0,1,0.412,1,1.96816525525053e-38
"regulation of binding","regulation of binding","C1_05_24",2,1,0.584962500721156,0.704,1,1.89135253060839e-30
