"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"Herpes simplex virus 1 infection","Herpes simplex virus 1 infection","C1_05_24",2,1,0.584962500721156,0.719,1,2.29466358543836e-27
"Cell cycle","Cell cycle","C1_05_24",0,0,0,1,1,1.05639202799366e-38
"Endocytosis","Endocytosis","C1_05_24",1,1,0,1,1,7.55602113828557e-35
"Ribosome","Ribosome","C1_05_24",1,0,1,0.334,1,2.91908801114273e-41
"Autophagy - animal","Autophagy - animal","C1_05_24",0,0,0,1,1,4.52905270599269e-37
"Protein processing in endoplasmic reticulum","Protein processing in endoplasmic reticulum","C1_05_24",1,0,1,0.398,1,2.06779474349445e-39
"Huntington disease","Huntington disease","C1_05_24",2,1,0.584962500721156,0.702,1,9.30069431866853e-34
"Ubiquitin mediated proteolysis","Ubiquitin mediated proteolysis","C1_05_24",0,0,0,1,1,5.12849860324047e-40
"Shigellosis","Shigellosis","C1_05_24",3,1,1,0.575,1,3.89758449906614e-36
"Thermogenesis","Thermogenesis","C1_05_24",2,1,0.584962500721156,0.698,1,8.52021281854147e-36
"Mitophagy - animal","Mitophagy - animal","C1_05_24",0,0,0,1,1,3.67247406478197e-42
"Parkinson disease","Parkinson disease","C1_05_24",0,1,-1,0.569,1,5.49862689592111e-34
"Amyotrophic lateral sclerosis","Amyotrophic lateral sclerosis","C1_05_24",4,1,1.32192809488736,0.018,1,3.5059892871253e-32
"Cellular senescence","Cellular senescence","C1_05_24",2,0,1.58496250072116,0.138,1,3.74575334315915e-39
"Chemical carcinogenesis - reactive oxygen species","Chemical carcinogenesis - reactive oxygen species","C1_05_24",0,1,-1,0.581,1,1.10801016924074e-34
"Colorectal cancer","Colorectal cancer","C1_05_24",0,0,0,1,1,1.17843943706054e-45
"Salmonella infection","Salmonella infection","C1_05_24",1,1,0,1,1,1.56006972653099e-34
"ATP-dependent chromatin remodeling","ATP-dependent chromatin remodeling","C1_05_24",0,0,0,1,1,8.95511629829674e-42
"Diabetic cardiomyopathy","Diabetic cardiomyopathy","C1_05_24",0,0,0,1,1,4.32471921771044e-37
"Spliceosome","Spliceosome","C1_05_24",0,0,0,1,1,2.52973343005054e-39
"Viral carcinogenesis","Viral carcinogenesis","C1_05_24",0,1,-1,0.569,1,5.15950628437366e-36
"Pathways of neurodegeneration - multiple diseases","Pathways of neurodegeneration - multiple diseases","C1_05_24",1,1,0,1,1,2.74643222251023e-29
"Pancreatic cancer","Pancreatic cancer","C1_05_24",0,0,0,1,1,1.68182976560736e-45
"Chronic myeloid leukemia","Chronic myeloid leukemia","C1_05_24",0,0,0,1,1,3.63949460088444e-44
"Polycomb repressive complex","Polycomb repressive complex","C1_05_24",0,0,0,1,1,2.95474484692398e-44
"Alzheimer disease","Alzheimer disease","C1_05_24",2,1,0.584962500721156,0.724,1,5.26334117683335e-29
"Non-alcoholic fatty liver disease","Non-alcoholic fatty liver disease","C1_05_24",1,0,1,0.356,1,4.04565747096929e-41
"Nucleocytoplasmic transport","Nucleocytoplasmic transport","C1_05_24",0,0,0,1,1,8.62763978530623e-44
"Human T-cell leukemia virus 1 infection","Human T-cell leukemia virus 1 infection","C1_05_24",0,0,0,1,1,1.49771952312457e-35
"Nucleotide excision repair","Nucleotide excision repair","C1_05_24",0,0,0,1,1,3.36403543152974e-46
"Oxidative phosphorylation","Oxidative phosphorylation","C1_05_24",0,0,0,1,1,4.1663517063533e-40
"Renal cell carcinoma","Renal cell carcinoma","C1_05_24",0,0,0,1,1,3.32041240557765e-47
"Axon guidance","Axon guidance","C1_05_24",1,0,1,0.446,1,2.10131960724904e-38
"Endometrial cancer","Endometrial cancer","C1_05_24",0,0,0,1,1,9.77247817577818e-49
"mRNA surveillance pathway","mRNA surveillance pathway","C1_05_24",0,0,0,1,1,2.71541494979548e-44
"Focal adhesion","Focal adhesion","C1_05_24",2,0,1.58496250072116,0.197,1,1.53599101741993e-37
"Adherens junction","Adherens junction","C1_05_24",0,0,0,1,1,9.59620963615109e-46
"Prion disease","Prion disease","C1_05_24",0,1,-1,0.535,1,1.19557576492879e-32
