"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"Herpes simplex virus 1 infection","Herpes simplex virus 1 infection","C1_05_24",0,1,-1,0.526,1,6.30373104643963e-35
"Cell cycle","Cell cycle","C1_05_24",0,0,0,1,1,1.62762218783169e-40
"Endocytosis","Endocytosis","C1_05_24",1,1,0,1,1,1.33437818968693e-34
"Ribosome","Ribosome","C1_05_24",0,0,0,1,1,3.54752329236768e-43
"Autophagy - animal","Autophagy - animal","C1_05_24",0,0,0,1,1,6.56803344175182e-39
"Protein processing in endoplasmic reticulum","Protein processing in endoplasmic reticulum","C1_05_24",0,0,0,1,1,2.76861224864399e-40
"Huntington disease","Huntington disease","C1_05_24",0,1,-1,0.534,1,2.67268078537428e-33
"Ubiquitin mediated proteolysis","Ubiquitin mediated proteolysis","C1_05_24",0,0,0,1,1,1.60071069439736e-41
"Shigellosis","Shigellosis","C1_05_24",0,1,-1,0.524,1,6.5206134757917e-32
"Thermogenesis","Thermogenesis","C1_05_24",1,0,1,0.486,1,7.02961160672575e-37
"Mitophagy - animal","Mitophagy - animal","C1_05_24",0,0,0,1,1,1.20073150471575e-44
"Parkinson disease","Parkinson disease","C1_05_24",0,0,0,1,1,9.70861874036222e-37
"Amyotrophic lateral sclerosis","Amyotrophic lateral sclerosis","C1_05_24",1,1,0,1,1,8.75014120749335e-32
"Cellular senescence","Cellular senescence","C1_05_24",0,0,0,1,1,7.94768519606124e-38
"Chemical carcinogenesis - reactive oxygen species","Chemical carcinogenesis - reactive oxygen species","C1_05_24",0,0,0,1,1,8.52128466615525e-39
"Colorectal cancer","Colorectal cancer","C1_05_24",0,0,0,1,1,2.52443866392742e-43
"Salmonella infection","Salmonella infection","C1_05_24",1,1,0,1,1,6.59437833089576e-34
"ATP-dependent chromatin remodeling","ATP-dependent chromatin remodeling","C1_05_24",0,0,0,1,1,1.83141540195994e-44
"Diabetic cardiomyopathy","Diabetic cardiomyopathy","C1_05_24",0,0,0,1,1,1.7750903415276e-38
"Spliceosome","Spliceosome","C1_05_24",1,0,1,0.229,1,1.46482683360379e-45
"Viral carcinogenesis","Viral carcinogenesis","C1_05_24",0,0,0,1,1,3.44336900203101e-39
"Pathways of neurodegeneration - multiple diseases","Pathways of neurodegeneration - multiple diseases","C1_05_24",1,1,0,1,1,2.62237393820564e-28
"Pancreatic cancer","Pancreatic cancer","C1_05_24",0,0,0,1,1,1.98102963630378e-42
"Chronic myeloid leukemia","Chronic myeloid leukemia","C1_05_24",0,0,0,1,1,7.84764785118424e-44
"Polycomb repressive complex","Polycomb repressive complex","C1_05_24",0,0,0,1,1,1.78028630474844e-45
"Alzheimer disease","Alzheimer disease","C1_05_24",2,1,0.584962500721156,0.709,1,4.81285476596317e-30
"Non-alcoholic fatty liver disease","Non-alcoholic fatty liver disease","C1_05_24",0,0,0,1,1,1.2347551588227e-41
"Nucleocytoplasmic transport","Nucleocytoplasmic transport","C1_05_24",1,0,1,0.238,1,6.1377884778237e-45
"Human T-cell leukemia virus 1 infection","Human T-cell leukemia virus 1 infection","C1_05_24",0,1,-1,0.551,1,2.39026444101313e-38
"Nucleotide excision repair","Nucleotide excision repair","C1_05_24",0,0,0,1,1,1.61471239591121e-48
"Oxidative phosphorylation","Oxidative phosphorylation","C1_05_24",0,0,0,1,1,1.47307511364008e-45
"Renal cell carcinoma","Renal cell carcinoma","C1_05_24",0,0,0,1,1,2.02941161869662e-43
"Axon guidance","Axon guidance","C1_05_24",0,1,-1,0.553,1,2.81853804457677e-33
"Endometrial cancer","Endometrial cancer","C1_05_24",0,0,0,1,1,6.7074173795091e-47
"mRNA surveillance pathway","mRNA surveillance pathway","C1_05_24",0,0,0,1,1,3.65630010448141e-46
"Focal adhesion","Focal adhesion","C1_05_24",1,1,0,1,1,8.3652552940906e-32
"Adherens junction","Adherens junction","C1_05_24",0,0,0,1,1,1.70907022804272e-40
"Prion disease","Prion disease","C1_05_24",0,1,-1,0.566,1,1.38584036104082e-35
"Lysosome","Lysosome","C1_05_24",0,0,0,1,1,2.12281177779169e-41
"MAPK signaling pathway","MAPK signaling pathway","C1_05_24",3,1,1,0.532,1,3.34350180019835e-30
"Sphingolipid signaling pathway","Sphingolipid signaling pathway","C1_05_24",1,0,1,0.329,1,7.91740201355756e-42
"Fanconi anemia pathway","Fanconi anemia pathway","C1_05_24",0,0,0,1,1,9.94966756550264e-50
