"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6391
"ribosome biogenesis","C1_05_24",1,4,3.7e-24,-1.32192809488736,0.1031
"rRNA metabolic process","C1_05_24",1,3,3.7e-24,-1,0.2051
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",4,5,3.7e-24,-0.263034405833794,0.6853
"regulation of response to DNA damage stimulus","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.3087
"establishment of protein localization to organelle","C1_05_24",6,5,3.7e-24,0.222392421336448,0.8188
"macroautophagy","C1_05_24",0,3,3.7e-24,-2,0.0313
"regulation of chromosome organization","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6025
"Golgi vesicle transport","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.5914
"double-strand break repair","C1_05_24",1,3,3.7e-24,-1,0.2146
"histone modification","C1_05_24",0,5,3.7e-24,-2.58496250072116,0.008
"sister chromatid segregation","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5348
"DNA replication","C1_05_24",1,3,3.7e-24,-1,0.2163
"chromosome segregation","C1_05_24",1,4,3.7e-24,-1.32192809488736,0.0957
"mitochondrial gene expression","C1_05_24",0,1,3.7e-24,-1,0.4115
"nucleocytoplasmic transport","C1_05_24",4,4,3.7e-24,0,1
"nuclear transport","C1_05_24",4,4,3.7e-24,0,1
"regulation of DNA repair","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5254
"peptidyl-lysine modification","C1_05_24",0,4,3.7e-24,-2.32192809488736,0.0106
"protein targeting","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6036
"cytoplasmic translation","C1_05_24",0,1,3.7e-24,-1,0.4103
"regulation of autophagy","C1_05_24",0,3,3.7e-24,-2,0.0306
"signal transduction in response to DNA damage","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5483
"regulation of intracellular transport","C1_05_24",4,4,3.7e-24,0,1
"protein localization to nucleus","C1_05_24",4,4,3.7e-24,0,1
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.149
"telomere maintenance","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5507
"cell cycle checkpoint signaling","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.533
"regulation of protein modification by small protein conjugation or removal","C1_05_24",1,4,3.7e-24,-1.32192809488736,0.1177
"cellular respiration","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5598
"cellular component disassembly","C1_05_24",2,5,3.7e-24,-1,0.1317
"nuclear chromosome segregation","C1_05_24",1,3,3.7e-24,-1,0.2078
"regulation of protein stability","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6377
"regulation of cell cycle phase transition","C1_05_24",2,5,3.7e-24,-1,0.1477
"regulation of protein catabolic process","C1_05_24",2,5,3.7e-24,-1,0.141
"response to endoplasmic reticulum stress","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.5955
"vesicle organization","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7853
"mitochondrial respiratory chain complex assembly","C1_05_24",1,1,3.7e-24,0,1
"DNA-templated transcription elongation","C1_05_24",0,1,3.7e-24,-1,0.4047
"mitochondrial transport","C1_05_24",2,1,3.7e-24,0.584962500721156,0.667
"establishment of organelle localization","C1_05_24",0,4,3.7e-24,-2.32192809488736,0.0231
"regulation of intracellular protein transport","C1_05_24",2,2,3.7e-24,0,1
"response to UV","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7453
"RNA localization","C1_05_24",2,2,3.7e-24,0,1
"response to topologically incorrect protein","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5406
"organelle fission","C1_05_24",4,5,3.7e-24,-0.263034405833794,0.6737
"non-membrane-bounded organelle assembly","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6375
"protein polyubiquitination","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6134
"methylation","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7736
"phospholipid biosynthetic process","C1_05_24",5,2,3.7e-24,1,0.1876
"oxidative phosphorylation","C1_05_24",1,1,3.7e-24,0,1
"establishment of protein localization to membrane","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5237
"in utero embryonic development","C1_05_24",5,4,3.7e-24,0.263034405833794,0.8135
"vacuole organization","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5369
"nuclear-transcribed mRNA catabolic process","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.1685
"protein folding","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.0929
"DNA conformation change","C1_05_24",1,1,3.7e-24,0,1
"regulation of chromosome segregation","C1_05_24",1,1,3.7e-24,0,1
"regulation of apoptotic signaling pathway","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6466
"cell cycle G2/M phase transition","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5856
"vacuolar transport","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.0921
"response to ionizing radiation","C1_05_24",2,2,3.7e-24,0,1
"cellular response to UV","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7295
"regulation of binding","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2676
"nucleic acid transport","C1_05_24",2,2,3.7e-24,0,1
"RNA transport","C1_05_24",2,2,3.7e-24,0,1
"ribonucleoprotein complex subunit organization","C1_05_24",2,2,3.7e-24,0,1
"regulation of DNA replication","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.1575
"ribose phosphate metabolic process","C1_05_24",5,4,3.7e-24,0.263034405833794,0.8009
"proton motive force-driven ATP synthesis","C1_05_24",1,1,3.7e-24,0,1
"ribonucleotide metabolic process","C1_05_24",5,4,3.7e-24,0.263034405833794,0.8016
"telomere organization","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5431
"cellular response to topologically incorrect protein","C1_05_24",1,1,3.7e-24,0,1
"Golgi organization","C1_05_24",1,1,3.7e-24,0,1
"ribonucleoprotein complex assembly","C1_05_24",2,2,3.7e-24,0,1
"cellular nitrogen compound catabolic process","C1_05_24",1,5,3.7e-24,-1.58496250072116,0.0531
"negative regulation of phosphorus metabolic process","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2542
"heterocycle catabolic process","C1_05_24",1,5,3.7e-24,-1.58496250072116,0.0533
"mitochondrial membrane organization","C1_05_24",1,1,3.7e-24,0,1
"regulation of protein-containing complex assembly","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2537
"positive regulation of cellular component biogenesis","C1_05_24",8,6,3.7e-24,0.362570079384708,0.5329
"response to oxidative stress","C1_05_24",4,4,3.7e-24,0,1
"regulation of supramolecular fiber organization","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.632
"positive regulation of protein localization","C1_05_24",1,5,3.7e-24,-1.58496250072116,0.0411
"positive regulation of cell projection organization","C1_05_24",5,3,3.7e-24,0.584962500721156,0.4205
"negative regulation of transferase activity","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5353
"autophagy of mitochondrion","C1_05_24",0,1,3.7e-24,-1,0.507
