"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6552
"ribosome biogenesis","C1_05_24",1,1,3.7e-24,0,1
"rRNA metabolic process","C1_05_24",0,1,3.7e-24,-1,0.4886
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",0,1,3.7e-24,-1,0.4195
"regulation of response to DNA damage stimulus","C1_05_24",1,1,3.7e-24,0,1
"establishment of protein localization to organelle","C1_05_24",1,1,3.7e-24,0,1
"macroautophagy","C1_05_24",0,1,3.7e-24,-1,0.4624
"regulation of chromosome organization","C1_05_24",1,1,3.7e-24,0,1
"Golgi vesicle transport","C1_05_24",1,1,3.7e-24,0,1
"double-strand break repair","C1_05_24",1,1,3.7e-24,0,1
"histone modification","C1_05_24",1,1,3.7e-24,0,1
"sister chromatid segregation","C1_05_24",0,1,3.7e-24,-1,0.5191
"DNA replication","C1_05_24",1,1,3.7e-24,0,1
"chromosome segregation","C1_05_24",0,1,3.7e-24,-1,0.4154
"mitochondrial gene expression","C1_05_24",0,0,3.7e-24,0,1
"nucleocytoplasmic transport","C1_05_24",0,1,3.7e-24,-1,0.4454
"nuclear transport","C1_05_24",1,1,3.7e-24,0,1
"regulation of DNA repair","C1_05_24",2,0,3.7e-24,1.58496250072116,0.1517
"peptidyl-lysine modification","C1_05_24",0,1,3.7e-24,-1,0.4446
"protein targeting","C1_05_24",0,1,3.7e-24,-1,0.4417
"cytoplasmic translation","C1_05_24",0,0,3.7e-24,0,1
"regulation of autophagy","C1_05_24",1,1,3.7e-24,0,1
"signal transduction in response to DNA damage","C1_05_24",1,0,3.7e-24,1,0.4765
"regulation of intracellular transport","C1_05_24",1,1,3.7e-24,0,1
"protein localization to nucleus","C1_05_24",0,1,3.7e-24,-1,0.4821
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",0,0,3.7e-24,0,1
"telomere maintenance","C1_05_24",0,0,3.7e-24,0,1
"cell cycle checkpoint signaling","C1_05_24",1,0,3.7e-24,1,0.4226
"regulation of protein modification by small protein conjugation or removal","C1_05_24",0,1,3.7e-24,-1,0.4987
"cellular respiration","C1_05_24",0,1,3.7e-24,-1,0.4936
"cellular component disassembly","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6463
"nuclear chromosome segregation","C1_05_24",0,1,3.7e-24,-1,0.4657
"regulation of protein stability","C1_05_24",1,1,3.7e-24,0,1
"regulation of cell cycle phase transition","C1_05_24",0,1,3.7e-24,-1,0.4181
"regulation of protein catabolic process","C1_05_24",1,1,3.7e-24,0,1
"response to endoplasmic reticulum stress","C1_05_24",0,1,3.7e-24,-1,0.5022
