"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","C1_05_24",2,5,3.7e-24,-1,0.1195
"ribosome biogenesis","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6489
"rRNA metabolic process","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6036
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",1,5,3.7e-24,-1.58496250072116,0.0529
"regulation of response to DNA damage stimulus","C1_05_24",3,3,3.7e-24,0,1
"establishment of protein localization to organelle","C1_05_24",4,4,3.7e-24,0,1
"macroautophagy","C1_05_24",3,3,3.7e-24,0,1
"regulation of chromosome organization","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6011
"Golgi vesicle transport","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6032
"double-strand break repair","C1_05_24",3,3,3.7e-24,0,1
"histone modification","C1_05_24",8,6,3.7e-24,0.362570079384708,0.5416
"sister chromatid segregation","C1_05_24",3,3,3.7e-24,0,1
"DNA replication","C1_05_24",1,3,3.7e-24,-1,0.2369
"chromosome segregation","C1_05_24",1,5,3.7e-24,-1.58496250072116,0.0353
"mitochondrial gene expression","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6254
"nucleocytoplasmic transport","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7844
"nuclear transport","C1_05_24",3,3,3.7e-24,0,1
"regulation of DNA repair","C1_05_24",4,2,3.7e-24,0.736965594166206,0.3339
"peptidyl-lysine modification","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7765
"protein targeting","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.3045
"cytoplasmic translation","C1_05_24",2,2,3.7e-24,0,1
"regulation of autophagy","C1_05_24",5,4,3.7e-24,0.263034405833794,0.8061
"signal transduction in response to DNA damage","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5309
"regulation of intracellular transport","C1_05_24",1,3,3.7e-24,-1,0.205
"protein localization to nucleus","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7841
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",0,1,3.7e-24,-1,0.4083
"telomere maintenance","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.1401
"cell cycle checkpoint signaling","C1_05_24",2,2,3.7e-24,0,1
"regulation of protein modification by small protein conjugation or removal","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5352
"cellular respiration","C1_05_24",3,3,3.7e-24,0,1
"cellular component disassembly","C1_05_24",6,4,3.7e-24,0.485426827170242,0.4705
"nuclear chromosome segregation","C1_05_24",3,3,3.7e-24,0,1
"regulation of protein stability","C1_05_24",0,3,3.7e-24,-2,0.047
"regulation of cell cycle phase transition","C1_05_24",6,5,3.7e-24,0.222392421336448,0.8209
"regulation of protein catabolic process","C1_05_24",1,3,3.7e-24,-1,0.2024
"response to endoplasmic reticulum stress","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6039
"vesicle organization","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2903
"mitochondrial respiratory chain complex assembly","C1_05_24",0,1,3.7e-24,-1,0.4193
"DNA-templated transcription elongation","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6795
"mitochondrial transport","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7306
"establishment of organelle localization","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6417
"regulation of intracellular protein transport","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6247
"response to UV","C1_05_24",0,1,3.7e-24,-1,0.418
"RNA localization","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5339
"response to topologically incorrect protein","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5425
"organelle fission","C1_05_24",6,5,3.7e-24,0.222392421336448,0.8261
"non-membrane-bounded organelle assembly","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6007
"protein polyubiquitination","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6142
"methylation","C1_05_24",4,4,3.7e-24,0,1
"phospholipid biosynthetic process","C1_05_24",1,3,3.7e-24,-1,0.2326
"oxidative phosphorylation","C1_05_24",0,1,3.7e-24,-1,0.4184
"establishment of protein localization to membrane","C1_05_24",1,3,3.7e-24,-1,0.2359
"in utero embryonic development","C1_05_24",7,5,3.7e-24,0.415037499278844,0.4997
"vacuole organization","C1_05_24",2,2,3.7e-24,0,1
"nuclear-transcribed mRNA catabolic process","C1_05_24",3,1,3.7e-24,1,0.4201
"protein folding","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.1314
"DNA conformation change","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6575
"regulation of chromosome segregation","C1_05_24",3,1,3.7e-24,1,0.4102
"regulation of apoptotic signaling pathway","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2681
"cell cycle G2/M phase transition","C1_05_24",0,1,3.7e-24,-1,0.4143
"vacuolar transport","C1_05_24",2,2,3.7e-24,0,1
"response to ionizing radiation","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6682
"cellular response to UV","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6399
"regulation of binding","C1_05_24",4,4,3.7e-24,0,1
"nucleic acid transport","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7245
"RNA transport","C1_05_24",0,1,3.7e-24,-1,0.4287
"ribonucleoprotein complex subunit organization","C1_05_24",0,3,3.7e-24,-2,0.058
"regulation of DNA replication","C1_05_24",0,1,3.7e-24,-1,0.4298
"ribose phosphate metabolic process","C1_05_24",3,5,3.7e-24,-0.584962500721156,0.3452
"proton motive force-driven ATP synthesis","C1_05_24",0,1,3.7e-24,-1,0.437
"ribonucleotide metabolic process","C1_05_24",4,5,3.7e-24,-0.263034405833794,0.6738
"telomere organization","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5767
"cellular response to topologically incorrect protein","C1_05_24",1,1,3.7e-24,0,1
"Golgi organization","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.1239
"ribonucleoprotein complex assembly","C1_05_24",1,3,3.7e-24,-1,0.2097
"cellular nitrogen compound catabolic process","C1_05_24",0,5,3.7e-24,-2.58496250072116,0.0069
"negative regulation of phosphorus metabolic process","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2638
"heterocycle catabolic process","C1_05_24",5,5,3.7e-24,0,1
"mitochondrial membrane organization","C1_05_24",0,1,3.7e-24,-1,0.4617
"regulation of protein-containing complex assembly","C1_05_24",5,4,3.7e-24,0.263034405833794,0.8017
"positive regulation of cellular component biogenesis","C1_05_24",4,6,3.7e-24,-0.485426827170242,0.4442
"response to oxidative stress","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6585
"regulation of supramolecular fiber organization","C1_05_24",4,4,3.7e-24,0,1
"positive regulation of protein localization","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2737
"positive regulation of cell projection organization","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2814
"negative regulation of transferase activity","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7529
"autophagy of mitochondrion","C1_05_24",1,1,3.7e-24,0,1
"positive regulation of amide metabolic process","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.536
"chromatin remodeling","C1_05_24",6,4,3.7e-24,0.485426827170242,0.482
"viral process","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6391
"macromolecule deacylation","C1_05_24",1,1,3.7e-24,0,1
"mitotic cytokinesis","C1_05_24",1,1,3.7e-24,0,1
"aromatic compound catabolic process","C1_05_24",4,5,3.7e-24,-0.263034405833794,0.6725
"vesicle localization","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5288
"establishment or maintenance of cell polarity","C1_05_24",0,1,3.7e-24,-1,0.4238
"Wnt signaling pathway","C1_05_24",1,4,3.7e-24,-1.32192809488736,0.0705
"cell-cell signaling by wnt","C1_05_24",5,5,3.7e-24,0,1
"ATP metabolic process","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.0949
"cellular response to chemical stress","C1_05_24",3,3,3.7e-24,0,1
"regulation of vacuole organization","C1_05_24",1,0,3.7e-24,1,0.4852
"cellular response to external stimulus","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.3187
"negative regulation of protein phosphorylation","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7723
"negative regulation of catabolic process","C1_05_24",5,3,3.7e-24,0.584962500721156,0.392
"regulation of microtubule cytoskeleton organization","C1_05_24",1,1,3.7e-24,0,1
"chromosome localization","C1_05_24",1,1,3.7e-24,0,1
"negative regulation of mitotic nuclear division","C1_05_24",0,0,3.7e-24,0,1
"regulation of actin filament organization","C1_05_24",0,3,3.7e-24,-2,0.052
"dephosphorylation","C1_05_24",2,2,3.7e-24,0,1
"glycosylation","C1_05_24",2,2,3.7e-24,0,1
"positive regulation of establishment of protein localization","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7879
"regulation of microtubule-based process","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7427
"cell-substrate junction organization","C1_05_24",0,1,3.7e-24,-1,0.443
"protein-containing complex localization","C1_05_24",1,1,3.7e-24,0,1
"mitochondrial transmembrane transport","C1_05_24",0,1,3.7e-24,-1,0.419
"stem cell population maintenance","C1_05_24",0,1,3.7e-24,-1,0.4239
"ribosome assembly","C1_05_24",0,0,3.7e-24,0,1
"intraciliary transport","C1_05_24",1,1,3.7e-24,0,1
"Golgi to plasma membrane protein transport","C1_05_24",1,0,3.7e-24,1,0.3608
"response to amino acid starvation","C1_05_24",0,0,3.7e-24,0,1
"cellular response to extracellular stimulus","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6258
"cell growth","C1_05_24",4,4,3.7e-24,0,1
"protein glycosylation","C1_05_24",4,2,3.7e-24,0.736965594166206,0.2748
"macromolecule glycosylation","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7377
"maintenance of cell number","C1_05_24",1,1,3.7e-24,0,1
"response to reactive oxygen species","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.0691
"regulation of cell morphogenesis","C1_05_24",3,2,3.7e-24,0.415037499278844,0.745
"regulation of cellular component size","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6438
"cell-substrate junction assembly","C1_05_24",0,1,3.7e-24,-1,0.4577
"membrane fission","C1_05_24",1,0,3.7e-24,1,0.4361
"membrane docking","C1_05_24",1,1,3.7e-24,0,1
"fibroblast migration","C1_05_24",1,0,3.7e-24,1,0.4017
"nucleus organization","C1_05_24",0,1,3.7e-24,-1,0.4261
"regulation of cell growth","C1_05_24",1,4,3.7e-24,-1.32192809488736,0.1027
"fibroblast proliferation","C1_05_24",0,1,3.7e-24,-1,0.506
"cell cycle G1/S phase transition","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7321
"actin filament organization","C1_05_24",6,4,3.7e-24,0.485426827170242,0.4402
"response to oxygen levels","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6027
"epigenetic regulation of gene expression","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.524
"organelle fusion","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5738
"lipoprotein metabolic process","C1_05_24",1,1,3.7e-24,0,1
"protein lipidation","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6415
"regulation of plasma membrane bounded cell projection assembly","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5302
"regulation of actin filament-based process","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7853
"regulation of GTPase activity","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.3109
"nuclear envelope organization","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6461
"protein autophosphorylation","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5357
"connective tissue development","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5271
"cellular response to heat","C1_05_24",0,0,3.7e-24,0,1
"myeloid cell homeostasis","C1_05_24",2,2,3.7e-24,0,1
"regulation of neuron projection development","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2651
"receptor metabolic process","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6372
"maintenance of protein location in cell","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6407
"apoptotic mitochondrial changes","C1_05_24",0,1,3.7e-24,-1,0.4384
"response to transforming growth factor beta","C1_05_24",7,2,3.7e-24,1.41503749927884,0.1004
"neural tube development","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5399
"maintenance of protein location","C1_05_24",0,0,3.7e-24,0,1
