"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"expressed_regions_exons_promoters_enhancers","C1_05_24",32,52,3.7e-24,-0.683526335204746,0.014
"expressed_regions_exons_promoters_enhancers","C2_05_24",41,36,3.7e-24,0.18286405714981,0.5758
"expressed_regions_exons_promoters_enhancers","C3_05_24",29,46,3.7e-24,-0.647698256069119,0.034
"expressed_regions_exons_promoters_enhancers","E1_06_14",150,228,4.94148448349222e-19,-0.600799048771865,1e-04
"expressed_regions_exons_promoters_enhancers","E1_08_16",216,265,4.78182544295848e-12,-0.29373120305671,0.0149
"expressed_regions_exons_promoters_enhancers","E2_06_14",226,280,2.13082690381816e-09,-0.307877832930011,0.0111
"expressed_regions_exons_promoters_enhancers","E2_08_16",314,409,1.49824940531629e-06,-0.380272081118167,0
"expressed_regions_exons_promoters_enhancers","E3_06_14",611,731,1.42812717748488e-05,-0.258311995591391,4e-04
"expressed_regions_exons_promoters_enhancers","E3_08_16",449,590,0.000730829723123752,-0.393233128960495,0
"expressed_regions_exons_promoters_enhancers","MMEA9_C1",18,44,3.7e-24,-1.24392558288609,1e-04
"expressed_regions_exons_promoters_enhancers","MMEA9_C2",18,34,3.7e-24,-0.881355503501381,0.0126
"expressed_regions_exons_promoters_enhancers","MMEA9_C3",26,46,3.7e-24,-0.799701349514169,0.0071
"expressed_regions_exons_promoters_enhancers","MMEA9_E1",641,863,4.63241515634189e-07,-0.428458015041165,0
"expressed_regions_exons_promoters_enhancers","MMEA9_E2",264,377,1.14634871396966e-08,-0.512393874770511,0
"expressed_regions_exons_promoters_enhancers","MMEA9_E3",954,1276,1.29525770021693e-05,-0.419185886779613,0
"expressed_regions_exons_promoters_enhancers","MMEB9_C1",19,32,3.7e-24,-0.722466024471091,0.0427
"expressed_regions_exons_promoters_enhancers","MMEB9_C2",14,39,3.7e-24,-1.41503749927884,1e-04
"expressed_regions_exons_promoters_enhancers","MMEB9_C3",14,34,3.7e-24,-1.22239242133645,0.0014
"expressed_regions_exons_promoters_enhancers","MMEB9_E1",942,1277,0.000829137219899426,-0.438558160271898,0
"expressed_regions_exons_promoters_enhancers","MMEB9_E2",411,542,5.76609227685346e-10,-0.398307860621143,0
"expressed_regions_exons_promoters_enhancers","MMEB9_E3",574,698,0.000866607165760871,-0.281730499543699,1e-04
