"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","observed.variant.required","observed.variant.requirement.met"
"ncRNA processing","C1_05_24",0,1,3.7e-24,-1,0.4575,11,FALSE
"ribosome biogenesis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"rRNA metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",0,1,3.7e-24,-1,0.425,11,FALSE
"regulation of response to DNA damage stimulus","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"establishment of protein localization to organelle","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"macroautophagy","C1_05_24",0,1,3.7e-24,-1,0.4735,11,FALSE
"regulation of chromosome organization","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"Golgi vesicle transport","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"double-strand break repair","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"histone modification","C1_05_24",0,1,3.7e-24,-1,0.4144,11,FALSE
"sister chromatid segregation","C1_05_24",0,1,3.7e-24,-1,0.5256,11,FALSE
"DNA replication","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"chromosome segregation","C1_05_24",0,1,3.7e-24,-1,0.4285,11,FALSE
"mitochondrial gene expression","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"nucleocytoplasmic transport","C1_05_24",0,1,3.7e-24,-1,0.451,11,FALSE
"nuclear transport","C1_05_24",0,1,3.7e-24,-1,0.451,11,FALSE
"regulation of DNA repair","C1_05_24",1,0,3.7e-24,1,0.4877,11,FALSE
"peptidyl-lysine modification","C1_05_24",0,1,3.7e-24,-1,0.436,11,FALSE
"protein targeting","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"cytoplasmic translation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of autophagy","C1_05_24",0,1,3.7e-24,-1,0.4423,11,FALSE
"signal transduction in response to DNA damage","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of intracellular transport","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"protein localization to nucleus","C1_05_24",0,1,3.7e-24,-1,0.452,11,FALSE
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"telomere maintenance","C1_05_24",1,0,3.7e-24,1,0.3635,11,FALSE
"cell cycle checkpoint signaling","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein modification by small protein conjugation or removal","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular respiration","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular component disassembly","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"nuclear chromosome segregation","C1_05_24",0,1,3.7e-24,-1,0.47,11,FALSE
"regulation of protein stability","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of cell cycle phase transition","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of protein catabolic process","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"response to endoplasmic reticulum stress","C1_05_24",0,1,3.7e-24,-1,0.5253,11,FALSE
"vesicle organization","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6333,22,FALSE
"mitochondrial respiratory chain complex assembly","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"DNA-templated transcription elongation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial transport","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment of organelle localization","C1_05_24",0,1,3.7e-24,-1,0.4207,11,FALSE
"regulation of intracellular protein transport","C1_05_24",0,1,3.7e-24,-1,0.5312,11,FALSE
"response to UV","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"RNA localization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to topologically incorrect protein","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"organelle fission","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"non-membrane-bounded organelle assembly","C1_05_24",0,1,3.7e-24,-1,0.4303,11,FALSE
"protein polyubiquitination","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"methylation","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"phospholipid biosynthetic process","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6492,22,FALSE
"oxidative phosphorylation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment of protein localization to membrane","C1_05_24",0,1,3.7e-24,-1,0.5209,11,FALSE
"in utero embryonic development","C1_05_24",0,1,3.7e-24,-1,0.4159,11,FALSE
"vacuole organization","C1_05_24",1,0,3.7e-24,1,0.4398,11,FALSE
"nuclear-transcribed mRNA catabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein folding","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
