"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","MMEA9_E3",29,34,3.7e-24,-0.122392421336448,0.4196
"ribosome biogenesis","MMEA9_E3",19,22,3.7e-24,-0.101633861169651,0.5525
"rRNA metabolic process","MMEA9_E3",12,20,3.7e-24,-0.591877704637668,0.0691
"proteasome-mediated ubiquitin-dependent protein catabolic process","MMEA9_E3",27,32,3.7e-24,-0.137039197300849,0.3997
"regulation of response to DNA damage stimulus","MMEA9_E3",20,23,3.7e-24,-0.092645077942396,0.5659
"establishment of protein localization to organelle","MMEA9_E3",31,35,3.7e-24,-0.069925001442312,0.5359
"macroautophagy","MMEA9_E3",21,25,3.7e-24,-0.141008099503795,0.4534
"regulation of chromosome organization","MMEA9_E3",17,20,3.7e-24,-0.122392421336448,0.5255
"Golgi vesicle transport","MMEA9_E3",12,22,3.7e-24,-0.723122237915921,0.0448
"double-strand break repair","MMEA9_E3",22,24,3.7e-24,-0.020294233717712,0.7163
"histone modification","MMEA9_E3",31,34,3.7e-24,-0.029283016944966,0.6405
"sister chromatid segregation","MMEA9_E3",21,21,3.7e-24,0.1,1.03
"DNA replication","MMEA9_E3",19,23,3.7e-24,-0.163034405833794,0.4364
"chromosome segregation","MMEA9_E3",24,31,3.7e-24,-0.256143810225275,0.213
"mitochondrial gene expression","MMEA9_E3",12,13,3.7e-24,-0.006915203916512,0.8208
"nucleocytoplasmic transport","MMEA9_E3",19,25,3.7e-24,-0.27851162325373,0.2363
"nuclear transport","MMEA9_E3",14,23,3.7e-24,-0.578071905112638,0.059
"regulation of DNA repair","MMEA9_E3",13,17,3.7e-24,-0.262570079384708,0.3269
"peptidyl-lysine modification","MMEA9_E3",22,29,3.7e-24,-0.283328639551506,0.179
"protein targeting","MMEA9_E3",21,26,3.7e-24,-0.195455883526171,0.336
"cytoplasmic translation","MMEA9_E3",4,13,3.7e-24,-1.38542682717024,0.0343
"regulation of autophagy","MMEA9_E3",23,27,3.7e-24,-0.122392421336448,0.4719
"signal transduction in response to DNA damage","MMEA9_E3",9,14,3.7e-24,-0.484962500721156,0.1556
"regulation of intracellular transport","MMEA9_E3",24,25,3.7e-24,0.0434164716336326,0.8779
"protein localization to nucleus","MMEA9_E3",18,21,3.7e-24,-0.111504105193712,0.5446
"microtubule cytoskeleton organization involved in mitosis","MMEA9_E3",10,13,3.7e-24,-0.247923303420307,0.4388
"telomere maintenance","MMEA9_E3",9,11,3.7e-24,-0.163034405833794,0.5906
"cell cycle checkpoint signaling","MMEA9_E3",9,13,3.7e-24,-0.385426827170242,0.2653
"regulation of protein modification by small protein conjugation or removal","MMEA9_E3",11,17,3.7e-24,-0.484962500721156,0.1184
"cellular respiration","MMEA9_E3",9,18,3.7e-24,-0.825999418556223,0.0466
"cellular component disassembly","MMEA9_E3",22,32,3.7e-24,-0.42083216330144,0.0725
"nuclear chromosome segregation","MMEA9_E3",15,25,3.7e-24,-0.600439718141092,0.0535
"regulation of protein stability","MMEA9_E3",16,25,3.7e-24,-0.512976876890753,0.0801
"regulation of cell cycle phase transition","MMEA9_E3",21,30,3.7e-24,-0.394764691749578,0.0928
"regulation of protein catabolic process","MMEA9_E3",13,25,3.7e-24,-0.793084796083488,0.0371
"response to endoplasmic reticulum stress","MMEA9_E3",14,20,3.7e-24,-0.385426827170242,0.1554
"vesicle organization","MMEA9_E3",26,25,3.7e-24,0.154447784022377,0.9523
"mitochondrial respiratory chain complex assembly","MMEA9_E3",6,9,3.7e-24,-0.414573172829758,0.3149
"DNA-templated transcription elongation","MMEA9_E3",7,12,3.7e-24,-0.600439718141092,0.1345
"mitochondrial transport","MMEA9_E3",9,14,3.7e-24,-0.484962500721156,0.1754
"establishment of organelle localization","MMEA9_E3",28,30,3.7e-24,0.00378468474069681,0.742
"regulation of intracellular protein transport","MMEA9_E3",10,16,3.7e-24,-0.528031222613042,0.1153
"response to UV","MMEA9_E3",7,11,3.7e-24,-0.484962500721156,0.2101
"RNA localization","MMEA9_E3",14,14,3.7e-24,0.1,1.03
"response to topologically incorrect protein","MMEA9_E3",13,14,3.7e-24,0.000464326449085603,0.8242
"organelle fission","MMEA9_E3",30,36,3.7e-24,-0.155257055242075,0.3218
"non-membrane-bounded organelle assembly","MMEA9_E3",31,26,3.7e-24,0.345112497836531,0.416
"protein polyubiquitination","MMEA9_E3",11,18,3.7e-24,-0.562965012722429,0.0843
"methylation","MMEA9_E3",21,26,3.7e-24,-0.195455883526171,0.327
"phospholipid biosynthetic process","MMEA9_E3",8,18,3.7e-24,-0.97800251200127,0.0361
"oxidative phosphorylation","MMEA9_E3",6,12,3.7e-24,-0.793084796083488,0.0701
"establishment of protein localization to membrane","MMEA9_E3",15,19,3.7e-24,-0.221928094887362,0.394
