"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"haploinsufficient","C1_05_24",20,33,3.7e-24,-0.695145418471579,0.0081
"haplosufficient","C1_05_24",54,61,3.7e-24,-0.172836596862216,0.348
"haploinsufficient","C2_05_24",19,25,3.7e-24,-0.37851162325373,0.1854
"haplosufficient","C2_05_24",39,45,3.7e-24,-0.201633861169651,0.3558
"haploinsufficient","C3_05_24",23,29,3.7e-24,-0.321928094887362,0.2199
"haplosufficient","C3_05_24",47,54,3.7e-24,-0.196397212803503,0.2913
"haploinsufficient","E1_06_14",148,154,7.10284508655622e-09,-0.056955884812076,0.6199
"haplosufficient","E1_06_14",255,288,2.08364702141603e-06,-0.174925682500679,0.0322
"haploinsufficient","E1_08_16",156,199,2.045306341517e-06,-0.349235440883098,6e-04
"haplosufficient","E1_08_16",342,364,4.48740484996741e-05,-0.0896878875945672,0.2131
"haploinsufficient","E2_06_14",167,193,4.79353436920982e-08,-0.207595419408367,0.0416
"haplosufficient","E2_06_14",320,361,0.000282649527121045,-0.173416399960902,0.017
"haploinsufficient","E2_08_16",241,288,0.000182808589726553,-0.256062445226084,0.0029
"haplosufficient","E2_08_16",470,525,0.00951989438883363,-0.159335739679519,0.0096
"haploinsufficient","E3_06_14",483,513,0.00400642683935345,-0.0867613119192836,0.1612
"haplosufficient","E3_06_14",871,928,0.0425074287346313,-0.0913504616057266,0.0416
"haploinsufficient","E3_08_16",365,440,9.15622802970062e-05,-0.268935007273478,1e-04
"haplosufficient","E3_08_16",724,807,0.0275734019300784,-0.156374297849498,0.0017
"haploinsufficient","MMEA9_C1",20,33,3.7e-24,-0.695145418471579,0.0098
"haplosufficient","MMEA9_C1",39,57,9.73305380848965e-24,-0.53605290024021,0.0046
"haploinsufficient","MMEA9_C2",23,24,3.7e-24,-0.0588936890535686,0.8395
"haplosufficient","MMEA9_C2",35,44,3.7e-24,-0.321928094887362,0.1253
"haploinsufficient","MMEA9_C3",19,34,3.7e-24,-0.807354922057604,0.0042
"haplosufficient","MMEA9_C3",44,62,3.7e-24,-0.485426827170242,0.0066
"haploinsufficient","MMEA9_E1",595,643,0.027688955402807,-0.111748357652455,0.0435
"haplosufficient","MMEA9_E1",1104,1160,0.0495223541580064,-0.0713216025867726,0.0835
"haploinsufficient","MMEA9_E2",263,275,8.4370687784656e-06,-0.0641303374197156,0.4552
"haplosufficient","MMEA9_E2",499,520,0.00866675915834661,-0.0593552776164212,0.3313
"haploinsufficient","MMEA9_E3",846,858,0.100708701872208,-0.020296161806265,0.6744
"haplosufficient","MMEA9_E3",1483,1586,0.13690459231541,-0.0968110362143787,0.0047
"haploinsufficient","MMEB9_C1",19,23,3.7e-24,-0.263034405833794,0.3933
"haplosufficient","MMEB9_C1",28,42,3.7e-24,-0.568283759574526,0.011
"haploinsufficient","MMEB9_C2",13,27,3.7e-24,-1,0.0012
"haplosufficient","MMEB9_C2",25,49,3.7e-24,-0.943416471633633,0
"haploinsufficient","MMEB9_C3",14,24,3.7e-24,-0.736965594166206,0.0152
"haplosufficient","MMEB9_C3",29,45,3.7e-24,-0.616671360448494,0.0049
"haploinsufficient","MMEB9_E1",781,885,0.0139590043591091,-0.180138091247666,1e-04
"haplosufficient","MMEB9_E1",1433,1665,0.362973691366557,-0.216343376663643,0
"haploinsufficient","MMEB9_E2",324,411,0.000799820642252101,-0.342204619267402,0
"haplosufficient","MMEB9_E2",631,755,0.0377556277843144,-0.25846167604397,0
"haploinsufficient","MMEB9_E3",447,477,0.00598407892389688,-0.0935118859231445,0.1472
"haplosufficient","MMEB9_E3",792,882,0.00747112998144335,-0.155092571944488,0.001
