"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","observed.variant.required","observed.variant.requirement.met"
"haploinsufficient","C1_05_24",4,11,3.7e-24,-1.26303440583379,0.0118,8,FALSE
"haplosufficient","C1_05_24",23,24,3.7e-24,-0.0588936890535686,0.8356,306,FALSE
"haploinsufficient","C2_05_24",7,8,3.7e-24,-0.169925001442312,0.7298,112,FALSE
"haplosufficient","C2_05_24",19,17,3.7e-24,0.15200309344505,0.7036,122,FALSE
"haploinsufficient","C3_05_24",5,10,3.7e-24,-0.874469117916141,0.0671,12,FALSE
"haplosufficient","C3_05_24",14,21,3.7e-24,-0.552541023028779,0.0799,25,FALSE
"haploinsufficient","E1_06_14",37,50,3.7e-24,-0.42449782852791,0.0406,33,TRUE
"haplosufficient","E1_06_14",86,108,5.24743500155592e-12,-0.325240828928198,0.0209,48,TRUE
"haploinsufficient","E1_08_16",42,58,7.80758398235167e-22,-0.456378294659743,0.021,31,TRUE
"haplosufficient","E1_08_16",129,129,2.9191707234845e-10,0,1,747,FALSE
"haploinsufficient","E2_06_14",58,61,3.7e-24,-0.0715532610250339,0.7019,241,FALSE
"haplosufficient","E2_06_14",126,135,5.04466930110161e-10,-0.0987781544781735,0.4345,193,FALSE
"haploinsufficient","E2_08_16",70,90,3.46487373475463e-15,-0.358047520694014,0.0194,42,TRUE
"haplosufficient","E2_08_16",167,196,6.9872820615413e-09,-0.229734396677616,0.0222,81,TRUE
"haploinsufficient","E3_06_14",138,160,4.88066552524687e-09,-0.21197580539111,0.0593,82,TRUE
"haplosufficient","E3_06_14",316,344,0.000288127817942478,-0.122113521526124,0.1074,156,TRUE
"haploinsufficient","E3_08_16",106,132,1.35629140265634e-10,-0.313815449100043,0.0111,49,TRUE
"haplosufficient","E3_08_16",257,286,2.05000850190477e-05,-0.153679671252434,0.0661,122,TRUE
"haploinsufficient","MMEA9_C1",5,10,3.7e-24,-0.874469117916141,0.0752,12,FALSE
"haplosufficient","MMEA9_C1",15,20,3.7e-24,-0.39231742277876,0.2195,38,FALSE
"haploinsufficient","MMEA9_C2",9,7,3.7e-24,0.321928094887362,0.5755,48,FALSE
"haplosufficient","MMEA9_C2",13,17,3.7e-24,-0.362570079384708,0.2826,42,FALSE
"haploinsufficient","MMEA9_C3",3,10,3.7e-24,-1.4594316186373,0.0096,8,FALSE
"haplosufficient","MMEA9_C3",19,22,3.7e-24,-0.201633861169651,0.5189,85,FALSE
"haploinsufficient","MMEA9_E1",145,190,2.47467369754786e-07,-0.387604269155731,3e-04,38,TRUE
"haplosufficient","MMEA9_E1",336,411,0.00239817762325681,-0.28989574600136,3e-04,57,TRUE
"haploinsufficient","MMEA9_E2",58,82,4.27415275734454e-16,-0.492396381985084,0.0039,27,TRUE
"haplosufficient","MMEA9_E2",152,184,7.22497844647843e-08,-0.27399361782366,0.0104,61,TRUE
"haploinsufficient","MMEA9_E3",225,280,0.000135551863704346,-0.314247357805738,3e-04,49,TRUE
"haplosufficient","MMEA9_E3",526,608,0.00495787368597076,-0.208639266269118,1e-04,85,TRUE
"haploinsufficient","MMEB9_C1",6,7,3.7e-24,-0.192645077942396,0.7188,93,FALSE
"haplosufficient","MMEB9_C1",11,15,3.7e-24,-0.415037499278844,0.2587,34,FALSE
"haploinsufficient","MMEB9_C2",5,9,3.7e-24,-0.736965594166206,0.1449,16,FALSE
"haplosufficient","MMEB9_C2",10,19,3.7e-24,-0.862496476250065,0.0153,12,FALSE
"haploinsufficient","MMEB9_C3",2,7,3.7e-24,-1.41503749927884,0.0203,8,FALSE
"haplosufficient","MMEB9_C3",12,16,3.7e-24,-0.387023123109247,0.2734,38,FALSE
"haploinsufficient","MMEB9_E1",218,279,2.32857412119289e-05,-0.354495957343793,1e-04,42,TRUE
"haplosufficient","MMEB9_E1",504,621,0.0118181114782713,-0.300631192491445,0,54,TRUE
"haploinsufficient","MMEB9_E2",78,116,6.45839909391808e-13,-0.566583971406301,0,22,TRUE
"haplosufficient","MMEB9_E2",213,269,6.4155048557608e-05,-0.335348610649684,3e-04,47,TRUE
"haploinsufficient","MMEB9_E3",148,160,2.1974355523844e-07,-0.111748357652455,0.3411,163,FALSE
"haplosufficient","MMEB9_E3",264,330,3.44221731769128e-05,-0.320838857356656,2e-04,48,TRUE
