"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"nonexpressed_regions_exons_introns_promoters_enhancers","C1_05_24",48,57,3.7e-24,-0.243271151012364,0.3968
"nonexpressed_regions_exons_introns_promoters_enhancers","C2_05_24",26,45,3.7e-24,-0.768674453893544,0.025
"nonexpressed_regions_exons_introns_promoters_enhancers","C3_05_24",44,50,3.7e-24,-0.180572245641821,0.5592
"nonexpressed_regions_exons_introns_promoters_enhancers","E1_06_14",221,264,1.38495460818782e-15,-0.255432683100456,0.0518
"nonexpressed_regions_exons_introns_promoters_enhancers","E1_08_16",309,346,5.48261063978471e-12,-0.162667447304023,0.1873
"nonexpressed_regions_exons_introns_promoters_enhancers","E2_06_14",294,334,6.52777728229447e-09,-0.183446141095931,0.1165
"nonexpressed_regions_exons_introns_promoters_enhancers","E2_08_16",414,486,6.65265768692115e-08,-0.230810435848055,0.0166
"nonexpressed_regions_exons_introns_promoters_enhancers","E3_06_14",796,866,1.06047085389074e-05,-0.121452269231363,0.1067
"nonexpressed_regions_exons_introns_promoters_enhancers","E3_08_16",718,748,7.45409153840889e-05,-0.0589739480194533,0.4493
"nonexpressed_regions_exons_introns_promoters_enhancers","MMEA9_C1",44,54,3.7e-24,-0.289506617194985,0.3493
"nonexpressed_regions_exons_introns_promoters_enhancers","MMEA9_C2",40,39,3.7e-24,0.0356239097307212,0.9534
"nonexpressed_regions_exons_introns_promoters_enhancers","MMEA9_C3",26,59,3.7e-24,-1.15200309344505,4e-04
"nonexpressed_regions_exons_introns_promoters_enhancers","MMEA9_E1",1094,1119,0.00646606929743655,-0.0325678624564307,0.6491
"nonexpressed_regions_exons_introns_promoters_enhancers","MMEA9_E2",490,529,5.70727972735118e-08,-0.110269335135868,0.2457
"nonexpressed_regions_exons_introns_promoters_enhancers","MMEA9_E3",1436,1445,0.000928604905471641,-0.00900749049378134,0.8701
"nonexpressed_regions_exons_introns_promoters_enhancers","MMEB9_C1",33,40,3.7e-24,-0.270089163367744,0.439
"nonexpressed_regions_exons_introns_promoters_enhancers","MMEB9_C2",26,48,3.7e-24,-0.85982234195174,0.0116
"nonexpressed_regions_exons_introns_promoters_enhancers","MMEB9_C3",28,44,3.7e-24,-0.633872101202102,0.0705
"nonexpressed_regions_exons_introns_promoters_enhancers","MMEB9_E1",1296,1474,0.00310525198998152,-0.185536474884866,6e-04
"nonexpressed_regions_exons_introns_promoters_enhancers","MMEB9_E2",556,661,5.66911116434975e-08,-0.249153889467186,0.0033
"nonexpressed_regions_exons_introns_promoters_enhancers","MMEB9_E3",771,807,0.000849238412002166,-0.0657544454837144,0.39
